date,Tmax
1961-01-01,30.53
1961-01-02,27.74
1961-01-03,28.04
1961-01-04,31.62
1961-01-05,28.94
1961-01-06,30.33
1961-01-07,25.75
1961-01-08,30.92
1961-01-09,30.73
1961-01-10,33.53
1961-01-11,31.53
1961-01-12,26.14
1961-01-13,26.74
1961-01-14,30.73
1961-01-15,29.73
1961-01-16,30.53
1961-01-17,29.93
1961-01-18,29.53
1961-01-19,30.53
1961-01-20,30.53
1961-01-21,30.33
1961-01-22,24.14
1961-01-23,25.94
1961-01-24,27.34
1961-01-25,30.14
1961-01-26,29.33
1961-01-27,27.53
1961-01-28,29.53
1961-01-29,31.03
1961-01-30,30.34
1961-01-31,30.84
1961-02-01,31.63
1961-02-02,31.93
1961-02-03,32.53
1961-02-04,32.53
1961-02-05,32.73
1961-02-06,30.93
1961-02-07,29.14
1961-02-08,31.93
1961-02-09,32.53
1961-02-10,31.73
1961-02-11,30.44
1961-02-12,24.54
1961-02-13,30.43
1961-02-14,30.04
1961-02-15,27.73
1961-02-16,26.35
1961-02-17,29.53
1961-02-18,30.43
1961-02-19,31.13
1961-02-20,29.93
1961-02-21,30.13
1961-02-22,30.73
1961-02-23,31.64
1961-02-24,32.33
1961-02-25,33.93
1961-02-26,32.73
1961-02-27,32.73
1961-02-28,33.92
1961-03-01,31.33
1961-03-02,31.93
1961-03-03,31.73
1961-03-04,25.35
1961-03-05,31.93
1961-03-06,31.14
1961-03-07,32.33
1961-03-08,33.53
1961-03-09,32.74
1961-03-10,32.34
1961-03-11,32.94
1961-03-12,29.93
1961-03-13,31.72
1961-03-14,30.42
1961-03-15,30.62
1961-03-16,29.93
1961-03-17,28.14
1961-03-18,32.13
1961-03-19,29.33
1961-03-20,27.84
1961-03-21,30.93
1961-03-22,31.73
1961-03-23,30.14
1961-03-24,30.53
1961-03-25,30.63
1961-03-26,29.94
1961-03-27,28.74
1961-03-28,24.75
1961-03-29,30.53
1961-03-30,30.33
1961-03-31,31.52
1961-04-01,31.13
1961-04-02,29.53
1961-04-03,31.53
1961-04-04,32.53
1961-04-05,33.33
1961-04-06,34.33
