date,Tmax
1961-01-01,32.46
1961-01-02,32.44
1961-01-03,31.76
1961-01-04,31.02
1961-01-05,31.61
1961-01-06,32.51
1961-01-07,32.60
1961-01-08,31.22
1961-01-09,31.92
1961-01-10,33.25
1961-01-11,32.53
1961-01-12,31.75
1961-01-13,29.00
1961-01-14,30.19
1961-01-15,30.24
1961-01-16,31.47
1961-01-17,27.45
1961-01-18,30.03
1961-01-19,31.10
1961-01-20,30.71
1961-01-21,31.39
1961-01-22,26.57
1961-01-23,28.37
1961-01-24,31.01
1961-01-25,31.36
1961-01-26,30.19
1961-01-27,29.32
1961-01-28,29.88
1961-01-29,31.30
1961-01-30,31.49
1961-01-31,32.19
1961-02-01,31.85
1961-02-02,30.66
1961-02-03,32.72
1961-02-04,31.24
1961-02-05,31.10
1961-02-06,29.60
1961-02-07,30.60
1961-02-08,32.19
1961-02-09,31.98
1961-02-10,29.72
1961-02-11,29.07
1961-02-12,27.01
1961-02-13,29.68
1961-02-14,29.14
1961-02-15,28.36
1961-02-16,30.19
1961-02-17,29.68
1961-02-18,30.29
1961-02-19,29.47
1961-02-20,29.67
1961-02-21,31.28
1961-02-22,28.65
1961-02-23,31.91
1961-02-24,32.70
1961-02-25,31.72
1961-02-26,32.42
1961-02-27,31.18
1961-02-28,31.65
1961-03-01,30.59
1961-03-02,31.45
1961-03-03,31.04
1961-03-04,32.63
1961-03-05,32.08
1961-03-06,31.67
1961-03-07,32.15
1961-03-08,33.34
1961-03-09,33.49
1961-03-10,32.77
1961-03-11,32.31
1961-03-12,30.77
1961-03-13,29.43
1961-03-14,28.76
1961-03-15,29.74
1961-03-16,30.67
1961-03-17,31.41
1961-03-18,30.15
1961-03-19,30.35
1961-03-20,29.36
1961-03-21,29.40
1961-03-22,31.51
1961-03-23,31.22
1961-03-24,30.84
1961-03-25,30.61
1961-03-26,31.44
1961-03-27,28.56
1961-03-28,31.65
1961-03-29,29.43
1961-03-30,29.95
1961-03-31,30.01
1961-04-01,28.41
1961-04-02,29.34
1961-04-03,31.05
1961-04-04,31.97
1961-04-05,31.10
1961-04-06,31.53
1961-04-07,32.21
1961-04-08,32.19
1961-04-09,32.02
1961-04-10,30.44
1961-04-11,32.06
1961-04-12,31.00
1961-04-13,31.01
1961-04-14,31.52
1961-04-15,31.78
1961-04-16,31.50
1961-04-17,31.19
1961-04-18,31.45
1961-04-19,32.33
1961-04-20,30.74
1961-04-21,31.19
1961-04-22,30.24
1961-04-23,33.04
1961-04-24,31.81
1961-04-25,31.43
1961-04-26,29.98
1961-04-27,31.48
1961-04-28,32.31
1961-04-29,30.26
1961-04-30,31.68
1961-05-01,31.58
1961-05-02,30.19
1961-05-03,30.94
1961-05-04,31.46
1961-05-05,32.26
1961-05-06,31.79
1961-05-07,32.07
1961-05-08,32.36
1961-05-09,33.20
1961-05-10,32.74
1961-05-11,32.10
1961-05-12,32.22
1961-05-13,32.03
1961-05-14,30.55
1961-05-15,32.21
1961-05-16,33.23
1961-05-17,31.80
1961-05-18,32.97
1961-05-19,33.00
1961-05-20,32.95
1961-05-21,31.33
1961-05-22,29.43
1961-05-23,31.71
1961-05-24,32.08
1961-05-25,32.10
1961-05-26,31.91
1961-05-27,31.49
