date,RH
1961-01-01,67.32
1961-01-02,68.50
1961-01-03,67.72
1961-01-04,68.50
1961-01-05,70.87
1961-01-06,66.54
1961-01-07,66.93
1961-01-08,66.54
1961-01-09,61.81
1961-01-10,65.75
1961-01-11,61.02
1961-01-12,62.60
1961-01-13,76.77
1961-01-14,80.71
1961-01-15,72.44
1961-01-16,69.69
1961-01-17,90.16
1961-01-18,85.43
1961-01-19,77.95
1961-01-20,81.10
1961-01-21,79.92
1961-01-22,90.16
1961-01-23,85.83
1961-01-24,73.62
1961-01-25,80.71
1961-01-26,79.92
1961-01-27,84.65
1961-01-28,83.86
1961-01-29,78.35
1961-01-30,74.80
1961-01-31,74.02
1961-02-01,78.35
1961-02-02,80.71
1961-02-03,74.02
1961-02-04,79.13
1961-02-05,77.56
1961-02-06,80.71
1961-02-07,80.31
1961-02-08,77.56
1961-02-09,76.77
1961-02-10,78.74
1961-02-11,78.35
1961-02-12,83.46
1961-02-13,83.46
1961-02-14,81.89
1961-02-15,88.98
1961-02-16,82.68
1961-02-17,80.71
1961-02-18,81.10
1961-02-19,81.89
1961-02-20,84.25
1961-02-21,77.95
1961-02-22,85.04
1961-02-23,77.95
1961-02-24,73.23
1961-02-25,74.41
1961-02-26,75.20
1961-02-27,76.38
1961-02-28,77.17
1961-03-01,79.92
1961-03-02,81.10
1961-03-03,77.56
1961-03-04,77.95
1961-03-05,77.95
1961-03-06,75.59
1961-03-07,72.83
1961-03-08,73.62
1961-03-09,75.20
1961-03-10,74.02
1961-03-11,74.02
1961-03-12,79.92
1961-03-13,82.28
1961-03-14,85.04
1961-03-15,87.01
1961-03-16,80.71
1961-03-17,80.31
1961-03-18,81.10
1961-03-19,81.89
1961-03-20,84.25
1961-03-21,81.10
1961-03-22,79.53
1961-03-23,81.89
1961-03-24,78.35
1961-03-25,79.53
1961-03-26,85.04
1961-03-27,81.10
1961-03-28,83.07
1961-03-29,82.28
1961-03-30,83.07
1961-03-31,81.10
1961-04-01,83.46
1961-04-02,82.68
1961-04-03,77.95
1961-04-04,76.38
1961-04-05,77.95
1961-04-06,80.31
1961-04-07,80.71
1961-04-08,79.92
1961-04-09,78.74
1961-04-10,81.50
1961-04-11,77.17
1961-04-12,77.17
1961-04-13,75.98
1961-04-14,80.31
1961-04-15,78.35
1961-04-16,76.38
1961-04-17,80.71
1961-04-18,78.35
1961-04-19,80.71
1961-04-20,79.13
1961-04-21,81.89
1961-04-22,77.95
1961-04-23,73.62
1961-04-24,77.56
1961-04-25,76.38
1961-04-26,80.31
1961-04-27,77.17
1961-04-28,77.17
1961-04-29,78.74
1961-04-30,77.56
1961-05-01,77.56
1961-05-02,77.56
1961-05-03,78.35
1961-05-04,79.53
1961-05-05,75.98
1961-05-06,76.38
1961-05-07,76.38
1961-05-08,76.77
1961-05-09,76.77
1961-05-10,77.95
1961-05-11,76.38
1961-05-12,75.98
1961-05-13,75.59
1961-05-14,80.31
1961-05-15,76.38
1961-05-16,75.20
1961-05-17,74.41
1961-05-18,74.80
1961-05-19,75.59
1961-05-20,76.38
1961-05-21,77.17
1961-05-22,81.10
1961-05-23,75.59
1961-05-24,76.38
1961-05-25,76.38
1961-05-26,75.98
1961-05-27,75.98
1961-05-28,78.74
1961-05-29,76.77
1961-05-30,75.98
1961-05-31,73.62
1961-06-01,75.98
1961-06-02,77.56
1961-06-03,78.35
1961-06-04,77.95
1961-06-05,77.17
1961-06-06,78.35
1961-06-07,74.80
1961-06-08,75.59
1961-06-09,78.74
1961-06-10,76.77
1961-06-11,78.35
1961-06-12,76.38
1961-06-13,74.41
1961-06-14,76.38
1961-06-15,81.50
1961-06-16,81.50
1961-06-17,76.77
1961-06-18,74.02
1961-06-19,72.83
1961-06-20,74.02
1961-06-21,74.80
1961-06-22,71.26
1961-06-23,74.41
1961-06-24,71.26
1961-06-25,69.69
1961-06-26,72.83
1961-06-27,71.26
1961-06-28,67.32
1961-06-29,71.65
1961-06-30,71.26
1961-07-01,68.50
1961-07-02,68.90
1961-07-03,68.11
1961-07-04,71.26
1961-07-05,68.90
1961-07-06,65.35
1961-07-07,66.93
1961-07-08,70.87
1961-07-09,71.65
1961-07-10,74.80
1961-07-11,72.83
1961-07-12,63.78
1961-07-13,66.54
1961-07-14,68.11
1961-07-15,68.11
1961-07-16,63.78
1961-07-17,68.90
1961-07-18,68.50
1961-07-19,72.83
1961-07-20,69.29
1961-07-21,67.32
1961-07-22,64.96
1961-07-23,69.69
1961-07-24,67.72
1961-07-25,71.65
1961-07-26,70.08
1961-07-27,69.29
1961-07-28,70.08
1961-07-29,65.35
1961-07-30,66.54
1961-07-31,67.72
1961-08-01,64.17
1961-08-02,61.42
1961-08-03,59.84
1961-08-04,59.45
1961-08-05,57.09
1961-08-06,54.33
1961-08-07,57.09
1961-08-08,60.24
1961-08-09,56.30
1961-08-10,57.48
1961-08-11,54.72
1961-08-12,58.66
1961-08-13,55.51
1961-08-14,55.91
1961-08-15,55.12
1961-08-16,58.66
1961-08-17,54.33
1961-08-18,56.30
1961-08-19,57.09
1961-08-20,59.45
1961-08-21,56.69
1961-08-22,58.66
