date,Tmax
1961-01-01,33.82
1961-01-02,33.52
1961-01-03,33.57
1961-01-04,33.04
1961-01-05,33.59
1961-01-06,34.04
1961-01-07,34.00
1961-01-08,33.49
1961-01-09,34.25
1961-01-10,34.98
1961-01-11,35.35
1961-01-12,34.93
1961-01-13,31.76
1961-01-14,30.65
1961-01-15,31.85
1961-01-16,33.07
1961-01-17,28.41
1961-01-18,30.14
1961-01-19,31.59
1961-01-20,30.33
1961-01-21,32.23
1961-01-22,27.47
1961-01-23,29.02
1961-01-24,32.17
1961-01-25,32.29
1961-01-26,31.66
1961-01-27,29.71
1961-01-28,31.99
1961-01-29,32.55
1961-01-30,32.62
1961-01-31,33.05
1961-02-01,31.84
1961-02-02,30.87
1961-02-03,32.43
1961-02-04,30.98
1961-02-05,31.98
1961-02-06,30.62
1961-02-07,31.29
1961-02-08,32.31
1961-02-09,32.52
1961-02-10,31.93
1961-02-11,30.78
1961-02-12,29.01
1961-02-13,30.37
1961-02-14,30.33
1961-02-15,28.80
1961-02-16,29.81
1961-02-17,30.79
1961-02-18,31.94
1961-02-19,30.84
1961-02-20,30.27
1961-02-21,32.02
1961-02-22,29.05
1961-02-23,32.60
1961-02-24,32.93
1961-02-25,33.31
1961-02-26,33.28
1961-02-27,33.09
1961-02-28,32.69
1961-03-01,31.04
1961-03-02,31.73
1961-03-03,32.24
1961-03-04,32.91
1961-03-05,32.06
1961-03-06,32.64
1961-03-07,32.36
1961-03-08,33.70
1961-03-09,33.51
1961-03-10,33.43
1961-03-11,33.05
1961-03-12,31.11
1961-03-13,29.57
1961-03-14,28.62
1961-03-15,28.97
1961-03-16,31.51
1961-03-17,31.75
1961-03-18,31.59
1961-03-19,31.40
1961-03-20,30.22
1961-03-21,30.19
1961-03-22,31.04
1961-03-23,31.26
1961-03-24,32.07
1961-03-25,30.81
1961-03-26,31.62
1961-03-27,29.97
1961-03-28,32.13
1961-03-29,30.26
1961-03-30,30.14
1961-03-31,30.97
1961-04-01,30.61
1961-04-02,30.07
1961-04-03,31.95
1961-04-04,32.77
1961-04-05,31.41
1961-04-06,32.19
1961-04-07,32.17
1961-04-08,31.66
1961-04-09,32.31
1961-04-10,30.64
1961-04-11,32.21
1961-04-12,32.89
1961-04-13,31.98
1961-04-14,31.96
1961-04-15,31.77
1961-04-16,31.51
1961-04-17,31.25
1961-04-18,31.48
1961-04-19,32.46
1961-04-20,32.43
1961-04-21,31.48
1961-04-22,31.49
1961-04-23,33.09
1961-04-24,31.99
1961-04-25,32.05
1961-04-26,31.81
1961-04-27,32.71
1961-04-28,33.05
1961-04-29,31.66
1961-04-30,32.75
1961-05-01,32.35
1961-05-02,31.95
1961-05-03,31.81
1961-05-04,32.64
1961-05-05,32.91
1961-05-06,32.41
1961-05-07,32.98
1961-05-08,33.21
1961-05-09,33.73
1961-05-10,33.18
1961-05-11,32.36
1961-05-12,32.47
1961-05-13,33.01
1961-05-14,30.07
1961-05-15,32.50
1961-05-16,33.09
1961-05-17,31.75
1961-05-18,32.63
1961-05-19,33.09
1961-05-20,33.26
1961-05-21,32.24
1961-05-22,30.99
1961-05-23,32.54
1961-05-24,31.84
1961-05-25,32.50
1961-05-26,32.73
1961-05-27,32.01
1961-05-28,31.67
1961-05-29,32.34
1961-05-30,32.50
1961-05-31,32.24
1961-06-01,31.85
1961-06-02,32.16
1961-06-03,32.39
1961-06-04,32.09
1961-06-05,32.21
1961-06-06,32.55
1961-06-07,32.52
1961-06-08,32.89
1961-06-09,32.59
1961-06-10,31.89
1961-06-11,31.95
1961-06-12,32.25
1961-06-13,33.38
1961-06-14,33.34
1961-06-15,32.42
1961-06-16,32.59
1961-06-17,31.97
1961-06-18,32.00
1961-06-19,31.82
1961-06-20,31.70
1961-06-21,32.19
1961-06-22,32.71
1961-06-23,32.71
1961-06-24,32.42
1961-06-25,31.36
1961-06-26,31.40
1961-06-27,32.22
1961-06-28,32.90
1961-06-29,31.98
1961-06-30,31.68
1961-07-01,32.89
1961-07-02,32.28
1961-07-03,32.23
1961-07-04,32.78
1961-07-05,33.11
1961-07-06,32.81
1961-07-07,33.68
1961-07-08,33.19
1961-07-09,33.27
1961-07-10,32.92
1961-07-11,32.46
1961-07-12,32.95
1961-07-13,32.57
1961-07-14,32.31
1961-07-15,31.87
1961-07-16,33.20
1961-07-17,33.30
1961-07-18,33.36
1961-07-19,32.42
1961-07-20,33.03
1961-07-21,33.70
1961-07-22,34.17
1961-07-23,32.64
1961-07-24,33.41
1961-07-25,33.19
1961-07-26,33.44
1961-07-27,34.04
1961-07-28,33.73
1961-07-29,33.84
1961-07-30,34.40
1961-07-31,33.93
1961-08-01,34.26
1961-08-02,34.31
1961-08-03,34.20
1961-08-04,34.21
1961-08-05,34.01
1961-08-06,34.51
1961-08-07,33.88
1961-08-08,33.72
1961-08-09,34.20
1961-08-10,34.42
1961-08-11,34.44
1961-08-12,33.75
1961-08-13,33.66
1961-08-14,34.40
1961-08-15,35.07
1961-08-16,34.46
1961-08-17,35.79
1961-08-18,35.31
1961-08-19,35.03
1961-08-20,34.04
1961-08-21,35.03
1961-08-22,36.55
1961-08-23,34.69
1961-08-24,34.94
1961-08-25,35.11
1961-08-26,35.76
1961-08-27,36.06
1961-08-28,35.56
1961-08-29,35.10
1961-08-30,35.39
1961-08-31,35.44
1961-09-01,35.83
1961-09-02,36.50
1961-09-03,35.23
1961-09-04,35.80
1961-09-05,35.42
1961-09-06,35.15
1961-09-07,35.17
1961-09-08,36.19
1961-09-09,35.13
1961-09-10,35.80
1961-09-11,34.90
1961-09-12,34.91
1961-09-13,36.16
1961-09-14,35.22
1961-09-15,34.57
1961-09-16,34.70
1961-09-17,34.14
1961-09-18,34.52
1961-09-19,35.11
1961-09-20,35.24
1961-09-21,35.69
1961-09-22,37.05
1961-09-23,37.28
1961-09-24,35.15
1961-09-25,36.97
1961-09-26,36.37
1961-09-27,35.70
1961-09-28,34.79
1961-09-29,36.32
1961-09-30,35.76
1961-10-01,34.90
1961-10-02,35.67
1961-10-03,34.66
1961-10-04,35.26
1961-10-05,35.67
1961-10-06,36.20
1961-10-07,36.49
1961-10-08,36.25
1961-10-09,36.19
1961-10-10,33.52
1961-10-11,34.10
1961-10-12,35.62
1961-10-13,35.58
1961-10-14,35.62
1961-10-15,36.40
1961-10-16,37.48
1961-10-17,36.93
1961-10-18,37.39
1961-10-19,36.51
1961-10-20,35.61
1961-10-21,35.85
1961-10-22,35.82
1961-10-23,36.95
1961-10-24,35.90
1961-10-25,36.52
1961-10-26,35.52
1961-10-27,34.70
1961-10-28,34.18
1961-10-29,34.54
1961-10-30,33.71
1961-10-31,35.80
1961-11-01,35.95
1961-11-02,36.76
1961-11-03,35.10
1961-11-04,33.85
1961-11-05,30.06
1961-11-06,33.10
1961-11-07,35.87
1961-11-08,36.78
1961-11-09,33.86
1961-11-10,33.34
1961-11-11,34.37
1961-11-12,34.87
1961-11-13,33.84
1961-11-14,34.95
1961-11-15,35.50
1961-11-16,35.97
1961-11-17,34.64
1961-11-18,34.65
1961-11-19,35.86
1961-11-20,35.67
1961-11-21,35.84
1961-11-22,35.24
1961-11-23,36.57
1961-11-24,36.30
1961-11-25,33.25
1961-11-26,34.01
1961-11-27,35.51
1961-11-28,35.16
1961-11-29,33.08
1961-11-30,35.10
1961-12-01,35.09
1961-12-02,33.10
1961-12-03,34.27
1961-12-04,34.73
1961-12-05,33.18
1961-12-06,33.98
1961-12-07,34.25
1961-12-08,33.87
1961-12-09,29.81
1961-12-10,31.62
1961-12-11,32.96
1961-12-12,32.91
1961-12-13,30.95
1961-12-14,29.32
1961-12-15,31.59
1961-12-16,33.09
1961-12-17,33.06
1961-12-18,32.21
1961-12-19,33.27
1961-12-20,33.29
1961-12-21,33.04
1961-12-22,32.22
1961-12-23,32.54
1961-12-24,32.39
1961-12-25,29.84
1961-12-26,31.86
1961-12-27,31.50
1961-12-28,32.92
1961-12-29,33.24
1961-12-30,32.47
1961-12-31,33.24
1962-01-01,31.78
1962-01-02,33.20
1962-01-03,32.68
1962-01-04,32.63
1962-01-05,32.57
1962-01-06,31.43
1962-01-07,31.64
1962-01-08,32.09
1962-01-09,32.59
1962-01-10,31.95
1962-01-11,31.83
1962-01-12,32.90
1962-01-13,31.64
1962-01-14,31.63
1962-01-15,33.65
1962-01-16,30.78
1962-01-17,33.13
1962-01-18,33.31
