date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,20.99,0.59,33.00,19.76,72.83,2.31,4.35
1961-01-02,19.74,0.35,32.66,19.93,73.23,0.00,4.04
1961-01-03,18.32,0.77,32.79,20.28,70.47,0.00,4.04
1961-01-04,20.84,0.41,32.17,20.81,73.62,0.74,4.25
1961-01-05,21.62,0.35,32.66,19.78,74.02,0.00,4.35
1961-01-06,21.62,0.59,33.27,20.05,70.08,2.68,4.50
1961-01-07,18.95,0.30,33.20,21.15,71.26,0.00,3.94
1961-01-08,19.11,0.89,32.58,21.34,73.23,0.34,4.20
1961-01-09,20.05,0.35,33.47,20.50,68.90,0.00,4.15
1961-01-10,21.78,0.83,34.26,20.85,70.87,0.00,4.76
1961-01-11,22.72,0.89,34.40,20.62,68.11,0.14,4.96
1961-01-12,18.64,0.71,33.88,20.97,69.69,0.65,4.15
1961-01-13,13.92,0.24,30.63,19.34,80.71,5.97,2.92
1961-01-14,16.91,0.41,30.05,20.38,79.13,3.01,3.48
1961-01-15,16.59,0.24,30.94,20.29,76.38,1.57,3.43
1961-01-16,19.11,0.65,31.95,20.83,72.44,3.43,4.04
1961-01-17,14.55,0.12,27.79,18.93,88.98,14.50,2.92
1961-01-18,16.75,0.06,29.55,18.89,85.04,4.59,3.33
1961-01-19,20.52,0.12,30.85,19.65,79.92,3.89,3.99
1961-01-20,17.85,0.24,29.84,19.03,82.28,9.56,3.53
1961-01-21,18.95,0.30,31.56,20.02,79.53,0.00,3.84
1961-01-22,11.57,0.24,26.68,19.55,91.34,23.68,2.41
1961-01-23,12.98,0.24,28.20,19.11,85.43,16.90,2.66
1961-01-24,17.54,0.06,31.45,20.08,76.77,0.00,3.53
1961-01-25,16.91,0.41,31.64,20.26,81.10,0.30,3.53
1961-01-26,18.79,0.12,30.70,20.93,83.46,26.01,3.79
1961-01-27,15.34,0.18,28.60,20.67,85.83,15.96,3.12
1961-01-28,17.22,0.30,31.09,19.67,84.25,1.89,3.53
1961-01-29,19.42,0.24,31.49,19.99,80.71,19.84,3.89
1961-01-30,22.09,0.35,31.92,20.47,77.17,2.60,4.45
1961-01-31,20.68,0.24,32.52,20.18,74.02,0.53,4.15
1961-02-01,17.69,0.59,31.48,19.85,78.74,1.18,3.74
1961-02-02,15.34,0.35,30.43,19.68,77.95,4.05,3.22
1961-02-03,21.31,0.35,31.99,19.02,73.62,0.00,4.25
1961-02-04,18.64,0.35,30.52,18.71,79.13,4.46,3.74
1961-02-05,19.26,0.41,31.34,19.48,77.17,16.98,3.89
1961-02-06,15.97,0.41,30.26,19.63,79.92,6.19,3.33
1961-02-07,18.79,0.24,30.70,19.15,79.53,0.00,3.74
1961-02-08,22.25,0.59,31.79,18.91,77.95,0.65,4.45
1961-02-09,20.68,0.35,32.06,19.26,75.98,2.31,4.15
1961-02-10,17.54,0.53,31.52,19.83,78.74,0.21,3.69
1961-02-11,15.49,0.30,30.24,19.79,77.17,9.59,3.22
1961-02-12,13.92,0.24,28.10,19.05,84.25,23.22,2.81
1961-02-13,17.38,0.18,29.71,19.13,84.65,4.62,3.43
1961-02-14,16.59,0.12,29.83,18.82,82.28,15.63,3.28
1961-02-15,14.87,0.35,27.90,19.48,88.58,4.51,2.97
1961-02-16,16.75,0.30,29.46,18.51,82.68,9.83,3.33
1961-02-17,18.64,0.30,30.18,19.15,81.89,0.93,3.69
1961-02-18,20.52,0.30,31.34,19.40,81.89,7.92,4.09
1961-02-19,18.01,0.30,30.45,19.80,82.28,36.10,3.63
1961-02-20,17.85,0.30,29.87,20.22,83.46,1.92,3.58
1961-02-21,17.85,0.35,31.47,19.66,76.77,4.19,3.69
1961-02-22,18.48,0.41,28.69,19.09,82.68,18.39,3.63
1961-02-23,22.41,0.30,32.21,18.74,74.80,6.21,4.40
1961-02-24,23.03,0.53,32.43,19.59,73.62,1.50,4.66
1961-02-25,20.68,0.30,32.78,20.06,73.23,1.93,4.20
1961-02-26,20.84,0.47,32.54,19.62,76.38,0.00,4.25
1961-02-27,19.89,0.24,32.32,19.43,74.41,3.20,3.99
1961-02-28,22.41,0.41,32.07,20.13,76.77,0.46,4.50
1961-03-01,17.85,0.06,30.58,20.04,80.31,1.30,3.53
1961-03-02,20.99,0.24,31.12,19.93,81.10,5.56,4.15
1961-03-03,19.89,0.47,31.60,20.58,77.95,0.00,4.09
1961-03-04,20.36,0.35,32.09,19.95,78.35,0.00,4.09
1961-03-05,19.26,0.59,31.65,20.51,78.35,0.00,3.99
1961-03-06,21.62,0.65,32.10,19.68,75.59,0.23,4.40
1961-03-07,20.36,0.59,31.94,19.81,73.23,0.00,4.20
1961-03-08,24.61,0.59,33.30,18.69,73.62,0.00,4.91
1961-03-09,21.15,0.53,33.13,20.01,75.20,1.48,4.35
1961-03-10,21.78,0.30,32.89,19.49,74.41,2.02,4.35
1961-03-11,19.11,0.35,32.69,20.21,74.41,3.15,3.94
1961-03-12,19.58,0.59,30.34,19.88,80.31,1.46,3.94
1961-03-13,16.91,0.71,29.10,20.07,82.28,11.53,3.43
1961-03-14,15.65,0.53,27.94,19.35,85.43,11.57,3.12
1961-03-15,14.87,0.59,28.43,19.75,87.01,1.52,3.02
1961-03-16,20.21,0.41,30.56,19.69,81.10,16.38,3.99
1961-03-17,18.79,0.41,30.97,19.54,81.10,2.41,3.79
1961-03-18,20.36,0.59,30.86,18.78,81.50,14.52,4.04
1961-03-19,17.54,0.41,30.51,19.56,82.28,7.46,3.53
1961-03-20,14.24,0.35,29.67,20.21,84.65,7.55,2.97
1961-03-21,17.54,0.35,29.66,19.81,81.10,8.93,3.48
1961-03-22,19.26,0.47,30.56,20.22,79.53,1.31,3.84
1961-03-23,16.91,0.59,30.85,20.16,82.28,5.96,3.48
1961-03-24,17.22,0.65,31.43,20.43,78.74,6.45,3.63
1961-03-25,14.71,0.53,30.35,20.94,79.53,0.00,3.12
1961-03-26,15.65,0.30,31.10,20.55,85.43,8.16,3.22
1961-03-27,15.97,0.47,29.50,20.02,81.10,10.80,3.22
1961-03-28,20.36,0.47,31.46,20.50,83.46,6.80,4.09
1961-03-29,14.55,0.35,29.52,20.11,82.68,14.90,2.97
1961-03-30,14.24,0.59,29.56,20.04,83.46,9.43,2.97
1961-03-31,17.22,0.24,30.30,20.23,81.10,11.27,3.43
1961-04-01,13.61,0.12,29.94,20.73,82.68,4.61,2.81
1961-04-02,14.08,0.30,29.34,19.76,82.68,33.78,2.87
1961-04-03,21.62,0.30,31.40,19.59,78.74,1.16,4.20
1961-04-04,22.56,0.30,32.19,19.38,77.17,0.00,4.35
1961-04-05,18.32,0.47,30.74,19.18,77.95,1.52,3.63
1961-04-06,13.61,0.06,31.47,19.67,80.31,1.26,2.76
1961-04-07,18.48,0.30,31.64,19.26,79.13,6.11,3.63
1961-04-08,16.91,0.35,31.32,19.77,79.53,0.00,3.43
1961-04-09,18.79,0.35,31.79,19.84,77.95,5.61,3.74
1961-04-10,15.49,0.30,30.22,20.15,80.31,4.77,3.12
1961-04-11,19.42,0.18,31.65,20.08,77.56,0.00,3.79
1961-04-12,18.79,0.24,32.23,20.53,76.38,0.00,3.74
1961-04-13,17.22,0.06,31.47,19.48,75.59,0.00,3.33
1961-04-14,17.22,0.35,31.44,19.09,78.74,1.18,3.43
1961-04-15,17.54,0.59,31.62,20.26,77.56,8.94,3.58
1961-04-16,16.91,0.30,30.95,19.28,75.20,0.87,3.33
1961-04-17,17.38,0.65,30.67,19.73,78.35,0.10,3.53
1961-04-18,20.05,0.47,30.93,19.61,77.56,9.28,3.89
1961-04-19,16.28,0.30,32.05,19.91,78.35,1.08,3.28
1961-04-20,15.97,0.24,31.88,20.30,76.38,0.00,3.22
1961-04-21,15.65,0.41,30.98,20.14,79.13,2.24,3.17
1961-04-22,16.75,0.47,30.74,19.51,76.77,17.47,3.33
1961-04-23,22.56,0.41,32.61,18.43,73.62,0.00,4.30
1961-04-24,20.52,0.12,31.63,18.72,75.98,0.00,3.79
1961-04-25,17.38,0.18,31.36,20.42,76.38,0.00,3.38
1961-04-26,15.97,0.24,31.26,20.18,79.92,0.69,3.17
1961-04-27,21.15,0.53,32.01,20.64,78.74,15.44,4.15
1961-04-28,18.01,0.00,32.53,19.53,77.17,2.44,3.43
1961-04-29,16.28,0.35,31.14,20.33,76.77,1.23,3.22
1961-04-30,20.52,0.47,32.00,19.34,76.38,5.58,3.94
1961-05-01,19.42,0.41,31.79,20.20,78.74,3.52,3.79
1961-05-02,13.77,0.41,31.47,20.64,76.77,3.85,2.87
1961-05-03,16.12,0.06,31.26,20.67,77.95,1.72,3.12
1961-05-04,15.81,0.47,32.07,20.12,79.13,0.75,3.22
1961-05-05,19.89,0.30,32.38,20.09,76.77,0.00,3.84
1961-05-06,18.01,0.30,32.03,20.49,76.38,0.00,3.53
1961-05-07,18.48,0.41,32.31,20.04,77.17,0.77,3.63
1961-05-08,17.54,0.35,32.84,19.68,74.80,0.00,3.48
1961-05-09,18.01,0.12,33.27,20.34,75.20,0.00,3.48
1961-05-10,16.91,0.24,32.76,19.72,75.20,0.00,3.28
1961-05-11,18.79,0.35,31.84,19.18,74.41,0.00,3.58
1961-05-12,18.64,0.24,32.05,18.58,71.26,0.00,3.48
1961-05-13,21.46,0.41,32.55,16.94,76.77,0.00,3.94
1961-05-14,13.61,0.53,29.80,18.44,75.20,1.18,2.76
1961-05-15,19.58,0.41,32.06,19.18,75.20,1.09,3.74
1961-05-16,18.01,0.77,32.63,18.77,73.23,0.00,3.69
1961-05-17,19.58,0.41,31.36,19.06,74.80,0.00,3.63
1961-05-18,22.25,0.35,32.18,17.26,73.23,0.00,3.99
1961-05-19,19.42,0.35,32.76,17.74,73.62,0.00,3.63
1961-05-20,17.85,0.41,32.78,18.77,73.23,0.00,3.48
1961-05-21,16.59,0.12,31.86,18.94,72.44,1.19,3.07
1961-05-22,14.55,0.18,30.66,19.86,78.35,7.55,2.81
1961-05-23,19.26,0.65,32.03,20.47,73.23,0.30,3.79
1961-05-24,21.94,0.53,31.33,18.52,73.62,0.00,3.99
1961-05-25,21.15,0.41,31.98,18.02,73.62,0.00,3.84
1961-05-26,18.01,0.47,32.22,17.85,74.02,0.00,3.43
1961-05-27,16.91,0.41,31.44,19.27,74.41,0.00,3.22
1961-05-28,15.02,0.30,31.25,20.14,76.38,1.51,2.92
1961-05-29,19.42,0.41,31.86,18.01,74.80,1.77,3.58
1961-05-30,20.21,0.47,31.96,18.85,73.23,0.00,3.74
1961-05-31,20.36,0.53,31.86,18.86,72.83,0.14,3.79
1961-06-01,20.36,1.00,31.64,16.83,72.83,0.00,3.94
1961-06-02,20.52,0.59,32.06,16.83,75.59,0.00,3.79
1961-06-03,16.91,0.59,32.18,17.33,74.02,0.00,3.28
1961-06-04,20.21,0.77,31.83,17.05,76.38,0.00,3.79
1961-06-05,18.79,0.77,32.04,17.56,74.02,0.00,3.63
1961-06-06,20.84,0.83,32.23,14.68,74.80,0.00,3.84
1961-06-07,20.05,0.71,32.20,15.36,71.65,0.00,3.74
1961-06-08,20.84,0.47,32.54,15.44,72.44,0.00,3.74
1961-06-09,19.89,0.47,32.43,16.55,76.38,0.00,3.63
1961-06-10,17.54,0.18,31.57,16.87,73.23,0.00,3.07
1961-06-11,18.79,0.41,31.62,17.24,75.20,1.13,3.43
1961-06-12,20.68,0.71,32.01,17.30,73.23,0.00,3.84
1961-06-13,19.58,0.35,33.29,16.37,73.23,0.00,3.53
1961-06-14,19.58,0.35,32.86,18.01,73.23,0.14,3.58
1961-06-15,17.22,0.41,32.16,18.45,77.17,0.00,3.28
1961-06-16,17.54,0.18,32.28,17.89,75.98,0.00,3.17
1961-06-17,19.11,0.35,31.71,17.33,73.23,0.00,3.43
1961-06-18,20.99,0.41,31.74,16.32,70.87,0.00,3.69
1961-06-19,20.99,0.77,31.40,15.76,71.65,0.00,3.79
1961-06-20,20.52,1.24,31.18,16.07,70.87,0.00,3.99
1961-06-21,20.84,0.59,31.71,14.84,70.47,0.00,3.69
1961-06-22,20.68,0.41,32.18,15.19,72.83,0.00,3.63
1961-06-23,20.68,0.77,32.18,15.45,71.26,0.00,3.84
1961-06-24,20.52,0.77,31.99,16.38,70.47,0.00,3.84
1961-06-25,20.52,0.71,30.56,14.26,67.72,0.00,3.63
1961-06-26,17.85,0.59,30.80,14.92,71.26,0.00,3.28
1961-06-27,20.36,0.59,31.84,17.79,67.72,0.00,3.74
1961-06-28,20.68,0.53,32.34,15.13,66.93,0.00,3.69
1961-06-29,19.42,0.71,31.53,15.03,69.29,0.00,3.58
1961-06-30,19.58,0.59,31.22,17.59,69.69,0.00,3.58
1961-07-01,18.48,0.47,32.56,14.49,68.50,0.00,3.38
1961-07-02,19.26,0.89,31.61,15.22,68.90,0.00,3.69
1961-07-03,19.58,0.59,31.96,16.12,68.90,0.00,3.58
1961-07-04,21.62,1.06,32.30,13.97,68.50,0.00,4.09
1961-07-05,21.15,0.71,32.66,14.44,67.32,0.00,3.89
1961-07-06,21.62,0.77,32.30,14.68,63.78,0.00,3.94
1961-07-07,20.84,0.47,33.11,15.78,63.78,0.00,3.74
1961-07-08,20.68,0.30,32.78,14.38,68.50,0.00,3.53
1961-07-09,20.68,0.59,32.92,14.41,69.69,0.00,3.74
1961-07-10,16.91,0.24,32.43,15.56,69.69,0.00,3.02
1961-07-11,20.36,0.59,31.98,14.93,67.32,0.00,3.69
1961-07-12,19.42,0.94,32.31,13.50,62.60,0.00,3.84
1961-07-13,19.42,1.00,31.79,12.21,65.35,0.00,3.79
1961-07-14,20.68,0.47,31.59,12.50,67.32,0.00,3.53
1961-07-15,20.05,0.94,31.68,15.59,67.72,0.00,3.89
1961-07-16,21.46,0.77,32.80,14.15,64.17,0.00,3.99
1961-07-17,21.78,0.30,32.87,13.69,67.72,0.00,3.69
1961-07-18,19.42,0.30,33.16,13.07,65.35,0.00,3.38
1961-07-19,17.38,0.77,32.50,15.48,68.50,0.00,3.48
1961-07-20,20.05,0.71,32.60,18.84,65.35,0.00,3.94
1961-07-21,21.94,0.71,33.08,13.41,66.54,0.00,4.04
1961-07-22,21.94,0.35,33.38,13.75,64.17,0.00,3.79
1961-07-23,20.21,0.53,32.23,14.36,65.35,0.00,3.69
1961-07-24,21.78,0.47,32.48,14.73,66.54,0.00,3.84
1961-07-25,20.99,0.71,32.65,14.05,67.32,0.00,3.94
1961-07-26,20.52,0.41,33.21,14.72,67.32,0.00,3.69
1961-07-27,21.46,0.41,32.93,16.38,71.26,0.00,3.89
1961-07-28,21.62,0.47,32.98,16.38,68.90,0.00,3.94
1961-07-29,22.56,0.89,33.14,15.50,66.54,0.00,4.35
1961-07-30,22.25,0.53,33.56,14.79,66.14,0.00,4.04
1961-07-31,22.09,0.47,33.08,15.10,64.96,0.00,3.99
1961-08-01,21.94,0.30,33.60,15.36,63.39,0.00,3.84
1961-08-02,21.78,0.35,33.62,15.10,59.84,0.00,3.84
1961-08-03,22.41,0.47,33.38,16.23,59.84,0.00,4.09
1961-08-04,22.56,0.77,33.50,16.52,60.24,0.00,4.35
1961-08-05,23.35,0.89,33.25,15.11,58.27,0.00,4.50
1961-08-06,23.35,0.89,33.75,14.36,56.69,0.00,4.56
1961-08-07,23.51,0.77,33.20,14.64,59.84,0.00,4.45
1961-08-08,23.03,0.83,32.99,15.36,60.24,0.00,4.45
1961-08-09,22.72,0.53,33.47,15.14,57.09,0.00,4.15
1961-08-10,23.35,0.83,33.69,15.29,59.06,0.00,4.56
1961-08-11,23.51,0.77,33.73,16.00,55.91,0.00,4.56
1961-08-12,22.88,0.65,33.01,14.72,59.84,0.00,4.25
1961-08-13,23.19,0.65,32.89,13.94,56.30,0.00,4.30
1961-08-14,23.66,0.71,33.61,14.56,56.69,0.00,4.45
1961-08-15,23.03,0.53,34.29,14.34,57.09,0.00,4.30
1961-08-16,22.56,0.65,33.66,15.47,59.45,0.00,4.35
1961-08-17,23.35,0.41,34.96,16.13,57.09,0.00,4.30
1961-08-18,22.41,0.83,34.55,16.44,56.30,0.00,4.56
1961-08-19,22.56,0.59,34.26,16.61,57.48,0.00,4.35
1961-08-20,23.66,0.41,33.31,15.81,59.06,0.00,4.30
1961-08-21,24.29,0.41,34.21,15.46,57.09,0.00,4.40
1961-08-22,22.56,0.53,36.03,16.15,57.48,0.00,4.45
1961-08-23,21.94,0.65,33.76,17.87,61.81,0.00,4.35
1961-08-24,23.82,0.71,34.22,18.22,58.27,0.00,4.71
1961-08-25,23.35,0.65,34.45,16.49,59.45,0.00,4.56
1961-08-26,23.35,0.77,35.03,17.47,59.06,0.00,4.76
1961-08-27,23.51,0.59,35.36,18.41,56.69,0.00,4.71
1961-08-28,23.66,0.94,34.82,17.73,55.91,0.00,4.96
1961-08-29,23.82,0.89,34.38,16.16,55.12,0.00,4.86
1961-08-30,24.13,0.53,34.69,15.53,58.27,0.00,4.61
1961-08-31,23.98,0.53,34.65,15.85,59.45,0.00,4.61
1961-09-01,22.72,0.94,35.30,17.96,60.63,0.00,4.86
1961-09-02,23.82,1.00,35.42,15.83,57.09,0.00,5.07
1961-09-03,23.82,0.94,34.61,17.24,58.66,0.00,4.96
1961-09-04,23.98,0.71,35.49,16.97,58.27,0.00,4.86
1961-09-05,22.88,0.83,34.75,18.38,59.06,0.00,4.81
1961-09-06,21.78,0.35,34.74,19.16,59.84,0.00,4.30
1961-09-07,20.99,0.59,34.91,18.82,58.27,0.00,4.35
1961-09-08,23.51,0.77,35.42,18.05,57.87,3.09,4.91
1961-09-09,22.41,0.53,34.58,20.09,56.30,0.00,4.56
1961-09-10,23.51,0.41,35.29,17.27,58.66,0.00,4.56
1961-09-11,18.95,0.65,34.48,17.84,58.27,0.00,4.09
1961-09-12,20.84,0.59,34.35,18.56,59.06,0.00,4.30
1961-09-13,21.46,0.35,36.19,16.89,54.33,0.00,4.25
1961-09-14,21.15,0.35,34.69,19.29,62.60,0.00,4.25
1961-09-15,21.94,1.00,34.21,18.45,61.02,1.93,4.81
1961-09-16,21.78,0.71,34.32,18.81,61.42,0.00,4.56
1961-09-17,20.36,1.00,33.71,19.01,62.60,0.00,4.56
1961-09-18,20.21,0.24,34.03,18.59,66.54,0.00,3.99
1961-09-19,19.26,0.41,34.87,18.86,64.17,0.05,3.99
1961-09-20,21.62,0.89,34.83,19.04,57.87,0.00,4.76
1961-09-21,22.25,0.83,35.39,19.12,54.72,0.00,4.86
1961-09-22,23.19,0.30,36.72,18.19,57.48,0.00,4.56
1961-09-23,23.82,1.12,36.84,17.93,53.15,0.13,5.48
1961-09-24,22.41,0.94,34.82,20.49,56.30,2.90,5.02
1961-09-25,24.13,0.47,36.34,17.95,53.94,0.58,4.86
1961-09-26,23.35,0.59,36.14,18.14,55.91,0.00,4.86
1961-09-27,23.35,1.18,35.33,19.09,56.30,0.98,5.37
1961-09-28,21.94,0.77,34.46,21.32,59.45,0.09,4.76
1961-09-29,23.35,0.24,36.16,19.54,56.69,0.00,4.56
1961-09-30,22.09,0.71,35.32,18.72,58.27,0.00,4.76
1961-10-01,17.85,0.47,34.25,20.30,61.02,0.87,3.89
1961-10-02,21.94,0.59,35.21,19.37,61.42,0.26,4.66
1961-10-03,21.15,1.00,34.15,17.86,64.17,9.95,4.71
1961-10-04,23.19,0.53,34.64,19.26,61.81,0.60,4.76
1961-10-05,24.13,0.59,34.99,19.16,59.45,8.28,4.96
1961-10-06,23.35,0.65,35.65,20.10,56.69,0.00,4.96
1961-10-07,24.13,0.59,35.65,18.59,55.91,0.00,4.96
1961-10-08,24.61,0.41,35.89,18.94,56.69,0.00,4.91
1961-10-09,22.25,0.47,36.01,19.76,58.66,0.00,4.66
1961-10-10,20.05,1.06,33.49,20.43,68.90,0.71,4.50
1961-10-11,18.95,0.89,33.03,20.33,64.96,14.56,4.25
1961-10-12,21.62,0.71,34.96,20.68,66.93,6.28,4.71
1961-10-13,23.98,0.89,34.53,20.48,64.17,0.62,5.17
1961-10-14,22.25,0.89,34.77,20.76,59.84,0.19,4.96
1961-10-15,25.08,1.42,35.82,19.46,52.76,0.21,5.94
1961-10-16,25.39,0.71,36.52,19.33,54.72,0.00,5.37
1961-10-17,25.71,1.18,36.10,18.28,52.76,0.00,5.83
1961-10-18,24.61,0.53,36.84,20.30,54.33,0.00,5.17
1961-10-19,24.76,0.24,35.96,19.90,51.97,0.00,4.76
1961-10-20,22.09,0.77,35.27,21.26,57.48,0.08,4.91
1961-10-21,21.94,1.24,34.88,21.51,57.87,1.41,5.22
1961-10-22,24.76,0.59,34.95,19.98,55.12,1.54,5.12
1961-10-23,26.33,1.00,36.39,18.31,55.51,0.00,5.78
1961-10-24,23.82,0.65,35.37,19.33,60.63,0.00,5.02
1961-10-25,25.08,0.71,35.90,18.58,59.06,0.00,5.27
1961-10-26,22.41,0.41,35.26,20.77,58.27,0.00,4.66
1961-10-27,20.52,0.77,34.68,20.53,62.99,0.00,4.56
1961-10-28,20.36,0.24,33.90,20.97,64.96,0.00,4.15
1961-10-29,20.68,0.77,33.49,20.43,62.20,0.43,4.50
1961-10-30,18.16,0.77,32.47,20.05,65.75,1.48,4.04
1961-10-31,21.94,1.06,34.85,19.31,58.66,6.48,5.02
1961-11-01,22.88,1.06,35.38,19.62,57.09,0.00,5.27
1961-11-02,24.13,1.06,36.02,19.42,52.76,0.00,5.53
1961-11-03,18.64,0.59,34.53,21.39,61.02,0.00,4.15
1961-11-04,19.11,0.35,33.09,21.72,62.60,0.91,3.99
1961-11-05,12.67,0.18,30.64,19.94,77.56,7.53,2.71
1961-11-06,19.74,0.24,32.60,19.45,72.05,12.49,3.94
1961-11-07,21.78,0.41,35.53,19.47,63.39,0.84,4.56
1961-11-08,22.72,0.30,36.50,19.76,63.39,0.00,4.66
1961-11-09,20.99,0.41,33.93,20.32,66.93,22.35,4.35
1961-11-10,21.94,0.65,33.58,19.48,65.75,0.02,4.61
1961-11-11,19.89,0.47,34.42,18.99,63.39,0.00,4.20
1961-11-12,22.09,0.30,35.09,19.14,67.72,0.62,4.45
1961-11-13,18.48,0.53,34.07,20.41,72.05,1.41,3.99
1961-11-14,22.72,0.59,34.71,20.86,64.57,5.73,4.81
1961-11-15,24.13,0.59,35.47,19.76,62.20,4.42,5.07
1961-11-16,24.92,0.83,35.77,19.37,59.45,0.00,5.37
1961-11-17,23.66,0.89,34.28,20.01,60.24,0.00,5.12
1961-11-18,24.61,1.12,34.15,20.52,58.66,0.00,5.48
1961-11-19,24.13,0.94,35.50,18.52,53.15,0.00,5.32
