date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,20.68,0.53,32.75,19.92,76.38,3.20,4.25
1961-01-02,19.89,0.35,32.71,19.79,77.95,1.22,4.04
1961-01-03,17.69,0.35,32.44,20.52,77.95,16.12,3.69
1961-01-04,20.68,0.77,31.91,21.00,77.17,8.71,4.30
1961-01-05,21.46,0.35,32.70,20.54,75.98,0.00,4.35
1961-01-06,21.15,0.41,33.01,20.03,75.59,2.96,4.30
1961-01-07,18.79,0.35,32.94,21.31,76.77,2.64,3.94
1961-01-08,19.11,1.06,32.05,21.29,79.92,3.54,4.15
1961-01-09,20.21,0.41,32.86,20.46,74.41,5.21,4.15
1961-01-10,22.25,0.89,33.87,21.08,78.74,0.00,4.76
1961-01-11,22.41,0.94,33.57,20.45,74.02,1.31,4.81
1961-01-12,18.32,0.59,33.05,20.84,76.77,2.42,3.94
1961-01-13,13.77,0.24,29.78,19.50,85.04,9.35,2.87
1961-01-14,16.12,0.47,30.32,20.45,84.65,2.80,3.33
1961-01-15,15.65,0.24,30.42,20.18,80.71,15.03,3.22
1961-01-16,18.95,0.77,31.79,20.84,76.38,2.79,4.04
1961-01-17,14.55,0.41,27.77,19.19,90.94,13.44,2.92
1961-01-18,16.91,0.06,30.28,19.15,86.22,4.24,3.38
1961-01-19,19.42,0.12,31.46,20.03,83.46,5.15,3.89
1961-01-20,18.32,0.24,30.64,19.36,85.43,9.04,3.63
1961-01-21,18.48,0.30,32.07,20.43,81.89,3.72,3.79
1961-01-22,11.25,0.35,27.14,19.88,92.91,23.11,2.35
1961-01-23,12.82,0.59,28.66,19.29,85.83,24.13,2.71
1961-01-24,16.75,0.30,31.47,20.45,78.74,1.49,3.48
1961-01-25,16.12,0.35,31.86,20.70,83.46,3.43,3.38
1961-01-26,17.38,0.41,30.95,20.89,85.83,22.40,3.58
1961-01-27,13.14,0.24,29.61,21.20,86.61,1.85,2.76
1961-01-28,15.18,0.47,30.92,20.06,84.65,4.31,3.17
1961-01-29,17.22,0.47,31.40,20.45,83.46,1.59,3.58
1961-01-30,20.99,0.41,31.82,21.05,81.10,2.43,4.25
1961-01-31,19.42,0.12,32.50,20.21,80.31,0.45,3.89
1961-02-01,17.85,0.47,31.93,20.30,82.28,0.98,3.74
1961-02-02,15.49,0.47,30.55,20.21,81.10,3.79,3.28
1961-02-03,20.84,0.35,32.70,19.79,77.17,0.00,4.20
1961-02-04,16.75,0.30,31.20,19.07,81.10,3.67,3.43
1961-02-05,17.85,0.47,31.48,19.68,79.92,13.97,3.69
1961-02-06,14.24,0.41,29.96,20.21,83.46,2.51,3.02
1961-02-07,18.32,0.30,30.90,19.81,81.89,0.56,3.69
1961-02-08,20.99,0.47,32.31,18.92,81.50,0.27,4.25
1961-02-09,20.68,0.41,32.33,19.60,79.92,3.08,4.20
