date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,16.59,0.47,30.53,20.62,81.89,13.38,3.53
1961-01-02,16.91,0.53,27.74,20.03,82.28,9.63,3.43
1961-01-03,14.55,0.89,28.04,19.23,79.92,0.04,3.12
1961-01-04,19.42,0.41,31.62,19.23,81.89,1.93,3.99
1961-01-05,17.69,0.59,28.94,18.33,83.86,0.00,3.58
1961-01-06,16.28,0.53,30.33,19.13,79.53,0.04,3.43
1961-01-07,13.61,1.00,25.75,20.62,81.89,1.14,2.92
1961-01-08,14.71,0.71,30.92,20.02,82.68,7.36,3.22
1961-01-09,18.48,0.71,30.73,19.03,81.10,6.45,3.84
1961-01-10,22.41,0.89,33.53,19.62,74.41,0.44,4.81
1961-01-11,18.79,0.83,31.53,18.93,77.56,2.21,3.99
1961-01-12,10.78,1.06,26.14,18.53,88.98,15.25,2.35
1961-01-13,13.30,0.83,26.74,18.52,84.25,3.91,2.81
1961-01-14,19.11,1.12,30.73,19.53,75.98,0.04,4.15
1961-01-15,17.22,0.89,29.73,20.72,80.71,0.24,3.69
1961-01-16,20.68,0.83,30.53,20.72,76.38,0.00,4.35
1961-01-17,22.25,1.24,29.93,19.13,79.13,5.32,4.56
1961-01-18,22.72,0.59,29.53,18.72,77.56,11.12,4.45
1961-01-19,26.33,1.06,30.53,18.33,77.95,0.06,5.17
1961-01-20,22.56,1.06,30.53,19.72,75.20,0.00,4.66
1961-01-21,16.12,0.94,30.33,20.32,83.86,8.06,3.48
1961-01-22,13.14,1.00,24.14,19.73,88.19,7.00,2.66
1961-01-23,16.59,1.36,25.94,19.52,84.65,23.44,3.33
1961-01-24,14.71,0.94,27.34,20.12,86.61,16.71,3.07
1961-01-25,15.34,0.71,30.14,18.33,83.07,3.27,3.28
1961-01-26,14.39,1.00,29.33,20.92,85.83,12.52,3.12
1961-01-27,13.61,1.54,27.53,19.72,87.01,9.39,2.92
1961-01-28,14.55,0.53,29.53,19.53,84.25,3.69,3.07
1961-01-29,20.84,0.77,31.03,20.33,83.46,6.65,4.30
1961-01-30,20.21,0.83,30.34,20.72,79.92,11.93,4.20
1961-01-31,23.19,0.83,30.84,19.43,75.98,1.50,4.71
1961-02-01,26.02,0.59,31.63,18.23,76.77,0.00,5.12
1961-02-02,20.52,0.59,31.93,17.63,68.11,0.00,4.25
1961-02-03,26.33,1.06,32.53,16.33,67.32,0.00,5.37
1961-02-04,26.18,0.83,32.53,16.53,71.26,0.00,5.22
1961-02-05,24.29,0.71,32.73,19.43,70.87,1.38,5.02
1961-02-06,22.56,0.89,30.93,18.63,76.77,1.71,4.61
1961-02-07,24.29,0.83,29.14,18.83,77.56,11.23,4.71
1961-02-08,25.55,0.53,31.93,20.12,75.20,4.94,5.12
1961-02-09,25.55,0.59,32.53,18.83,72.83,0.02,5.12
1961-02-10,21.94,0.77,31.73,18.83,73.62,0.00,4.56
1961-02-11,21.15,1.12,30.44,20.12,75.20,1.90,4.45
1961-02-12,13.14,1.00,24.54,19.13,83.86,8.02,2.71
1961-02-13,20.21,0.89,30.43,18.53,79.53,2.71,4.15
1961-02-14,17.07,0.89,30.04,19.72,79.92,1.08,3.63
1961-02-15,16.75,0.59,27.73,18.63,82.28,9.19,3.38
1961-02-16,21.62,0.65,26.35,18.33,79.92,1.72,4.04
1961-02-17,23.19,0.94,29.53,17.23,78.35,0.02,4.50
1961-02-18,23.51,0.59,30.43,19.42,77.17,1.72,4.66
1961-02-19,23.66,0.94,31.13,19.13,79.53,2.01,4.76
1961-02-20,19.58,0.53,29.93,20.12,78.35,0.00,3.99
1961-02-21,16.91,0.83,30.13,19.92,77.95,4.95,3.63
1961-02-22,23.66,0.47,30.73,19.52,72.83,8.45,4.66
1961-02-23,24.13,0.53,31.64,17.13,69.69,0.00,4.71
1961-02-24,24.13,0.83,32.33,18.43,70.08,0.00,4.91
1961-02-25,22.72,1.06,33.93,19.33,68.90,1.53,5.02
1961-02-26,20.05,0.77,32.73,19.32,71.26,1.54,4.30
1961-02-27,23.82,0.59,32.73,20.02,69.69,0.00,4.86
1961-02-28,21.46,0.47,33.92,18.13,70.87,0.60,4.40
1961-03-01,19.26,0.65,31.33,19.63,76.77,0.00,3.99
1961-03-02,20.99,0.65,31.93,19.13,75.20,1.64,4.30
1961-03-03,17.38,0.77,31.73,18.53,75.98,0.25,3.74
1961-03-04,13.45,0.41,25.35,19.82,87.40,3.72,2.71
1961-03-05,21.62,0.65,31.93,17.83,79.92,4.24,4.35
1961-03-06,20.68,0.53,31.14,18.23,76.38,3.91,4.15
1961-03-07,21.62,0.89,32.33,20.92,74.80,0.30,4.61
1961-03-08,23.51,0.71,33.53,18.23,70.87,0.04,4.81
1961-03-09,19.74,0.71,32.74,18.43,73.23,0.44,4.15
1961-03-10,23.35,1.00,32.34,20.52,70.87,6.39,4.91
1961-03-11,22.41,0.94,32.94,20.52,74.02,16.47,4.76
1961-03-12,23.66,1.48,29.93,20.23,76.38,0.60,4.81
1961-03-13,23.51,0.77,31.72,19.53,75.98,0.00,4.71
1961-03-14,22.72,0.71,30.42,19.62,76.38,2.61,4.50
1961-03-15,20.68,0.41,30.62,19.92,75.59,0.00,4.09
1961-03-16,20.05,0.71,29.93,19.03,80.71,2.93,3.99
1961-03-17,17.54,0.77,28.14,19.23,85.04,7.07,3.48
1961-03-18,22.72,0.41,32.13,17.23,77.17,18.61,4.40
