date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,20.21,0.65,34.15,20.76,74.80,24.84,4.35
1961-01-02,18.95,0.41,33.11,21.34,74.41,2.97,3.99
1961-01-03,16.75,1.12,33.62,20.91,70.08,1.39,4.04
1961-01-04,20.84,0.53,32.97,21.05,74.41,1.93,4.35
1961-01-05,20.36,0.35,32.24,19.49,77.17,2.75,4.09
1961-01-06,19.11,0.59,34.16,21.09,72.83,0.00,4.20
1961-01-07,16.75,0.59,33.65,21.63,74.41,0.00,3.74
1961-01-08,18.01,1.00,33.27,21.67,74.80,1.61,4.09
1961-01-09,20.52,0.41,34.35,21.13,73.23,9.60,4.35
1961-01-10,23.51,1.18,35.77,20.88,70.87,8.70,5.32
1961-01-11,22.41,1.00,34.95,21.59,69.29,1.33,5.02
1961-01-12,16.28,1.00,33.08,21.86,74.02,3.36,3.84
1961-01-13,13.45,0.53,31.29,19.93,81.89,26.48,2.97
1961-01-14,17.38,0.71,32.37,21.17,78.35,0.06,3.79
1961-01-15,17.54,0.35,32.69,21.57,76.77,0.00,3.74
1961-01-16,19.89,0.83,32.73,21.61,73.23,0.00,4.35
1961-01-17,15.97,0.53,30.35,19.75,87.80,0.00,3.28
1961-01-18,18.64,0.24,31.08,19.37,83.86,8.62,3.74
1961-01-19,22.09,0.53,31.92,19.96,79.13,2.27,4.45
1961-01-20,19.58,0.53,31.95,19.92,79.53,0.19,4.04
1961-01-21,17.38,0.41,32.66,20.71,80.31,7.09,3.69
1961-01-22,12.20,0.47,27.11,20.36,90.94,7.19,2.51
1961-01-23,14.71,0.47,28.94,20.29,86.61,8.84,3.02
1961-01-24,19.11,0.35,32.35,20.87,78.74,0.30,3.94
1961-01-25,16.91,0.65,32.99,20.36,80.71,2.73,3.69
1961-01-26,17.69,0.59,30.82,21.56,83.46,16.11,3.69
1961-01-27,16.12,0.71,28.27,20.41,86.22,39.58,3.28
1961-01-28,18.95,0.30,31.51,20.24,85.83,4.52,3.84
1961-01-29,21.46,0.47,33.00,20.78,81.50,24.91,4.45
1961-01-30,23.19,0.47,33.64,20.48,77.56,0.00,4.76
1961-01-31,22.25,0.41,34.03,20.00,73.62,0.00,4.56
1961-02-01,19.89,0.77,34.17,19.62,76.77,0.00,4.30
1961-02-02,18.16,0.53,33.54,19.68,76.38,0.00,3.89
1961-02-03,23.35,0.53,34.21,18.19,71.65,0.00,4.76
1961-02-04,21.78,0.53,32.82,19.00,75.98,0.00,4.45
1961-02-05,21.31,0.35,33.21,20.65,73.62,0.00,4.35
1961-02-06,18.48,0.71,33.46,19.78,77.56,8.58,3.99
1961-02-07,21.46,0.35,32.44,19.79,77.17,0.00,4.35
1961-02-08,23.66,0.71,33.67,20.83,76.77,0.00,4.96
1961-02-09,22.09,0.41,34.23,20.39,74.41,2.10,4.56
1961-02-10,20.52,0.71,33.84,20.62,75.59,8.37,4.40
1961-02-11,18.01,0.53,32.73,21.21,73.62,3.04,3.89
1961-02-12,15.18,0.47,28.77,20.23,85.04,11.96,3.12
1961-02-13,20.52,0.35,31.21,19.96,82.68,9.16,4.09
1961-02-14,17.69,0.41,32.35,19.69,80.71,1.01,3.69
1961-02-15,16.12,0.53,28.84,19.78,88.19,5.38,3.28
1961-02-16,18.16,0.24,30.95,19.43,82.68,0.00,3.63
1961-02-17,20.68,0.53,31.83,19.33,81.10,0.00,4.20
1961-02-18,21.94,0.30,32.99,20.05,79.92,4.50,4.45
1961-02-19,20.05,0.53,33.15,20.82,79.53,3.25,4.20
1961-02-20,19.26,0.47,32.36,20.92,80.31,0.00,3.99
1961-02-21,19.11,0.65,33.28,20.79,77.17,0.00,4.09
1961-02-22,21.15,0.41,32.34,20.33,79.92,0.00,4.30
1961-02-23,23.51,0.30,34.44,19.12,73.62,0.00,4.71
1961-02-24,24.29,0.77,34.53,19.85,72.44,0.00,5.12
1961-02-25,23.03,0.59,35.02,20.58,71.26,0.00,4.86
1961-02-26,22.88,0.77,34.02,20.22,73.62,2.88,4.81
1961-02-27,21.94,0.18,34.93,20.66,72.83,0.00,4.45
1961-02-28,23.03,0.41,34.30,20.74,74.41,0.66,4.76
1961-03-01,17.69,0.24,33.34,21.02,78.74,0.89,3.69
1961-03-02,21.94,0.24,32.97,20.72,79.53,0.00,4.45
1961-03-03,19.26,0.47,33.09,20.73,77.95,0.00,4.04
1961-03-04,18.16,0.30,32.14,20.48,80.71,2.11,3.74
1961-03-05,20.52,0.53,34.13,20.98,77.95,0.67,4.35
1961-03-06,22.09,0.35,33.94,20.87,76.38,0.00,4.56
1961-03-07,21.15,0.65,34.61,20.60,73.62,0.00,4.56
1961-03-08,24.92,0.53,35.80,19.25,73.23,0.00,5.12
1961-03-09,20.84,0.24,35.68,20.61,74.80,1.05,4.35
1961-03-10,22.41,0.53,34.85,20.72,73.62,0.00,4.71
1961-03-11,20.68,0.41,35.49,21.42,74.80,3.50,4.40
1961-03-12,20.36,0.65,31.11,21.78,79.53,4.57,4.20
1961-03-13,17.54,0.77,32.01,21.43,79.53,9.08,3.79
1961-03-14,16.28,0.47,29.74,19.91,83.86,8.59,3.33
1961-03-15,15.02,0.30,29.97,20.24,83.07,2.69,3.07
1961-03-16,19.89,0.47,31.18,20.61,81.50,4.46,3.99
1961-03-17,18.32,0.53,31.78,19.98,82.68,0.00,3.79
1961-03-18,21.15,0.24,33.34,19.58,80.31,0.00,4.25
1961-03-19,17.22,0.18,31.72,20.72,81.89,8.63,3.48
1961-03-20,14.08,0.47,31.73,20.55,83.86,6.96,3.02
1961-03-21,18.16,0.41,32.80,20.41,79.13,0.00,3.79
1961-03-22,18.95,0.24,32.91,21.26,78.35,0.56,3.89
1961-03-23,16.12,0.77,33.92,21.93,80.31,2.64,3.63
1961-03-24,18.48,0.71,33.43,21.80,76.38,0.00,3.99
1961-03-25,15.81,0.59,32.86,20.82,77.17,0.00,3.48
