date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,20.36,0.71,32.46,19.44,80.31,2.80,4.20
1961-01-02,20.05,0.41,32.44,19.29,78.74,1.02,4.09
1961-01-03,17.54,0.59,31.76,19.69,80.71,26.99,3.69
1961-01-04,20.52,0.83,31.02,19.84,79.92,16.85,4.20
1961-01-05,21.15,0.47,31.61,19.83,78.35,0.04,4.25
1961-01-06,20.84,0.41,32.51,19.55,78.74,0.70,4.20
1961-01-07,18.79,0.59,32.60,20.50,79.53,2.80,3.99
1961-01-08,18.64,1.18,31.22,20.31,83.86,7.62,3.94
1961-01-09,20.05,0.59,31.92,19.49,78.74,4.81,4.09
1961-01-10,22.56,1.18,33.25,20.02,81.89,0.38,4.76
1961-01-11,22.09,1.12,32.53,19.53,79.13,4.67,4.66
1961-01-12,17.85,0.71,31.75,19.86,81.89,2.16,3.74
1961-01-13,13.77,0.41,29.00,18.43,86.61,16.51,2.81
1961-01-14,16.28,0.65,30.19,19.58,87.01,2.93,3.33
1961-01-15,15.65,0.24,30.24,19.22,83.86,28.31,3.17
1961-01-16,18.79,0.89,31.47,19.93,78.74,0.00,3.99
1961-01-17,15.18,0.71,27.45,18.50,88.58,12.45,3.02
1961-01-18,17.38,0.18,30.03,18.42,84.65,1.90,3.43
1961-01-19,20.05,0.41,31.10,19.29,83.46,3.34,3.99
1961-01-20,18.64,0.59,30.71,18.84,86.22,9.64,3.74
1961-01-21,18.64,0.41,31.39,19.72,81.50,4.88,3.79
1961-01-22,10.94,0.53,26.57,19.30,94.09,20.68,2.25
1961-01-23,12.98,0.77,28.37,18.81,86.22,24.61,2.76
1961-01-24,16.28,0.53,31.01,20.06,80.71,1.29,3.43
1961-01-25,16.28,0.59,31.36,19.95,85.04,2.88,3.43
1961-01-26,17.22,0.89,30.19,20.12,87.01,18.99,3.53
1961-01-27,13.30,0.65,29.32,20.16,87.01,1.37,2.81
1961-01-28,14.55,0.53,29.88,19.54,87.40,4.26,3.02
1961-01-29,17.22,0.65,31.30,19.73,84.65,1.92,3.58
1961-01-30,20.68,0.53,31.49,20.22,83.07,2.42,4.20
1961-01-31,18.95,0.24,32.19,19.43,80.31,0.23,3.84
1961-02-01,18.48,0.59,31.85,19.59,81.10,2.43,3.84
1961-02-02,16.12,0.65,30.66,19.64,80.71,3.41,3.43
1961-02-03,20.84,0.59,32.72,19.04,78.35,0.19,4.30
1961-02-04,17.07,0.47,31.24,18.71,80.31,0.10,3.53
1961-02-05,17.38,0.35,31.10,19.19,81.50,0.00,3.53
1961-02-06,14.39,0.59,29.60,19.30,84.65,2.73,3.02
1961-02-07,18.32,0.41,30.60,19.13,82.28,2.59,3.69
1961-02-08,21.15,0.59,32.19,18.44,81.50,0.69,4.25
1961-02-09,20.84,0.47,31.98,18.91,80.31,11.58,4.20
1961-02-10,15.81,0.83,29.72,19.46,85.83,0.77,3.28
1961-02-11,14.39,0.59,29.07,18.56,81.89,8.37,3.02
1961-02-12,14.39,0.71,27.01,18.85,88.98,11.28,2.87
1961-02-13,17.22,0.47,29.68,18.74,87.40,4.88,3.43
1961-02-14,15.02,0.35,29.14,19.05,88.19,14.91,3.02
1961-02-15,14.08,0.30,28.36,19.08,87.80,4.80,2.87
1961-02-16,19.26,0.24,30.19,18.50,85.04,15.52,3.79
1961-02-17,19.42,0.35,29.68,19.00,88.19,14.04,3.79
1961-02-18,18.48,0.18,30.29,19.55,87.40,6.69,3.69
1961-02-19,16.75,0.30,29.47,19.30,87.80,31.15,3.33
1961-02-20,15.97,0.35,29.67,19.40,88.58,8.54,3.22
1961-02-21,17.07,0.53,31.28,19.43,83.07,10.05,3.53
1961-02-22,18.48,0.24,28.65,18.79,86.22,25.59,3.58
1961-02-23,20.36,0.30,31.91,18.68,82.68,5.04,4.04
1961-02-24,22.72,0.71,32.70,18.85,78.35,1.11,4.61
1961-02-25,20.52,0.41,31.72,19.47,81.10,4.63,4.09
1961-02-26,20.21,0.53,32.42,19.62,80.71,0.40,4.15
1961-02-27,19.11,0.12,31.18,18.72,78.74,5.28,3.74
