date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,16.91,1.00,29.57,19.12,81.10,2.44,3.63
1961-01-02,15.81,1.00,28.22,19.52,82.28,20.99,3.38
1961-01-03,14.55,1.24,28.44,19.26,81.50,2.17,3.22
1961-01-04,18.16,0.47,29.58,19.05,82.28,11.69,3.69
1961-01-05,17.22,0.94,28.74,18.77,84.65,3.19,3.53
1961-01-06,16.28,0.53,29.58,19.31,80.71,16.44,3.43
1961-01-07,12.67,1.36,26.91,19.76,82.28,4.99,2.87
1961-01-08,14.55,0.94,28.92,19.47,82.28,5.02,3.17
1961-01-09,18.95,1.00,30.57,19.26,79.53,0.00,4.04
1961-01-10,20.36,1.24,31.69,19.11,74.02,0.00,4.50
1961-01-11,17.54,1.18,30.57,18.99,77.17,3.50,3.89
1961-01-12,10.47,1.48,25.05,18.17,89.37,35.71,2.25
1961-01-13,12.82,1.42,26.55,17.55,83.86,7.66,2.81
1961-01-14,18.16,1.89,28.77,18.93,76.38,0.00,4.04
1961-01-15,16.28,1.42,28.94,19.25,80.71,0.91,3.58
1961-01-16,21.15,1.12,30.57,19.29,75.98,0.76,4.45
1961-01-17,23.35,2.13,30.02,18.89,77.95,10.80,4.91
1961-01-18,23.82,0.94,29.69,17.94,76.38,2.56,4.71
1961-01-19,26.49,1.89,31.04,17.94,76.77,0.45,5.43
1961-01-20,22.25,1.95,30.58,19.08,73.62,0.00,4.91
1961-01-21,15.49,1.24,28.14,19.65,83.86,21.58,3.33
1961-01-22,15.18,1.18,25.67,18.91,87.01,17.35,3.02
1961-01-23,17.54,1.54,26.63,18.71,84.25,2.71,3.53
1961-01-24,14.39,1.36,26.82,19.76,86.61,13.90,3.02
1961-01-25,14.39,1.18,28.50,18.83,83.46,8.84,3.12
1961-01-26,13.61,1.30,28.93,20.01,85.04,3.95,3.02
1961-01-27,12.98,1.95,27.24,19.33,87.01,23.59,2.87
1961-01-28,14.87,0.94,28.37,19.32,84.65,10.53,3.17
1961-01-29,21.62,1.24,29.82,19.78,83.07,1.26,4.40
1961-01-30,19.26,1.06,29.67,19.98,79.92,9.15,4.04
