date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,17.38,0.41,31.58,18.68,81.10,8.20,3.63
1961-01-02,18.48,0.47,30.54,19.53,78.35,7.09,3.79
1961-01-03,15.65,0.53,30.67,19.05,75.98,7.91,3.38
1961-01-04,19.58,0.77,30.36,18.36,80.31,5.45,3.99
1961-01-05,18.64,0.35,30.05,18.08,82.28,0.00,3.74
1961-01-06,16.28,0.35,32.15,19.06,76.77,1.61,3.43
1961-01-07,15.02,0.77,31.01,19.44,76.77,5.43,3.38
1961-01-08,15.49,0.83,30.05,18.58,81.89,1.46,3.33
1961-01-09,19.74,0.53,31.77,18.94,81.10,11.06,4.04
1961-01-10,23.35,0.89,33.78,17.98,73.62,3.16,4.91
1961-01-11,20.21,0.65,31.65,19.15,78.35,1.73,4.20
1961-01-12,12.82,0.89,29.03,19.04,84.25,9.16,2.81
1961-01-13,12.98,0.65,29.26,17.68,82.28,13.70,2.81
1961-01-14,18.48,0.89,30.32,18.97,75.98,5.55,3.94
1961-01-15,16.91,0.65,30.68,19.44,79.13,0.00,3.58
1961-01-16,19.58,0.77,31.09,18.78,76.38,0.00,4.09
1961-01-17,19.89,1.00,30.20,17.98,80.71,0.00,4.09
1961-01-18,21.46,0.59,30.08,17.50,79.92,3.10,4.20
1961-01-19,24.92,0.71,30.39,18.01,77.95,0.00,4.81
1961-01-20,22.41,0.83,30.46,17.71,78.74,0.12,4.45
1961-01-21,17.38,0.53,30.31,19.22,81.10,0.00,3.58
1961-01-22,11.72,0.77,25.57,18.99,90.55,9.18,2.41
1961-01-23,15.81,1.24,27.96,18.65,85.04,19.73,3.28
1961-01-24,14.08,0.89,30.69,19.09,83.86,25.39,3.12
1961-01-25,15.81,0.59,32.24,18.10,82.28,14.83,3.43
1961-01-26,14.71,1.00,28.65,19.47,84.25,0.02,3.12
1961-01-27,14.08,1.18,26.87,18.28,86.61,4.46,2.92
1961-01-28,13.92,0.47,30.48,18.55,87.40,1.46,2.97
1961-01-29,20.52,0.59,31.16,19.64,81.50,1.03,4.20
1961-01-30,20.36,0.59,32.45,18.91,78.35,2.13,4.25
1961-01-31,21.94,0.53,32.44,18.44,77.95,0.00,4.45
1961-02-01,25.86,0.47,33.40,17.32,75.20,0.00,5.12
1961-02-02,20.84,0.59,33.24,17.37,70.47,0.00,4.35
1961-02-03,25.55,0.77,33.95,15.77,69.69,0.00,5.17
1961-02-04,25.39,0.47,31.55,16.76,72.83,0.00,4.86
1961-02-05,22.56,0.53,32.43,19.08,74.80,0.00,4.61
1961-02-06,21.78,0.71,32.70,17.96,79.13,0.00,4.50
1961-02-07,23.66,0.53,31.19,18.29,79.13,6.04,4.66
1961-02-08,25.39,0.47,32.87,19.36,76.38,8.06,5.07
1961-02-09,25.23,0.47,33.64,19.22,74.41,1.69,5.12
1961-02-10,20.21,0.71,32.91,18.58,77.17,0.00,4.25
1961-02-11,19.74,0.77,31.98,19.41,77.95,0.80,4.15
1961-02-12,13.14,0.89,26.75,19.46,84.65,5.44,2.76
1961-02-13,19.42,0.53,30.65,17.95,83.07,5.91,3.89
1961-02-14,15.97,0.65,31.69,18.44,81.89,2.68,3.43
1961-02-15,16.28,0.47,27.75,18.15,87.01,6.96,3.22
1961-02-16,21.15,0.30,29.96,17.87,81.10,4.18,4.09
