date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,16.75,0.53,28.28,17.86,84.25,14.30,3.38
1961-01-02,17.85,0.53,28.31,18.57,81.89,4.35,3.58
1961-01-03,14.71,0.71,28.47,18.15,81.10,4.30,3.12
1961-01-04,19.42,0.83,29.74,17.87,82.68,6.32,3.94
1961-01-05,17.69,0.41,28.69,17.43,82.68,0.71,3.53
1961-01-06,16.75,0.41,29.36,17.99,79.92,0.22,3.43
1961-01-07,15.02,0.94,26.75,19.05,81.10,0.75,3.17
1961-01-08,14.08,0.94,28.45,18.19,85.04,1.31,3.02
1961-01-09,18.32,0.71,29.15,17.59,83.86,14.61,3.69
1961-01-10,22.56,1.00,31.54,17.61,76.77,0.32,4.66
1961-01-11,18.64,0.77,29.98,17.87,81.50,3.27,3.84
1961-01-12,10.94,1.06,24.67,16.82,89.37,19.16,2.30
1961-01-13,13.14,0.77,26.03,16.34,85.04,14.94,2.71
1961-01-14,18.01,1.06,29.34,18.08,79.53,5.71,3.79
1961-01-15,16.91,0.77,29.03,18.47,82.68,13.72,3.53
1961-01-16,20.52,0.89,29.57,18.17,78.35,5.24,4.20
1961-01-17,22.56,1.18,29.29,17.69,79.13,0.73,4.50
1961-01-18,22.88,0.77,28.68,16.71,77.95,11.34,4.40
1961-01-19,26.33,0.89,30.02,17.42,78.35,0.05,5.07
1961-01-20,21.94,1.00,29.62,17.75,78.35,0.00,4.40
1961-01-21,17.07,0.71,29.36,18.49,82.68,3.06,3.53
1961-01-22,12.82,0.94,25.09,18.33,89.37,5.03,2.61
1961-01-23,16.28,1.48,25.71,17.95,85.43,17.73,3.22
1961-01-24,13.77,1.06,26.82,18.34,87.80,18.66,2.87
1961-01-25,15.81,0.77,29.78,17.17,83.86,4.54,3.33
1961-01-26,14.71,1.18,28.66,19.10,85.43,3.68,3.17
1961-01-27,14.08,1.42,27.30,18.03,87.01,16.17,2.97
1961-01-28,13.77,0.59,27.78,18.16,86.22,3.39,2.87
1961-01-29,20.36,0.71,29.41,18.70,84.25,5.84,4.04
1961-01-30,19.89,0.71,29.73,18.74,81.50,17.79,4.04
1961-01-31,21.94,0.71,30.17,18.40,80.71,2.47,4.40
1961-02-01,25.55,0.59,30.40,17.29,76.38,0.31,4.91
1961-02-02,20.36,0.77,31.54,17.23,70.08,0.00,4.30
1961-02-03,25.71,0.94,31.58,16.73,70.08,0.00,5.17
1961-02-04,25.55,0.59,31.39,16.76,72.83,0.00,4.96
1961-02-05,22.88,0.65,30.82,18.18,74.80,0.00,4.56
1961-02-06,21.94,0.77,29.71,17.98,79.92,0.00,4.35
1961-02-07,23.98,0.65,27.67,17.60,79.92,13.26,4.50
1961-02-08,25.71,0.53,31.14,17.93,76.77,10.16,5.02
1961-02-09,25.39,0.59,31.29,18.23,75.20,1.74,5.02
1961-02-10,20.05,0.83,30.42,17.95,77.56,1.11,4.15
1961-02-11,19.58,1.00,29.67,18.08,79.53,3.55,4.04
1961-02-12,12.82,1.06,24.45,17.86,86.22,5.80,2.61
1961-02-13,18.79,0.65,28.70,17.02,83.46,12.11,3.69
1961-02-14,15.97,0.89,28.89,18.30,83.86,3.05,3.33
1961-02-15,15.81,0.59,27.01,17.41,85.43,8.38,3.12
1961-02-16,20.68,0.41,27.31,16.94,82.68,2.49,3.89
1961-02-17,21.62,0.77,28.70,16.66,83.07,0.70,4.15
1961-02-18,22.56,0.47,28.48,17.68,81.10,4.06,4.30
1961-02-19,22.56,0.89,29.19,17.91,83.46,9.79,4.40
1961-02-20,18.64,0.77,28.51,18.11,82.68,9.06,3.74
1961-02-21,16.12,0.83,27.38,18.06,85.83,10.90,3.22
1961-02-22,21.62,0.41,28.90,17.82,78.35,14.45,4.15
1961-02-23,23.51,0.41,30.46,16.24,75.98,2.87,4.45
1961-02-24,23.66,0.83,31.82,16.93,73.23,0.00,4.76
1961-02-25,20.68,1.18,32.32,18.32,74.02,1.28,4.50
1961-02-26,19.11,0.71,31.64,17.51,75.59,1.76,3.99
1961-02-27,22.56,0.53,30.97,17.82,72.44,0.80,4.45
1961-02-28,20.68,0.53,31.73,17.17,75.20,0.00,4.20
1961-03-01,19.58,0.71,29.82,18.05,78.74,0.34,3.94
1961-03-02,20.84,0.65,30.99,17.83,77.17,1.22,4.20
1961-03-03,16.75,0.83,30.43,17.79,79.92,0.22,3.53
1961-03-04,14.39,0.41,26.87,18.04,85.83,3.27,2.87
1961-03-05,20.99,0.83,29.24,16.75,81.89,11.46,4.09
1961-03-06,18.95,0.47,30.20,17.82,79.92,3.93,3.79
1961-03-07,20.84,0.59,30.56,18.53,77.17,7.03,4.15
1961-03-08,22.41,0.53,32.12,18.07,74.41,0.03,4.50
1961-03-09,19.58,0.71,32.41,17.52,75.20,0.00,4.09
1961-03-10,22.41,0.77,31.74,18.96,74.80,5.56,4.56
1961-03-11,21.78,0.94,31.69,18.47,78.35,11.69,4.45
1961-03-12,22.41,1.36,29.24,18.64,83.07,1.34,4.40
1961-03-13,22.88,0.71,29.81,17.86,80.71,2.09,4.40
1961-03-14,22.09,0.77,28.82,18.05,81.50,1.28,4.25
1961-03-15,19.42,0.65,28.40,18.11,80.71,1.19,3.79
1961-03-16,19.58,0.47,28.58,17.55,81.50,0.09,3.74
1961-03-17,17.85,0.65,27.94,17.82,86.22,5.40,3.48
1961-03-18,22.09,0.65,31.40,16.59,79.53,5.45,4.35
1961-03-19,17.85,0.47,28.02,18.03,84.25,8.70,3.48
1961-03-20,17.38,0.94,28.36,16.94,79.53,11.28,3.48
1961-03-21,19.58,0.83,29.13,18.39,79.53,0.00,3.89
1961-03-22,22.72,0.59,31.13,18.06,73.23,1.14,4.45
1961-03-23,19.89,1.36,30.04,20.04,74.41,0.19,4.25
1961-03-24,17.38,1.06,29.33,19.86,73.23,0.05,3.74
1961-03-25,20.05,0.89,29.99,17.69,73.23,0.00,4.04
1961-03-26,21.46,0.83,29.96,17.90,75.59,0.02,4.20
1961-03-27,21.46,0.77,29.63,17.49,75.20,0.00,4.15
1961-03-28,20.05,0.65,26.97,18.88,84.65,2.57,3.74
1961-03-29,19.58,0.94,29.88,18.41,72.83,4.11,3.99
1961-03-30,22.25,1.06,29.42,16.43,72.44,0.00,4.35
1961-03-31,20.05,0.77,29.74,17.26,72.83,1.08,3.94
1961-04-01,19.89,0.89,30.45,19.09,73.62,1.63,4.04
1961-04-02,18.48,1.30,28.98,18.87,77.17,0.09,3.84
1961-04-03,21.15,0.65,30.79,17.57,75.59,0.00,4.09
1961-04-04,21.94,0.47,31.96,18.36,72.05,0.00,4.25
1961-04-05,20.52,0.89,31.87,18.00,71.65,0.00,4.20
1961-04-06,18.95,0.53,32.77,16.85,71.65,0.00,3.84
1961-04-07,23.51,0.83,32.04,15.86,67.72,0.00,4.56
1961-04-08,22.72,0.89,32.07,18.11,66.93,0.00,4.56
1961-04-09,22.09,1.00,32.31,16.53,68.11,0.57,4.50
1961-04-10,21.78,0.89,30.50,19.55,75.20,1.85,4.30
1961-04-11,21.62,0.89,30.53,18.22,74.80,2.27,4.25
1961-04-12,20.21,0.71,31.22,17.37,74.02,0.96,3.99
1961-04-13,21.62,0.77,31.46,16.37,68.90,1.08,4.20
1961-04-14,20.36,0.53,32.52,16.34,67.72,0.00,3.94
1961-04-15,19.89,0.94,31.28,17.29,73.62,0.03,3.99
1961-04-16,22.41,1.00,30.57,18.53,71.26,1.70,4.40
1961-04-17,21.15,0.94,30.52,16.17,67.72,0.00,4.15
1961-04-18,23.19,1.18,32.04,17.12,67.72,0.00,4.66
1961-04-19,22.41,0.59,33.26,15.40,65.35,0.00,4.25
1961-04-20,17.85,0.53,32.71,15.88,68.90,0.00,3.58
1961-04-21,19.26,0.53,30.24,17.92,74.02,0.21,3.69
