date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,20.05,0.71,32.60,19.64,80.71,12.06,4.20
1961-01-02,19.26,0.47,32.51,19.70,79.13,4.50,3.99
1961-01-03,16.91,0.94,32.04,19.90,79.92,3.30,3.74
1961-01-04,20.68,0.94,31.24,19.92,79.92,5.52,4.25
1961-01-05,20.52,0.41,31.87,19.94,78.35,0.00,4.15
1961-01-06,20.21,0.59,32.86,19.89,77.95,1.41,4.20
1961-01-07,17.07,0.71,32.89,20.71,79.13,4.33,3.74
1961-01-08,17.69,1.36,31.28,20.40,83.46,1.57,3.84
1961-01-09,20.36,0.41,32.40,19.82,78.74,6.68,4.15
1961-01-10,23.19,1.42,33.72,20.00,81.50,2.73,4.96
1961-01-11,22.25,1.18,32.78,19.84,78.74,1.00,4.71
1961-01-12,16.75,1.06,31.92,20.10,81.50,3.42,3.69
1961-01-13,12.82,0.65,29.75,18.62,86.22,10.10,2.76
1961-01-14,16.59,0.77,30.42,19.83,86.22,3.72,3.43
1961-01-15,16.91,0.35,30.70,19.54,83.46,1.83,3.43
1961-01-16,19.42,1.06,31.84,20.10,78.35,0.00,4.20
1961-01-17,15.81,0.83,28.37,18.72,88.19,9.61,3.17
1961-01-18,18.64,0.24,30.39,18.69,84.65,3.51,3.69
1961-01-19,21.78,0.59,31.35,19.45,83.46,0.00,4.35
1961-01-20,19.42,0.47,30.82,18.90,86.22,5.93,3.89
1961-01-21,18.32,0.47,31.67,19.97,81.50,0.00,3.79
1961-01-22,11.72,0.53,26.72,19.59,94.09,24.16,2.41
1961-01-23,14.24,0.71,28.75,19.14,85.83,22.44,2.97
1961-01-24,18.32,0.59,31.42,20.20,80.71,15.94,3.84
1961-01-25,17.07,0.71,31.97,19.98,85.04,10.76,3.63
1961-01-26,17.69,0.77,30.35,20.47,87.01,22.87,3.63
1961-01-27,15.97,0.77,29.21,20.18,87.01,2.96,3.28
1961-01-28,18.16,0.47,30.48,19.75,87.01,3.32,3.69
1961-01-29,20.99,0.71,31.68,20.01,84.65,0.64,4.25
1961-01-30,23.03,0.59,32.14,20.36,82.68,3.50,4.66
1961-01-31,21.46,0.24,32.64,19.75,79.13,0.00,4.30
1961-02-01,20.21,0.83,32.49,19.62,81.10,0.00,4.25
1961-02-02,18.48,0.59,31.42,19.63,79.92,2.49,3.84
1961-02-03,22.88,0.59,33.16,18.84,77.95,0.00,4.66
1961-02-04,21.31,0.53,31.31,18.75,80.31,0.00,4.25
1961-02-05,20.36,0.41,31.53,19.54,80.71,0.00,4.09
1961-02-06,17.85,0.77,30.47,19.38,84.65,0.00,3.69
1961-02-07,21.15,0.41,31.15,19.24,81.89,1.54,4.20
1961-02-08,23.66,0.77,32.52,18.87,81.10,4.82,4.76
1961-02-09,22.25,0.47,32.63,19.27,79.92,0.28,4.50
1961-02-10,19.58,0.83,30.74,19.59,85.43,0.25,3.99
1961-02-11,17.38,0.47,30.09,19.12,81.50,1.17,3.53
1961-02-12,15.34,0.71,27.49,19.36,88.19,9.76,3.07
1961-02-13,19.89,0.41,30.14,18.98,87.40,4.40,3.89
1961-02-14,16.91,0.24,29.81,19.21,87.40,16.79,3.38
1961-02-15,15.81,0.47,28.50,19.34,87.80,8.57,3.17
1961-02-16,18.16,0.24,30.37,18.66,85.04,2.97,3.58
1961-02-17,19.89,0.47,30.13,18.94,87.80,0.00,3.89
1961-02-18,21.31,0.30,31.07,19.48,87.01,1.97,4.20
1961-02-19,19.26,0.47,30.33,19.50,87.40,4.77,3.84
1961-02-20,18.48,0.41,30.07,19.60,87.80,4.48,3.69
1961-02-21,18.48,0.65,31.61,19.72,82.28,15.79,3.84
1961-02-22,19.89,0.35,29.50,19.02,85.43,21.46,3.89
1961-02-23,23.19,0.30,32.54,18.78,81.10,4.57,4.56
1961-02-24,24.45,0.71,33.20,18.98,77.95,0.00,4.96
1961-02-25,21.78,0.41,32.41,19.55,80.31,0.63,4.35
1961-02-26,22.41,0.71,32.63,19.68,80.71,0.98,4.56
1961-02-27,20.99,0.18,32.22,19.04,77.95,2.99,4.15
1961-02-28,22.88,0.59,32.12,19.41,81.89,0.56,4.56
1961-03-01,17.69,0.30,31.16,19.68,84.25,0.60,3.58
1961-03-02,21.78,0.35,32.11,19.79,82.68,5.05,4.35
1961-03-03,18.95,0.59,31.40,20.54,84.25,0.00,3.89
1961-03-04,18.79,0.30,32.51,19.39,80.71,0.33,3.84
1961-03-05,19.74,0.71,32.49,20.15,83.07,0.54,4.09
1961-03-06,21.15,0.59,31.96,20.08,80.71,3.35,4.30
1961-03-07,20.68,0.59,32.65,19.64,79.92,0.38,4.25
1961-03-08,24.61,0.59,33.90,18.96,78.35,0.00,4.96
1961-03-09,20.99,0.59,34.24,19.62,77.56,0.00,4.40
1961-03-10,21.78,0.47,33.22,19.55,79.13,2.81,4.40
1961-03-11,20.21,0.35,33.01,20.28,80.31,4.28,4.15
1961-03-12,19.42,0.71,30.78,19.63,86.61,12.68,3.89
1961-03-13,17.38,0.71,29.64,19.16,86.61,9.19,3.48
1961-03-14,15.81,0.71,28.72,19.36,87.40,6.04,3.17
1961-03-15,14.87,0.59,29.68,19.53,88.98,0.00,3.02
1961-03-16,19.89,0.47,30.53,19.65,83.07,18.35,3.94
1961-03-17,18.64,0.41,31.27,19.68,85.43,0.00,3.74
1961-03-18,20.21,0.59,30.96,18.68,86.61,15.78,3.99
1961-03-19,17.38,0.18,30.39,19.60,85.83,1.65,3.43
1961-03-20,14.08,0.30,29.86,19.64,87.40,12.82,2.87
1961-03-21,18.01,0.59,30.19,19.37,84.65,2.53,3.58
1961-03-22,19.26,0.47,31.76,19.96,83.46,1.54,3.89
1961-03-23,15.97,0.71,31.84,19.84,85.43,0.00,3.38
1961-03-24,17.85,0.83,31.23,20.05,85.04,5.05,3.69
1961-03-25,15.34,0.65,31.07,20.32,85.83,0.00,3.22
1961-03-26,16.44,0.47,31.63,20.29,88.19,0.00,3.38
1961-03-27,16.75,0.59,29.37,19.38,87.01,1.58,3.33
1961-03-28,20.21,0.53,31.69,20.02,86.61,0.00,4.04
1961-03-29,16.28,0.41,30.15,20.08,87.40,10.09,3.28
1961-03-30,15.49,0.77,30.31,19.91,87.01,1.06,3.17
1961-03-31,16.91,0.41,30.19,20.26,86.22,6.18,3.38
1961-04-01,13.30,0.47,29.34,20.53,89.37,1.25,2.76
1961-04-02,13.77,0.59,29.64,19.45,86.61,16.75,2.87
1961-04-03,21.46,0.47,31.50,19.45,81.89,0.00,4.20
1961-04-04,22.41,0.53,32.57,19.51,81.10,0.00,4.40
1961-04-05,19.58,0.65,31.60,19.23,81.89,0.00,3.89
1961-04-06,15.81,0.35,32.33,19.52,82.28,0.00,3.28
1961-04-07,18.95,0.47,32.56,19.22,79.92,5.62,3.84
1961-04-08,17.07,0.59,32.53,19.70,81.50,0.00,3.53
1961-04-09,19.26,0.71,32.40,19.59,81.10,0.14,3.94
1961-04-10,15.97,0.47,30.95,20.03,81.89,3.04,3.28
1961-04-11,19.58,0.30,32.25,20.06,80.31,7.92,3.84
1961-04-12,18.48,0.30,31.73,19.92,84.25,3.24,3.63
1961-04-13,17.38,0.18,31.57,19.03,82.28,0.14,3.38
1961-04-14,17.38,0.41,32.00,18.49,79.92,0.00,3.48
1961-04-15,17.85,0.71,32.71,19.68,80.71,7.58,3.69
1961-04-16,17.38,0.53,31.84,19.21,80.31,0.49,3.53
1961-04-17,17.69,0.71,31.60,18.94,79.92,0.00,3.58
1961-04-18,20.36,0.65,31.87,19.06,81.50,11.37,3.99
1961-04-19,16.91,0.41,33.06,19.42,79.13,0.43,3.43
1961-04-20,15.49,0.35,31.17,19.84,81.89,0.00,3.12
1961-04-21,16.12,0.59,31.82,19.55,82.28,7.56,3.33
1961-04-22,15.81,0.47,30.50,19.22,83.07,16.00,3.12
1961-04-23,21.78,0.41,33.40,18.35,80.31,0.00,4.20
1961-04-24,20.05,0.41,32.35,18.81,79.53,0.00,3.89
1961-04-25,17.38,0.47,31.98,20.32,81.10,1.15,3.48
1961-04-26,16.28,0.47,30.68,20.03,86.22,1.44,3.22
1961-04-27,19.74,0.89,32.00,20.24,82.68,9.83,3.94
1961-04-28,17.85,0.24,32.98,19.24,80.71,1.89,3.48
1961-04-29,16.59,0.41,31.28,20.09,84.65,0.00,3.28
1961-04-30,19.11,0.65,32.45,19.20,81.50,0.63,3.79
1961-05-01,18.01,0.30,32.13,20.18,84.65,4.46,3.53
1961-05-02,14.39,0.65,31.04,20.65,83.86,1.94,2.97
1961-05-03,16.59,0.53,31.71,20.59,84.25,1.48,3.33
1961-05-04,16.59,0.71,32.25,20.03,85.04,0.63,3.38
1961-05-05,20.21,0.47,32.61,19.55,79.92,0.00,3.89
1961-05-06,17.85,0.30,32.60,19.90,82.68,0.00,3.48
1961-05-07,19.11,0.53,32.65,19.92,81.50,0.00,3.79
1961-05-08,18.01,0.53,33.09,20.00,80.31,0.00,3.63
1961-05-09,18.48,0.24,33.95,20.45,78.35,0.00,3.63
1961-05-10,17.54,0.41,33.46,19.53,79.13,0.00,3.48
1961-05-11,18.64,0.47,32.67,18.48,79.92,0.00,3.58
1961-05-12,19.11,0.47,32.86,18.03,75.20,0.00,3.69
1961-05-13,20.99,0.35,32.73,16.08,79.92,0.00,3.84
1961-05-14,15.81,0.71,31.28,17.10,75.59,0.00,3.17
1961-05-15,19.11,0.89,32.82,18.18,76.38,1.34,3.84
1961-05-16,17.85,1.12,33.62,18.82,74.02,0.00,3.89
1961-05-17,18.79,0.53,32.30,18.51,76.38,0.00,3.58
1961-05-18,21.46,0.41,33.47,17.18,75.20,0.00,3.94
1961-05-19,19.58,0.53,33.68,17.92,75.20,0.00,3.79
1961-05-20,18.32,0.65,33.34,18.20,74.41,0.00,3.63
1961-05-21,16.59,0.47,32.19,18.49,77.17,0.71,3.22
