date,Rs,u2,Tmax,Tmin,RH,pr,ETo
1961-01-01,21.78,0.59,33.82,20.95,67.32,0.00,4.56
1961-01-02,20.05,0.41,33.52,20.95,68.50,1.44,4.20
1961-01-03,18.79,0.83,33.57,21.36,67.72,2.99,4.25
1961-01-04,20.99,0.41,33.04,22.07,68.50,0.65,4.35
1961-01-05,21.94,0.35,33.59,21.08,70.87,0.00,4.45
1961-01-06,22.25,0.59,34.04,21.08,66.54,3.38,4.66
1961-01-07,19.58,0.30,34.00,22.39,66.93,3.50,4.09
1961-01-08,19.58,0.94,33.49,22.86,66.54,0.30,4.50
1961-01-09,20.52,0.35,34.25,21.81,61.81,0.00,4.25
1961-01-10,21.31,0.89,34.98,22.43,65.75,0.00,4.81
1961-01-11,23.19,0.89,35.35,21.63,61.02,0.12,5.17
1961-01-12,19.42,0.77,34.93,22.02,62.60,0.81,4.45
1961-01-13,14.39,0.24,31.76,20.63,76.77,9.68,3.07
1961-01-14,16.59,0.47,30.65,20.93,80.71,2.61,3.48
1961-01-15,16.75,0.30,31.85,21.33,72.44,1.38,3.48
1961-01-16,19.26,0.71,33.07,21.98,69.69,7.09,4.25
1961-01-17,13.61,0.12,28.41,20.03,90.16,15.88,2.76
1961-01-18,16.12,0.12,30.14,20.02,85.43,5.23,3.28
1961-01-19,19.74,0.12,31.59,20.66,77.95,5.18,3.94
1961-01-20,17.07,0.24,30.33,20.19,81.10,9.15,3.43
1961-01-21,18.48,0.30,32.23,20.92,79.92,0.00,3.79
1961-01-22,12.04,0.24,27.47,20.66,90.16,30.06,2.51
1961-01-23,12.82,0.24,29.02,19.86,85.83,21.18,2.66
1961-01-24,19.58,0.12,32.17,21.11,73.62,0.00,3.89
1961-01-25,17.54,0.41,32.29,21.56,80.71,1.38,3.69
1961-01-26,19.11,0.12,31.66,22.20,79.92,23.11,3.89
1961-01-27,16.28,0.18,29.71,21.75,84.65,11.01,3.33
1961-01-28,20.05,0.35,31.99,20.68,83.86,1.65,4.09
