city,variable,period,n,mean,median,std,cv,iqr,p10,p25,p50,p75,p90,skewness,kurtosis,min,max
Baixa_Grande_do_Ribeiro,pr,1961-1990,30,1197.455,1157.775,227.964,19.037,231.023,945.491,1059.097,1157.775,1290.120,1420.295,1.360,2.972,834.420,1937.430
Baixa_Grande_do_Ribeiro,pr,1981-2010,30,1120.746,1117.285,221.930,19.802,227.725,894.646,975.803,1117.285,1203.527,1282.870,1.733,5.353,800.510,1937.430
Baixa_Grande_do_Ribeiro,pr,1991-2020,30,1054.918,1016.680,153.881,14.587,221.450,860.851,963.825,1016.680,1185.275,1275.311,0.053,-0.763,756.140,1324.230
Baixa_Grande_do_Ribeiro,ETo,1961-1990,30,1492.180,1491.770,73.542,4.928,137.002,1405.288,1421.325,1491.770,1558.327,1578.711,0.156,-0.931,1380.760,1655.520
Baixa_Grande_do_Ribeiro,ETo,1981-2010,30,1537.977,1529.775,64.367,4.185,77.812,1467.177,1500.553,1529.775,1578.365,1605.675,0.175,0.480,1407.750,1697.210
Baixa_Grande_do_Ribeiro,ETo,1991-2020,30,1560.632,1565.065,56.887,3.645,85.747,1485.479,1517.600,1565.065,1603.347,1616.145,0.224,-0.356,1459.950,1697.210
Baixa_Grande_do_Ribeiro,Tmax,1961-1990,30,31.538,31.616,0.739,2.343,0.802,30.933,31.237,31.616,32.040,32.260,-1.232,2.484,29.248,32.672
Baixa_Grande_do_Ribeiro,Tmax,1981-2010,30,32.232,32.162,0.681,2.114,0.883,31.614,31.831,32.162,32.714,33.074,-0.240,0.561,30.434,33.582
Baixa_Grande_do_Ribeiro,Tmax,1991-2020,30,32.709,32.771,0.647,1.978,0.954,31.915,32.131,32.771,33.086,33.511,0.256,-0.833,31.793,34.113
Baixa_Grande_do_Ribeiro,Tmin,1961-1990,30,19.752,19.986,0.815,4.124,1.397,18.662,18.896,19.986,20.293,20.493,-0.122,-0.725,18.311,21.455
Baixa_Grande_do_Ribeiro,Tmin,1981-2010,30,20.368,20.335,0.335,1.642,0.267,19.983,20.245,20.335,20.512,20.872,0.080,0.397,19.618,21.075
Baixa_Grande_do_Ribeiro,Tmin,1991-2020,30,20.592,20.506,0.443,2.153,0.623,20.106,20.318,20.506,20.942,21.111,0.032,-0.230,19.618,21.468
Baixa_Grande_do_Ribeiro,RH,1961-1990,30,70.814,70.681,3.364,4.751,4.795,66.188,69.043,70.681,73.838,74.584,-0.422,-0.547,63.484,75.990
Baixa_Grande_do_Ribeiro,RH,1981-2010,30,67.724,67.518,2.976,4.395,4.448,64.234,65.111,67.518,69.559,71.347,0.171,-0.562,62.494,74.546
Baixa_Grande_do_Ribeiro,RH,1991-2020,30,66.611,66.336,2.702,4.056,3.428,63.060,64.851,66.336,68.279,70.225,0.245,-0.564,61.782,71.883
Baixa_Grande_do_Ribeiro,Rs,1961-1990,30,19.053,19.090,0.496,2.606,0.532,18.583,18.802,19.090,19.334,19.622,-0.746,1.347,17.717,19.983
Baixa_Grande_do_Ribeiro,Rs,1981-2010,30,19.114,19.163,0.638,3.340,0.643,18.195,18.796,19.163,19.439,19.908,-0.289,0.089,17.717,20.431
Baixa_Grande_do_Ribeiro,Rs,1991-2020,30,19.427,19.520,0.532,2.740,0.612,18.800,19.179,19.520,19.791,19.932,-0.847,0.881,18.042,20.431
Baixa_Grande_do_Ribeiro,u2,1961-1990,30,0.989,1.053,0.354,35.736,0.688,0.492,0.617,1.053,1.305,1.352,-0.413,-1.412,0.389,1.468
Baixa_Grande_do_Ribeiro,u2,1981-2010,30,1.038,1.014,0.150,14.459,0.131,0.891,0.953,1.014,1.085,1.238,1.126,1.525,0.808,1.468
Baixa_Grande_do_Ribeiro,u2,1991-2020,30,0.962,0.963,0.087,9.006,0.089,0.829,0.926,0.963,1.015,1.042,0.058,0.460,0.806,1.178
Balsas,pr,1961-1990,30,1254.709,1211.720,221.850,17.681,203.890,1048.493,1124.010,1211.720,1327.900,1417.747,1.915,5.989,960.680,2089.360
Balsas,pr,1981-2010,30,1214.433,1188.900,262.152,21.586,284.408,968.141,1025.432,1188.900,1309.840,1522.143,1.352,2.939,829.400,2089.360
Balsas,pr,1991-2020,30,1186.044,1198.220,215.565,18.175,274.583,949.059,1018.945,1198.220,1293.528,1480.495,0.173,-0.462,784.280,1633.990
Balsas,ETo,1961-1990,30,1458.674,1469.110,54.806,3.757,85.778,1385.677,1411.015,1469.110,1496.793,1520.560,-0.003,-0.948,1373.980,1572.040
Balsas,ETo,1981-2010,30,1488.162,1493.355,47.073,3.163,59.300,1439.522,1452.983,1493.355,1512.283,1538.957,-0.296,0.343,1376.830,1585.230
