city,variable,period,month,n,mean,median,std,cv,iqr,p10,p25,p50,p75,p90,skewness,kurtosis,min,max
Baixa_Grande_do_Ribeiro,pr,1961-1990,1,30,191.534,176.320,72.910,38.067,68.420,128.840,149.960,176.320,218.380,272.951,1.742,4.635,83.570,453.270
Baixa_Grande_do_Ribeiro,pr,1961-1990,2,30,184.679,179.580,77.603,42.021,69.770,102.790,138.965,179.580,208.735,268.091,1.445,4.268,49.610,458.120
Baixa_Grande_do_Ribeiro,pr,1961-1990,3,30,204.418,196.245,82.712,40.462,124.212,116.299,141.978,196.245,266.190,301.405,0.649,-0.107,86.810,398.690
Baixa_Grande_do_Ribeiro,pr,1961-1990,4,30,153.011,145.510,71.847,46.955,67.558,65.828,112.860,145.510,180.418,228.900,1.071,1.915,45.340,373.940
Baixa_Grande_do_Ribeiro,pr,1961-1990,5,30,29.016,20.290,27.457,94.626,42.413,2.020,7.665,20.290,50.078,58.056,1.213,1.207,0.000,107.190
Baixa_Grande_do_Ribeiro,pr,1961-1990,6,30,6.490,3.520,9.308,143.410,8.025,0.000,0.125,3.520,8.150,13.413,2.379,6.233,0.000,40.170
Baixa_Grande_do_Ribeiro,pr,1961-1990,7,30,3.684,0.000,7.189,195.133,4.185,0.000,0.000,0.000,4.185,13.182,2.375,5.300,0.000,28.960
Baixa_Grande_do_Ribeiro,pr,1961-1990,8,30,4.645,0.300,6.820,146.831,7.357,0.000,0.000,0.300,7.357,14.427,1.391,0.690,0.000,20.720
Baixa_Grande_do_Ribeiro,pr,1961-1990,9,30,22.369,14.535,22.569,100.896,33.460,0.072,5.015,14.535,38.475,47.963,1.124,0.565,0.000,82.510
Baixa_Grande_do_Ribeiro,pr,1961-1990,10,30,81.789,85.225,39.215,47.946,69.608,34.945,45.330,85.225,114.938,133.310,0.119,-1.381,23.350,147.560
Baixa_Grande_do_Ribeiro,pr,1961-1990,11,30,138.373,127.270,47.781,34.531,82.818,77.340,98.300,127.270,181.118,204.693,0.141,-1.285,61.340,211.880
Baixa_Grande_do_Ribeiro,pr,1961-1990,12,30,177.446,158.395,74.893,42.206,100.790,104.802,118.635,158.395,219.425,268.207,0.867,0.367,68.920,366.270
Baixa_Grande_do_Ribeiro,pr,1981-2010,1,30,204.345,181.570,94.578,46.284,71.527,131.902,151.293,181.570,222.820,330.778,1.408,2.177,51.520,469.520
Baixa_Grande_do_Ribeiro,pr,1981-2010,2,30,161.720,162.630,65.140,40.280,84.738,94.763,111.100,162.630,195.838,237.527,0.449,-0.126,49.610,321.490
Baixa_Grande_do_Ribeiro,pr,1981-2010,3,30,190.819,173.295,68.999,36.159,82.742,102.358,146.235,173.295,228.977,275.591,0.901,1.450,87.320,398.690
Baixa_Grande_do_Ribeiro,pr,1981-2010,4,30,134.241,115.690,79.896,59.517,76.670,54.012,84.615,115.690,161.285,236.856,1.273,1.818,14.810,373.940
Baixa_Grande_do_Ribeiro,pr,1981-2010,5,30,39.000,31.655,37.930,97.257,37.247,3.365,14.960,31.655,52.207,81.969,1.643,2.504,0.000,144.360
Baixa_Grande_do_Ribeiro,pr,1981-2010,6,30,5.116,1.780,8.854,173.075,5.808,0.000,0.000,1.780,5.808,12.526,2.814,8.771,0.000,40.170
Baixa_Grande_do_Ribeiro,pr,1981-2010,7,30,1.801,0.000,4.542,252.236,0.785,0.000,0.000,0.000,0.785,4.519,3.157,9.609,0.000,18.690
Baixa_Grande_do_Ribeiro,pr,1981-2010,8,30,3.034,0.335,5.184,170.875,3.808,0.000,0.000,0.335,3.808,8.391,2.342,5.880,0.000,22.160
Baixa_Grande_do_Ribeiro,pr,1981-2010,9,30,23.592,16.035,20.521,86.982,32.660,1.683,7.660,16.035,40.320,51.212,0.793,-0.502,0.000,68.810
Baixa_Grande_do_Ribeiro,pr,1981-2010,10,30,68.487,62.660,42.809,62.507,51.612,15.920,40.395,62.660,92.007,128.855,0.837,0.541,1.980,175.440
Baixa_Grande_do_Ribeiro,pr,1981-2010,11,30,121.526,109.965,55.762,45.885,80.142,60.746,80.582,109.965,160.725,191.424,1.053,1.561,48.820,293.920
Baixa_Grande_do_Ribeiro,pr,1981-2010,12,30,167.066,145.225,66.755,39.957,82.855,96.116,116.438,145.225,199.292,250.298,1.134,1.235,89.950,366.270
Baixa_Grande_do_Ribeiro,pr,1991-2020,1,30,205.268,189.120,95.635,46.590,78.887,116.867,141.923,189.120,220.810,345.383,1.198,1.252,51.520,469.520
Baixa_Grande_do_Ribeiro,pr,1991-2020,2,30,164.823,162.500,68.093,41.313,104.823,73.272,114.550,162.500,219.373,248.192,0.278,-0.367,44.520,321.490
Baixa_Grande_do_Ribeiro,pr,1991-2020,3,30,171.728,165.425,58.987,34.349,50.877,113.450,138.202,165.425,189.080,232.814,1.666,4.912,87.320,385.130
Baixa_Grande_do_Ribeiro,pr,1991-2020,4,30,113.782,102.540,60.038,52.766,83.832,48.975,72.880,102.540,156.713,176.730,0.867,1.064,14.810,286.500
Baixa_Grande_do_Ribeiro,pr,1991-2020,5,30,47.871,35.445,37.052,77.399,28.275,17.087,25.642,35.445,53.917,112.160,1.568,1.789,3.300,144.360
Baixa_Grande_do_Ribeiro,pr,1991-2020,6,30,4.524,1.255,7.941,175.528,4.212,0.000,0.013,1.255,4.225,12.038,2.645,7.209,0.000,33.690
Baixa_Grande_do_Ribeiro,pr,1991-2020,7,30,1.622,0.000,4.149,255.780,0.263,0.000,0.000,0.000,0.263,4.073,2.845,7.375,0.000,16.610
Baixa_Grande_do_Ribeiro,pr,1991-2020,8,30,1.512,0.000,4.249,281.101,0.820,0.000,0.000,0.000,0.820,3.572,4.325,20.514,0.000,22.160
Baixa_Grande_do_Ribeiro,pr,1991-2020,9,30,18.454,14.940,19.207,104.081,16.825,0.405,3.873,14.940,20.697,50.219,1.414,1.321,0.000,68.810
Baixa_Grande_do_Ribeiro,pr,1991-2020,10,30,60.244,59.595,39.423,65.438,33.523,14.554,40.395,59.595,73.918,92.746,1.271,2.630,1.980,175.440
Baixa_Grande_do_Ribeiro,pr,1991-2020,11,30,120.286,114.255,57.997,48.216,82.947,50.595,74.197,114.255,157.145,178.402,0.827,1.153,36.430,293.920
Baixa_Grande_do_Ribeiro,pr,1991-2020,12,30,144.804,134.870,55.817,38.547,70.737,89.784,109.028,134.870,179.765,201.068,0.537,0.811,21.220,283.470
