city,variable,month,n_samples,winning_family,loglik,aic,bic,ks_p,passes_ks_05,selection_note
Baixa_Grande_do_Ribeiro,pr,1,618,lognorm_wet,-1997.1741,3998.3483,4007.2013,0.1647,True,
Baixa_Grande_do_Ribeiro,pr,2,568,lognorm_wet,-1740.6491,3485.2983,3493.9825,0.4661,True,
Baixa_Grande_do_Ribeiro,pr,3,609,lognorm_wet,-1851.8943,3707.7887,3716.6123,0.1615,True,
Baixa_Grande_do_Ribeiro,pr,4,447,lognorm_wet,-1301.8212,2607.6424,2615.8475,0.4561,True,
Baixa_Grande_do_Ribeiro,pr,5,216,lognorm_wet,-596.7585,1197.5171,1204.2676,0.1203,True,
Baixa_Grande_do_Ribeiro,pr,6,28,lognorm_wet,-64.2351,132.4703,135.1347,0.5669,True,
Baixa_Grande_do_Ribeiro,pr,7,0,FAILED,,,,,False,no valid candidates
Baixa_Grande_do_Ribeiro,pr,8,10,lognorm_wet,-16.2831,36.5663,37.1715,0.5956,True,Delta_AIC < 2 vs gamma_wet (parsimony preserved)
Baixa_Grande_do_Ribeiro,pr,9,80,lognorm_wet,-220.1979,444.3958,449.1599,0.5881,True,
Baixa_Grande_do_Ribeiro,pr,10,243,lognorm_wet,-700.5311,1405.0621,1412.0482,0.2423,True,
Baixa_Grande_do_Ribeiro,pr,11,411,lognorm_wet,-1269.7418,2543.4835,2551.5207,0.2778,True,
Baixa_Grande_do_Ribeiro,pr,12,488,lognorm_wet,-1523.3709,3050.7418,3059.1224,0.1221,True,
Baixa_Grande_do_Ribeiro,ETo,1,930,norm,-1265.1385,2534.2770,2543.9473,0.0536,True,
Baixa_Grande_do_Ribeiro,ETo,2,848,norm,-1094.3899,2192.7798,2202.2656,0.1749,True,
Baixa_Grande_do_Ribeiro,ETo,3,930,norm,-1078.2391,2160.4782,2170.1486,0.0275,False,
Baixa_Grande_do_Ribeiro,ETo,4,900,norm,-995.7536,1995.5072,2005.1120,0.0001,False,
Baixa_Grande_do_Ribeiro,ETo,5,930,norm,-840.4119,1684.8239,1694.4942,0.0000,False,
Baixa_Grande_do_Ribeiro,ETo,6,900,norm,-404.0047,812.0094,821.6142,0.0010,False,
Baixa_Grande_do_Ribeiro,ETo,7,930,norm,-511.9058,1027.8116,1037.4820,0.1108,True,
Baixa_Grande_do_Ribeiro,ETo,8,930,norm,-641.8117,1287.6234,1297.2938,0.1505,True,
Baixa_Grande_do_Ribeiro,ETo,9,900,norm,-1018.5020,2041.0040,2050.6088,0.0000,False,
Baixa_Grande_do_Ribeiro,ETo,10,930,norm,-1411.4932,2826.9864,2836.6567,0.0001,False,
Baixa_Grande_do_Ribeiro,ETo,11,900,norm,-1389.0612,2782.1224,2791.7272,0.0043,False,
Baixa_Grande_do_Ribeiro,ETo,12,930,norm,-1346.3731,2696.7462,2706.4165,0.0101,False,
Baixa_Grande_do_Ribeiro,Tmax,1,930,skewnorm,-1979.5265,3965.0529,3979.5585,0.6991,True,
