date,year,month,value
1948-01-01,1948,1,0.6600
1948-02-01,1948,2,0.0000
1948-03-01,1948,3,1.0000
1948-04-01,1948,4,1.8600
1948-05-01,1948,5,1.3000
1948-06-01,1948,6,2.5100
1948-07-01,1948,7,1.6300
1948-08-01,1948,8,0.5500
1948-09-01,1948,9,-0.4800
1948-10-01,1948,10,-0.2400
1948-11-01,1948,11,0.7200
1948-12-01,1948,12,-0.9300
1949-01-01,1949,1,-0.2000
1949-02-01,1949,2,-0.4700
1949-03-01,1949,3,-1.1300
1949-04-01,1949,4,-1.2200
1949-05-01,1949,5,-1.8800
1949-06-01,1949,6,-1.5500
1949-07-01,1949,7,-0.1900
1949-08-01,1949,8,0.7700
1949-09-01,1949,9,0.8900
1949-10-01,1949,10,0.8000
1949-11-01,1949,11,0.1600
1949-12-01,1949,12,0.4600
1950-01-01,1950,1,0.5300
1950-02-01,1950,2,-1.0700
1950-03-01,1950,3,-1.2600
1950-04-01,1950,4,0.7200
1950-05-01,1950,5,1.0500
1950-06-01,1950,6,0.2800
1950-07-01,1950,7,0.2100
1950-08-01,1950,8,1.2100
1950-09-01,1950,9,1.2600
1950-10-01,1950,10,1.2700
1950-11-01,1950,11,1.8700
1950-12-01,1950,12,3.0300
1951-01-01,1951,1,2.1400
1951-02-01,1951,2,0.9400
1951-03-01,1951,3,2.2900
1951-04-01,1951,4,3.6300
1951-05-01,1951,5,3.7000
1951-06-01,1951,6,3.8500
1951-07-01,1951,7,2.8700
1951-08-01,1951,8,0.9800
1951-09-01,1951,9,-0.0400
1951-10-01,1951,10,-0.9700
1951-11-01,1951,11,-1.1900
1951-12-01,1951,12,-2.0200
1952-01-01,1952,1,-2.8900
1952-02-01,1952,2,-1.4400
1952-03-01,1952,3,0.9200
1952-04-01,1952,4,1.1300
1952-05-01,1952,5,2.0900
1952-06-01,1952,6,3.2700
1952-07-01,1952,7,2.3600
1952-08-01,1952,8,2.0400
1952-09-01,1952,9,2.2400
1952-10-01,1952,10,2.0800
1952-11-01,1952,11,2.2500
1952-12-01,1952,12,3.6300
1953-01-01,1953,1,3.1600
1953-02-01,1953,2,2.8000
1953-03-01,1953,3,1.3200
1953-04-01,1953,4,2.1200
1953-05-01,1953,5,2.3400
1953-06-01,1953,6,1.4500
1953-07-01,1953,7,1.4500
1953-08-01,1953,8,1.5200
1953-09-01,1953,9,1.5200
1953-10-01,1953,10,0.3500
1953-11-01,1953,11,0.6900
1953-12-01,1953,12,0.8200
1954-01-01,1954,1,0.9700
1954-02-01,1954,2,0.8200
1954-03-01,1954,3,-0.1700
1954-04-01,1954,4,-0.4400
1954-05-01,1954,5,1.6800
1954-06-01,1954,6,1.2000
1954-07-01,1954,7,0.3900
1954-08-01,1954,8,-0.8600
1954-09-01,1954,9,-1.2500
1954-10-01,1954,10,-1.6900
1954-11-01,1954,11,-1.6000
1954-12-01,1954,12,-1.0700
1955-01-01,1955,1,0.6300
1955-02-01,1955,2,1.6200
1955-03-01,1955,3,1.0300
1955-04-01,1955,4,1.9500
1955-05-01,1955,5,1.6100
1955-06-01,1955,6,2.1400
1955-07-01,1955,7,2.7000
1955-08-01,1955,8,3.0500
1955-09-01,1955,9,2.9300
1955-10-01,1955,10,3.5500
1955-11-01,1955,11,4.2500
1955-12-01,1955,12,4.5700
1956-01-01,1956,1,4.3800
1956-02-01,1956,2,3.5600
1956-03-01,1956,3,2.5000
1956-04-01,1956,4,2.0200
1956-05-01,1956,5,0.1600
1956-06-01,1956,6,-1.4000
1956-07-01,1956,7,-0.4700
1956-08-01,1956,8,-0.2500
1956-09-01,1956,9,-0.6700
1956-10-01,1956,10,0.0500
1956-11-01,1956,11,0.3900
1956-12-01,1956,12,0.7400
1957-01-01,1957,1,-1.0300
1957-02-01,1957,2,-2.2400
1957-03-01,1957,3,-1.5400
1957-04-01,1957,4,-2.3200
1957-05-01,1957,5,-1.4000
1957-06-01,1957,6,-0.4400
1957-07-01,1957,7,0.0500
1957-08-01,1957,8,1.0000
1957-09-01,1957,9,1.3400
1957-10-01,1957,10,1.6200
1957-11-01,1957,11,0.5600
1957-12-01,1957,12,0.1000
1958-01-01,1958,1,1.4100
1958-02-01,1958,2,4.0200
1958-03-01,1958,3,7.1300
1958-04-01,1958,4,8.2300
1958-05-01,1958,5,7.8700
1958-06-01,1958,6,7.3200
1958-07-01,1958,7,5.0300
1958-08-01,1958,8,3.8700
1958-09-01,1958,9,3.6600
1958-10-01,1958,10,1.9500
1958-11-01,1958,11,1.5100
1958-12-01,1958,12,1.0300
1959-01-01,1959,1,1.8700
1959-02-01,1959,2,1.8100
1959-03-01,1959,3,-0.3700
1959-04-01,1959,4,-1.0400
1959-05-01,1959,5,-0.8100
1959-06-01,1959,6,-0.8700
1959-07-01,1959,7,-0.3400
1959-08-01,1959,8,-0.4500
1959-09-01,1959,9,-0.2400
1959-10-01,1959,10,-0.7100
1959-11-01,1959,11,-0.7400
1959-12-01,1959,12,-0.8600
1960-01-01,1960,1,0.2600
1960-02-01,1960,2,1.6500
1960-03-01,1960,3,1.4400
1960-04-01,1960,4,2.0000
1960-05-01,1960,5,2.4400
1960-06-01,1960,6,2.5400
1960-07-01,1960,7,1.6500
1960-08-01,1960,8,1.0800
1960-09-01,1960,9,0.5200
1960-10-01,1960,10,0.1700
1960-11-01,1960,11,0.2500
1960-12-01,1960,12,-0.2900
1961-01-01,1961,1,-0.1600
1961-02-01,1961,2,-0.3300
1961-03-01,1961,3,0.4100
1961-04-01,1961,4,1.7900
1961-05-01,1961,5,2.1100
1961-06-01,1961,6,0.7400
1961-07-01,1961,7,1.1500
1961-08-01,1961,8,1.2700
1961-09-01,1961,9,0.1800
1961-10-01,1961,10,-0.5400
1961-11-01,1961,11,-0.2100
1961-12-01,1961,12,1.5100
1962-01-01,1962,1,1.9600
1962-02-01,1962,2,1.9600
