date,year,month,value
1851-01-01,1851,1,2.0690
1851-02-01,1851,2,0.3810
1851-03-01,1851,3,1.7410
1851-04-01,1851,4,-3.1900
1851-05-01,1851,5,-3.0050
1851-06-01,1851,6,-3.6300
1851-07-01,1851,7,-5.3710
1851-08-01,1851,8,-4.0890
1851-09-01,1851,9,-4.6660
1851-10-01,1851,10,-1.5840
1851-11-01,1851,11,-2.1770
1851-12-01,1851,12,-1.4740
1852-01-01,1852,1,0.5280
1852-02-01,1852,2,0.6200
1852-03-01,1852,3,-1.7000
1852-04-01,1852,4,-2.0270
1852-05-01,1852,5,-0.3230
1852-06-01,1852,6,-2.1180
1852-07-01,1852,7,-3.4970
1852-08-01,1852,8,-1.7650
1852-09-01,1852,9,-3.9340
1852-10-01,1852,10,-2.2300
1852-11-01,1852,11,-1.4170
1852-12-01,1852,12,-0.0250
1853-01-01,1853,1,-0.3280
1853-02-01,1853,2,-3.1880
1853-03-01,1853,3,-0.4740
1853-04-01,1853,4,0.6900
1853-05-01,1853,5,-2.3600
1853-06-01,1853,6,-1.6240
1853-07-01,1853,7,-1.1650
1853-08-01,1853,8,-2.0140
1853-09-01,1853,9,-2.2560
1853-10-01,1853,10,-2.7710
1853-11-01,1853,11,-1.1170
1853-12-01,1853,12,-2.8850
1854-01-01,1854,1,0.6520
1854-02-01,1854,2,1.2580
1854-03-01,1854,3,2.1110
1854-04-01,1854,4,-1.2860
1854-05-01,1854,5,-1.9920
1854-06-01,1854,6,-2.3040
1854-07-01,1854,7,-2.8060
1854-08-01,1854,8,-3.2710
1854-09-01,1854,9,-1.5180
1854-10-01,1854,10,1.0180
1854-11-01,1854,11,-2.1090
1854-12-01,1854,12,0.4770
1855-01-01,1855,1,-3.5470
1855-02-01,1855,2,-4.0800
1855-03-01,1855,3,-0.1060
1855-04-01,1855,4,-1.3450
1855-05-01,1855,5,-2.4250
1855-06-01,1855,6,-0.6520
1855-07-01,1855,7,-1.4580
1855-08-01,1855,8,-2.1010
1855-09-01,1855,9,-1.7510
1855-10-01,1855,10,-1.4500
1855-11-01,1855,11,-3.0020
1855-12-01,1855,12,-2.4020
1856-01-01,1856,1,-3.2240
1856-02-01,1856,2,-0.4960
1856-03-01,1856,3,-3.4550
1856-04-01,1856,4,-1.4810
1856-05-01,1856,5,-0.4860
1856-06-01,1856,6,-0.8270
1856-07-01,1856,7,-1.5980
1856-08-01,1856,8,-3.8430
1856-09-01,1856,9,-1.9960
1856-10-01,1856,10,0.3750
1856-11-01,1856,11,-0.4420
1856-12-01,1856,12,-1.1760
1857-01-01,1857,1,0.1790
1857-02-01,1857,2,1.3860
1857-03-01,1857,3,1.9750
1857-04-01,1857,4,-0.2810
1857-05-01,1857,5,-3.4450
1857-06-01,1857,6,-1.7140
1857-07-01,1857,7,-0.4440
1857-08-01,1857,8,-2.8280
1857-09-01,1857,9,-1.4480
1857-10-01,1857,10,-0.6850
1857-11-01,1857,11,-2.5760
1857-12-01,1857,12,1.8470
1858-01-01,1858,1,0.9140
1858-02-01,1858,2,-1.9300
1858-03-01,1858,3,-0.7240
1858-04-01,1858,4,-0.1220
1858-05-01,1858,5,-0.1830
1858-06-01,1858,6,-1.1230
1858-07-01,1858,7,-1.9350
1858-08-01,1858,8,-1.5400
1858-09-01,1858,9,-0.6020
1858-10-01,1858,10,-2.7270
1858-11-01,1858,11,-4.4410
1858-12-01,1858,12,1.5330
1859-01-01,1859,1,1.1350
1859-02-01,1859,2,1.7790
1859-03-01,1859,3,1.6310
1859-04-01,1859,4,-0.5970
1859-05-01,1859,5,-1.3220
1859-06-01,1859,6,0.5360
1859-07-01,1859,7,-1.5360
1859-08-01,1859,8,-0.6470
1859-09-01,1859,9,-1.1890
1859-10-01,1859,10,-2.3460
1859-11-01,1859,11,0.3380
1859-12-01,1859,12,-1.1060
