date,year,month,value
1951-01-01,1951,1,2.5000
1951-02-01,1951,2,1.5000
1951-03-01,1951,3,-0.2000
1951-04-01,1951,4,-0.5000
1951-05-01,1951,5,-1.1000
1951-06-01,1951,6,0.3000
1951-07-01,1951,7,-1.7000
1951-08-01,1951,8,-0.4000
1951-09-01,1951,9,-1.8000
1951-10-01,1951,10,-1.6000
1951-11-01,1951,11,-1.3000
1951-12-01,1951,12,-1.2000
1952-01-01,1952,1,-1.5000
1952-02-01,1952,2,-1.0000
1952-03-01,1952,3,0.9000
1952-04-01,1952,4,-0.4000
1952-05-01,1952,5,1.2000
1952-06-01,1952,6,1.2000
1952-07-01,1952,7,0.8000
1952-08-01,1952,8,0.1000
1952-09-01,1952,9,-0.4000
1952-10-01,1952,10,0.6000
1952-11-01,1952,11,0.0000
1952-12-01,1952,12,-2.0000
1953-01-01,1953,1,0.5000
1953-02-01,1953,2,-0.8000
1953-03-01,1953,3,-0.3000
1953-04-01,1953,4,0.3000
1953-05-01,1953,5,-2.8000
1953-06-01,1953,6,0.2000
1953-07-01,1953,7,-0.0000
1953-08-01,1953,8,-2.0000
1953-09-01,1953,9,-2.1000
1953-10-01,1953,10,0.1000
1953-11-01,1953,11,-0.5000
1953-12-01,1953,12,-0.8000
1954-01-01,1954,1,1.1000
1954-02-01,1954,2,-0.5000
1954-03-01,1954,3,0.4000
1954-04-01,1954,4,1.1000
1954-05-01,1954,5,0.8000
1954-06-01,1954,6,0.2000
1954-07-01,1954,7,0.7000
1954-08-01,1954,8,1.8000
1954-09-01,1954,9,0.3000
1954-10-01,1954,10,0.4000
1954-11-01,1954,11,0.2000
1954-12-01,1954,12,2.3000
1955-01-01,1955,1,-0.9000
1955-02-01,1955,2,3.1000
1955-03-01,1955,3,1.1000
1955-04-01,1955,4,-0.2000
1955-05-01,1955,5,1.7000
1955-06-01,1955,6,2.2000
1955-07-01,1955,7,2.6000
1955-08-01,1955,8,2.4000
1955-09-01,1955,9,2.2000
1955-10-01,1955,10,2.5000
1955-11-01,1955,11,2.0000
1955-12-01,1955,12,1.6000
1956-01-01,1956,1,2.2000
1956-02-01,1956,2,2.7000
1956-03-01,1956,3,2.2000
1956-04-01,1956,4,1.5000
1956-05-01,1956,5,2.3000
1956-06-01,1956,6,1.8000
1956-07-01,1956,7,1.8000
1956-08-01,1956,8,2.0000
1956-09-01,1956,9,0.1000
1956-10-01,1956,10,2.9000
1956-11-01,1956,11,0.2000
1956-12-01,1956,12,1.8000
1957-01-01,1957,1,1.0000
1957-02-01,1957,2,-0.1000
1957-03-01,1957,3,0.3000
1957-04-01,1957,4,0.4000
1957-05-01,1957,5,-1.1000
1957-06-01,1957,6,0.3000
1957-07-01,1957,7,0.4000
1957-08-01,1957,8,-0.8000
1957-09-01,1957,9,-1.5000
1957-10-01,1957,10,0.1000
1957-11-01,1957,11,-1.6000
1957-12-01,1957,12,-0.5000
1958-01-01,1958,1,-3.1000
1958-02-01,1958,2,-0.8000
1958-03-01,1958,3,0.4000
1958-04-01,1958,4,0.6000
1958-05-01,1958,5,-0.8000
1958-06-01,1958,6,0.5000
1958-07-01,1958,7,0.7000
1958-08-01,1958,8,1.5000
1958-09-01,1958,9,-0.5000
1958-10-01,1958,10,0.1000
1958-11-01,1958,11,-0.7000
1958-12-01,1958,12,-1.0000
1959-01-01,1959,1,-1.5000
1959-02-01,1959,2,-2.3000
1959-03-01,1959,3,2.1000
1959-04-01,1959,4,0.7000
1959-05-01,1959,5,0.8000
1959-06-01,1959,6,-0.2000
1959-07-01,1959,7,-0.4000
1959-08-01,1959,8,-0.2000
1959-09-01,1959,9,0.0000
1959-10-01,1959,10,0.8000
1959-11-01,1959,11,1.5000
1959-12-01,1959,12,1.5000
1960-01-01,1960,1,0.2000
1960-02-01,1960,2,0.2000
1960-03-01,1960,3,1.7000
1960-04-01,1960,4,1.3000
1960-05-01,1960,5,0.9000
1960-06-01,1960,6,0.2000
1960-07-01,1960,7,0.8000
1960-08-01,1960,8,1.3000
1960-09-01,1960,9,1.1000
1960-10-01,1960,10,0.2000
1960-11-01,1960,11,0.9000
1960-12-01,1960,12,1.3000
1961-01-01,1961,1,-0.4000
1961-02-01,1961,2,1.5000
1961-03-01,1961,3,-3.0000
1961-04-01,1961,4,1.3000
1961-05-01,1961,5,0.5000
1961-06-01,1961,6,0.2000
1961-07-01,1961,7,0.4000
1961-08-01,1961,8,0.2000
1961-09-01,1961,9,0.1000
1961-10-01,1961,10,-0.5000
1961-11-01,1961,11,0.9000
1961-12-01,1961,12,2.5000
1962-01-01,1962,1,3.3000
1962-02-01,1962,2,-0.5000
1962-03-01,1962,3,0.2000
1962-04-01,1962,4,0.3000
1962-05-01,1962,5,1.8000
1962-06-01,1962,6,1.2000
1962-07-01,1962,7,0.1000
1962-08-01,1962,8,1.0000
1962-09-01,1962,9,0.7000
1962-10-01,1962,10,1.6000
1962-11-01,1962,11,0.5000
1962-12-01,1962,12,0.3000
1963-01-01,1963,1,1.7000
1963-02-01,1963,2,0.9000
1963-03-01,1963,3,1.9000
1963-04-01,1963,4,1.3000
1963-05-01,1963,5,0.6000
1963-06-01,1963,6,-0.8000
1963-07-01,1963,7,-0.2000
1963-08-01,1963,8,0.0000
1963-09-01,1963,9,-1.0000
1963-10-01,1963,10,-2.0000
1963-11-01,1963,11,-1.4000
1963-12-01,1963,12,-2.0000
1964-01-01,1964,1,-0.6000
1964-02-01,1964,2,0.1000
1964-03-01,1964,3,1.9000
1964-04-01,1964,4,1.8000
1964-05-01,1964,5,0.4000
1964-06-01,1964,6,1.2000
1964-07-01,1964,7,0.9000
1964-08-01,1964,8,2.5000
1964-09-01,1964,9,2.1000
1964-10-01,1964,10,2.2000
1964-11-01,1964,11,0.3000
1964-12-01,1964,12,-0.5000
1965-01-01,1965,1,-0.7000
1965-02-01,1965,2,0.7000
1965-03-01,1965,3,1.2000
1965-04-01,1965,4,-0.9000
1965-05-01,1965,5,0.3000
1965-06-01,1965,6,-0.9000
1965-07-01,1965,7,-3.0000
1965-08-01,1965,8,-1.1000
1965-09-01,1965,9,-2.2000
1965-10-01,1965,10,-1.5000
1965-11-01,1965,11,-2.4000
1965-12-01,1965,12,0.3000
1966-01-01,1966,1,-2.2000
1966-02-01,1966,2,-0.4000
1966-03-01,1966,3,-1.5000
1966-04-01,1966,4,-0.3000
1966-05-01,1966,5,-0.7000
1966-06-01,1966,6,0.5000
1966-07-01,1966,7,0.1000
1966-08-01,1966,8,1.1000
1966-09-01,1966,9,-0.4000
1966-10-01,1966,10,-0.2000
1966-11-01,1966,11,-0.0000
1966-12-01,1966,12,-0.6000
1967-01-01,1967,1,2.8000
