Data,ETo,pr,dia_ciclo,ano_safra,Kc,ETc,P_eff,deficit,SW,I,DP
2020-12-01,5.37,0.0,1,2020,0.4,2.148,0.0,2.148,117.852,0.0,0.0
2020-12-02,5.37,0.0,2,2020,0.4,2.148,0.0,2.148,115.70400000000001,0.0,0.0
2020-12-03,5.02,0.39,3,2020,0.4,2.008,0.31200000000000006,1.696,114.00800000000001,0.0,0.0
2020-12-04,4.61,0.0,4,2020,0.4,1.8440000000000003,0.0,1.8440000000000003,112.16400000000002,0.0,0.0
2020-12-05,5.17,1.34,5,2020,0.4,2.068,1.072,0.996,111.16800000000002,0.0,0.0
2020-12-06,4.45,0.0,6,2020,0.4,1.7800000000000002,0.0,1.7800000000000002,109.38800000000002,0.0,0.0
2020-12-07,4.66,0.0,7,2020,0.4,1.864,0.0,1.864,107.52400000000002,0.0,0.0
2020-12-08,4.09,2.17,8,2020,0.4,1.6360000000000001,1.736,-0.09999999999999987,107.62400000000002,0.0,0.0
2020-12-09,3.02,4.33,9,2020,0.4,1.2080000000000002,3.4640000000000004,-2.2560000000000002,109.88000000000002,0.0,0.0
2020-12-10,2.76,5.93,10,2020,0.4,1.1039999999999999,4.744,-3.6399999999999997,113.52000000000002,0.0,0.0
2020-12-11,4.4,10.82,11,2020,0.4,1.7600000000000002,8.656,-6.896000000000001,120.0,0.0,0.41600000000002524
2020-12-12,4.86,0.64,12,2020,0.4,1.9440000000000002,0.512,1.4320000000000002,118.568,0.0,0.0
2020-12-13,5.12,0.13,13,2020,0.4,2.048,0.10400000000000001,1.944,116.624,0.0,0.0
2020-12-14,5.12,0.0,14,2020,0.4,2.048,0.0,2.048,114.576,0.0,0.0
2020-12-15,4.25,0.0,15,2020,0.4,1.7000000000000002,0.0,1.7000000000000002,112.87599999999999,0.0,0.0
2020-12-16,3.38,0.0,16,2020,0.8,2.704,0.0,2.704,110.172,0.0,0.0
2020-12-17,3.74,0.0,17,2020,0.8,2.9920000000000004,0.0,2.9920000000000004,107.17999999999999,0.0,0.0
2020-12-18,3.89,2.17,18,2020,0.8,3.112,1.736,1.3760000000000001,105.804,0.0,0.0
2020-12-19,3.58,6.02,19,2020,0.8,2.8640000000000003,4.816,-1.9519999999999995,107.756,0.0,0.0
2020-12-20,2.46,16.3,20,2020,0.8,1.968,13.040000000000001,-11.072000000000001,118.828,0.0,0.0
2020-12-21,2.35,16.39,21,2020,0.8,1.8800000000000001,13.112000000000002,-11.232000000000001,120.0,0.0,10.060000000000002
2020-12-22,3.02,1.88,22,2020,0.8,2.4160000000000004,1.504,0.9120000000000004,119.08800000000001,0.0,0.0
2020-12-23,3.79,29.66,23,2020,0.8,3.032,23.728,-20.696,120.0,0.0,19.783999999999992
2020-12-24,2.97,8.34,24,2020,0.8,2.3760000000000003,6.672000000000001,-4.296,120.0,0.0,4.295999999999992
2020-12-25,3.79,6.86,25,2020,0.8,3.032,5.488,-2.4560000000000004,120.0,0.0,2.456000000000003
2020-12-26,3.22,0.88,26,2020,0.8,2.5760000000000005,0.7040000000000001,1.8720000000000003,118.12799999999999,0.0,0.0
2020-12-27,4.35,20.81,27,2020,0.8,3.48,16.648,-13.168,120.0,0.0,11.295999999999992
2020-12-28,5.32,1.13,28,2020,0.8,4.256,0.9039999999999999,3.3520000000000003,116.648,0.0,0.0
2020-12-29,5.37,0.0,29,2020,0.8,4.296,0.0,4.296,112.35199999999999,0.0,0.0
2020-12-30,5.22,8.68,30,2020,0.8,4.176,6.944,-2.768,115.11999999999999,0.0,0.0
2020-12-31,4.91,0.43,31,2020,1.15,5.6465,0.34400000000000003,5.302499999999999,109.81749999999998,0.0,0.0
2021-01-01,3.89,10.97,32,2020,1.15,4.4735,8.776000000000002,-4.302500000000002,114.11999999999998,0.0,0.0
2021-01-02,4.25,4.77,33,2020,1.15,4.887499999999999,3.816,1.0714999999999995,113.04849999999998,0.0,0.0
2021-01-03,2.35,22.93,34,2020,1.15,2.7024999999999997,18.344,-15.6415,120.0,0.0,8.689999999999998
2021-01-04,3.53,7.0,35,2020,1.15,4.0595,5.6000000000000005,-1.5405000000000006,120.0,0.0,1.5404999999999944
2021-01-05,4.81,0.63,36,2020,1.15,5.531499999999999,0.504,5.0275,114.97250000000001,0.0,0.0
2021-01-06,5.43,0.0,37,2020,1.15,6.2444999999999995,0.0,6.2444999999999995,108.72800000000001,0.0,0.0
2021-01-07,5.43,0.0,38,2020,1.15,6.2444999999999995,0.0,6.2444999999999995,102.4835,0.0,0.0
2021-01-08,4.86,0.0,39,2020,1.15,5.5889999999999995,0.0,5.5889999999999995,96.89450000000001,0.0,0.0
2021-01-09,3.28,3.16,40,2020,1.15,3.7719999999999994,2.5280000000000005,1.2439999999999989,95.65050000000001,0.0,0.0
2021-01-10,3.02,8.99,41,2020,1.15,3.473,7.192,-3.7190000000000003,99.3695,0.0,0.0
2021-01-11,4.3,6.77,42,2020,1.15,4.944999999999999,5.416,-0.471000000000001,99.8405,0.0,0.0
2021-01-12,3.84,0.0,43,2020,1.15,4.4159999999999995,0.0,4.4159999999999995,95.42450000000001,0.0,0.0
2021-01-13,3.94,0.0,44,2020,1.15,4.531,0.0,4.531,90.8935,0.0,0.0
2021-01-14,3.43,0.0,45,2020,1.15,3.9444999999999997,0.0,3.9444999999999997,86.949,0.0,0.0
2021-01-15,3.28,0.0,46,2020,1.15,3.7719999999999994,0.0,3.7719999999999994,83.17699999999999,0.0,0.0
2021-01-16,2.92,9.26,47,2020,1.15,3.3579999999999997,7.408,-4.050000000000001,87.22699999999999,0.0,0.0
2021-01-17,4.5,25.48,48,2020,1.15,5.175,20.384,-15.209,102.43599999999999,0.0,0.0
2021-01-18,2.71,4.63,49,2020,1.15,3.1165,3.704,-0.5875000000000004,103.02349999999998,0.0,0.0
2021-01-19,3.79,0.32,50,2020,1.15,4.358499999999999,0.256,4.102499999999999,98.92099999999999,0.0,0.0
2021-01-20,3.33,1.74,51,2020,1.15,3.8295,1.3920000000000001,2.4375,96.48349999999999,0.0,0.0
2021-01-21,4.35,0.45,52,2020,1.15,5.0024999999999995,0.36000000000000004,4.642499999999999,91.841,0.0,0.0
2021-01-22,4.45,4.3,53,2020,1.15,5.1175,3.44,1.6774999999999998,90.1635,0.0,0.0
2021-01-23,4.96,10.94,54,2020,1.15,5.704,8.752,-3.048000000000001,93.2115,0.0,0.0
2021-01-24,5.37,0.0,55,2020,1.15,6.1754999999999995,0.0,6.1754999999999995,87.036,0.0,0.0
2021-01-25,5.43,0.0,56,2020,1.15,6.2444999999999995,0.0,6.2444999999999995,80.7915,0.0,0.0
2021-01-26,3.12,0.0,57,2020,1.15,3.5879999999999996,0.0,3.5879999999999996,77.2035,0.0,0.0
2021-01-27,3.48,0.0,58,2020,1.15,4.002,0.0,4.002,73.20150000000001,0.0,0.0
2021-01-28,2.66,2.38,59,2020,1.15,3.0589999999999997,1.904,1.1549999999999998,72.04650000000001,0.0,0.0
2021-01-29,3.53,0.0,60,2020,1.15,4.0595,0.0,4.0595,67.98700000000001,0.0,0.0
2021-01-30,4.25,0.68,61,2020,1.15,4.887499999999999,0.544,4.343499999999999,63.6435,0.0,0.0
2021-01-31,5.02,1.5,62,2020,1.15,5.772999999999999,1.2000000000000002,4.572999999999999,59.07050000000001,0.0,0.0
2021-02-01,5.12,2.23,63,2020,1.15,5.888,1.784,4.104,54.96650000000001,0.0,0.0
2021-02-02,4.2,0.51,64,2020,1.15,4.83,0.40800000000000003,4.422,120.0,69.45549999999999,0.0
2021-02-03,4.91,0.0,65,2020,1.15,5.6465,0.0,5.6465,114.3535,0.0,0.0
2021-02-04,3.07,12.18,66,2020,1.15,3.5304999999999995,9.744,-6.2135,120.0,0.0,0.5669999999999931
2021-02-05,3.48,1.29,67,2020,1.15,4.002,1.032,2.9699999999999998,117.03,0.0,0.0
2021-02-06,2.81,5.25,68,2020,1.15,3.2314999999999996,4.2,-0.9685000000000006,117.9985,0.0,0.0
2021-02-07,3.53,5.6,69,2020,1.15,4.0595,4.4799999999999995,-0.42049999999999965,118.41900000000001,0.0,0.0
2021-02-08,3.28,9.11,70,2020,1.15,3.7719999999999994,7.288,-3.516000000000001,120.0,0.0,1.9350000000000023
2021-02-09,2.71,2.95,71,2020,0.8,2.168,2.3600000000000003,-0.19200000000000017,120.0,0.0,0.19199999999999307
2021-02-10,3.38,1.33,72,2020,0.8,2.704,1.064,1.6400000000000001,118.36,0.0,0.0
2021-02-11,3.79,15.81,73,2020,0.8,3.032,12.648000000000001,-9.616000000000001,120.0,0.0,7.976000000000013
2021-02-12,2.71,13.36,74,2020,0.8,2.168,10.688,-8.52,120.0,0.0,8.519999999999982
2021-02-13,3.22,4.59,75,2020,0.8,2.5760000000000005,3.672,-1.0959999999999996,120.0,0.0,1.0960000000000036
2021-02-14,2.87,10.43,76,2020,0.8,2.2960000000000003,8.344,-6.047999999999999,120.0,0.0,6.047999999999988
2021-02-15,2.66,29.82,77,2020,0.8,2.128,23.856,-21.728,120.0,0.0,21.72800000000001
2021-02-16,3.94,8.76,78,2020,0.8,3.152,7.008,-3.856,120.0,0.0,3.8559999999999945
2021-02-17,2.0,15.89,79,2020,0.8,1.6,12.712000000000002,-11.112000000000002,120.0,0.0,11.111999999999995
2021-02-18,2.41,17.04,80,2020,0.8,1.9280000000000002,13.632,-11.703999999999999,120.0,0.0,11.704000000000008
2021-02-19,3.33,21.01,81,2020,0.8,2.664,16.808000000000003,-14.144000000000004,120.0,0.0,14.144000000000005
2021-02-20,3.28,10.7,82,2020,0.8,2.624,8.56,-5.936,120.0,0.0,5.936000000000007
2021-02-21,3.33,0.73,83,2020,0.8,2.664,0.584,2.08,117.92,0.0,0.0
