dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5969519999999988,45.5084879999999,44.138,46.205999999999996,46.35,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6832719999999952,44.54383999999997,41.946,44.774,46.35,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5853679999999988,44.06970399999985,39.714,44.898,46.35,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5900799999999997,43.37549599999989,37.617999999999995,44.324,46.35,0.0,0.0,0.0,0.0,0.0
5,0.4,1.572904000000001,42.83175199999989,35.93000000000001,44.017999999999994,46.35,0.0,0.0,0.0,0.0,0.0
6,0.4,1.643720000000001,42.647607999999956,34.79,44.262,46.35,0.0,0.0,0.0,0.0,0.0
7,0.4,1.6325679999999998,42.24418399999996,33.634,44.69800000000001,46.35,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5993199999999996,41.91531199999993,32.889999999999986,43.862,46.35,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5886079999999994,41.835648000000006,32.797999999999995,44.098000000000006,46.35,0.0,0.0,0.0,0.0,0.0
10,0.4,1.5729280000000008,41.79145599999992,32.694,44.334,46.35,0.0,0.0,0.0,0.0,0.0
11,0.4,1.582703999999999,41.36818399999996,31.621999999999996,44.282000000000004,46.35,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5317040000000008,41.787527999999924,30.022000000000006,44.01800000000001,46.35,0.0,0.0,0.0,0.0,0.0
13,0.4,1.5250720000000009,41.54151199999995,28.322000000000006,44.19800000000001,46.35,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5224560000000014,41.89166399999992,30.962,44.19,46.35,0.0,0.0,0.0,0.0,0.0
15,0.4,1.4954319999999972,42.51321599999994,33.838,43.766000000000005,46.35,0.4296320000000002,0.0,0.0,0.0,0.016
16,0.8,2.982528000000003,41.47703199999997,31.12200000000001,42.75,46.35,0.0,0.0,0.0,0.0,0.0
17,0.8,2.92406400000001,41.20536800000001,26.82600000000001,43.437999999999995,46.35,0.0,0.0,0.0,0.0,0.0
18,0.8,2.875600000000004,40.72227199999998,25.741200000000017,42.782000000000004,46.35,0.6338879999999999,0.0,0.0,0.0,0.024
19,0.8,3.056112000000005,40.563496000000015,27.125999999999998,42.83,46.35,1.3031919999999992,0.0,0.0,1.295799999998821,0.05
20,0.8,2.9905760000000035,39.70944799999998,24.637999999999984,41.038,46.35,0.0,0.0,0.0,0.0,0.0
21,0.8,3.069744000000003,39.32143199999999,24.214000000000006,42.525999999999996,46.35,0.45696000000000003,0.0,0.0,0.0,0.016
22,0.8,2.93104,39.78287199999998,25.149999999999988,42.82200000000001,46.35,1.4417920000000004,0.0,0.0,26.063999999999997,0.052
23,0.8,3.0037920000000016,39.89888799999995,25.091200000000004,43.678,46.35,0.41561600000000004,0.0,0.0,0.0,0.016
24,0.8,2.9423040000000027,39.51605600000002,22.417999999999996,42.662,46.35,0.37071999999999994,0.0,0.0,0.0,0.014
25,0.8,3.0702079999999956,39.67562399999995,25.998,41.550000000000004,46.35,1.1254560000000005,0.0,0.0,0.0,0.042
26,0.8,3.181360000000002,39.0558640000001,23.102000000000007,39.422000000000004,46.35,0.3818079999999999,0.0,0.0,0.0,0.014
27,0.8,3.0594720000000035,39.16052000000001,21.674000000000007,42.47000000000002,46.35,0.802896,0.0,0.0,0.0,0.03
28,0.8,2.885888000000002,39.67160799999998,22.589999999999996,42.75,46.35,1.2662719999999996,0.0,0.0,0.0,0.044
29,0.8,3.053792,40.762792,25.35000000000001,43.238,46.35,1.5788399999999998,0.0,0.0,26.927999999999994,0.058
30,0.8,2.877311999999999,39.82946399999997,22.766,41.918,46.35,0.0,0.0,0.0,0.0,0.0
31,1.15,4.3271510000000015,39.31133999999996,25.0505,40.289500000000004,46.35,1.7308899999999996,0.0,0.0,28.8015,0.058
32,1.15,4.2279060000000035,38.696088,22.577999999999996,39.6805,46.35,1.0143820000000003,0.0,0.0,0.0,0.036
33,1.15,4.42267,39.30064099999994,22.851,42.992000000000004,46.35,2.0152200000000007,0.0,0.0,27.474500000000006,0.072
