dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.6724879999999982,119.17612799999998,117.668,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.7619920000000036,118.25802399999986,115.376,118.564,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.7797599999999987,117.54911199999991,113.388,118.276,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.7078879999999994,116.5750240000002,111.4,117.46600000000001,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.7105839999999992,115.82593599999986,109.49600000000001,116.77600000000001,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.7301200000000014,115.27569599999985,107.712,116.42,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.7875359999999996,114.7061120000001,105.54,116.008,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.7222160000000009,114.5856240000003,104.112,116.03599999999999,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.7023680000000028,114.46612799999996,101.86,117.092,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.7232720000000057,113.82792799999986,100.1,116.428,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6829680000000007,113.7489920000001,99.14,115.99999999999999,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.6818959999999987,113.91958400000006,99.9,115.228,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.673152000000001,113.79915200000006,98.70399999999998,114.42399999999999,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.6380800000000024,113.86775199999991,100.2,115.21199999999997,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.6298399999999988,114.3532079999999,103.56800000000001,117.15599999999999,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.8632429999999998,113.68031599999998,101.30900000000001,116.78150000000001,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,2.0020599999999984,113.56444499999998,100.62200000000001,116.2105,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.3309329999999973,113.06403899999981,98.32499999999999,114.72649999999999,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.544252000000001,112.34045399999984,96.44800000000004,114.553,120.0,0.0,0.0,0.0,0.0,0.0
