dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5799279999999998,52.70909599999975,51.028,53.3,53.3,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6710319999999987,52.017295999999746,48.94,53.019999999999996,53.3,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5874400000000006,51.67912799999982,46.7012,52.97200000000001,53.3,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5847839999999993,51.43345599999978,44.759,53.156,53.3,0.0,0.0,0.0,0.0,0.0
5,0.4,1.569504,51.290663999999765,43.903999999999996,53.132,53.3,0.0,0.0,0.0,0.0,0.0
6,0.4,1.668584,50.78143999999972,42.328,52.75999999999999,53.3,0.0,0.0,0.0,0.0,0.0
7,0.4,1.673808000000001,50.297119999999765,42.659200000000006,51.436,53.3,0.0,0.0,0.0,0.0,0.0
8,0.4,1.6262880000000015,50.124095999999795,40.928,51.815999999999995,53.3,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5915759999999959,50.51238399999968,41.867999999999995,53.3,53.3,0.0,0.0,0.0,0.0,0.0
10,0.4,1.5591679999999994,50.511047999999725,43.59999999999999,53.3,53.3,0.0,0.0,0.0,0.0,0.0
11,0.4,1.59464,50.352639999999745,41.819999999999986,53.3,53.3,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5468000000000017,50.41415999999984,40.975999999999985,52.175999999999995,53.3,0.0,0.0,0.0,0.0,0.0
13,0.4,1.511624,50.510351999999756,40.337399999999995,52.10399999999999,53.3,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5613200000000025,50.52707999999984,44.21,51.72,53.3,0.0,0.0,0.0,0.0,0.0
15,0.4,1.5086320000000033,50.42365599999987,42.529799999999994,52.211999999999996,53.3,0.0,0.0,0.0,0.0,0.0
16,0.8,3.079056000000008,49.64112799999981,41.568,51.98,53.3,0.0,0.0,0.0,0.0,0.0
