dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.6679999999999966,40.28109600000012,39.067,39.884,41.36,0.0,0.0,0.0,0.0,0.0
2,0.4,1.7470720000000026,39.35108800000015,36.7958,39.608000000000004,41.36,0.0,0.0,0.0,0.0,0.0
3,0.4,1.6434480000000005,38.73616800000008,34.704,39.647999999999996,41.36,0.0,0.0,0.0,0.0,0.0
4,0.4,1.645720000000001,38.202976000000056,32.495999999999995,39.444,41.36,0.0,0.0,0.0,0.0,0.0
5,0.4,1.688071999999997,37.808480000000124,30.735999999999994,39.06,41.36,0.0,0.0,0.0,0.0,0.0
6,0.4,1.7457359999999993,36.90135200000005,28.892000000000003,37.62400000000001,41.36,0.0,0.0,0.0,0.0,0.0
7,0.4,1.716384000000001,36.21174400000009,27.119999999999994,37.04,41.36,0.0,0.0,0.0,0.0,0.0
8,0.4,1.6862240000000015,36.06206400000005,25.74000000000001,37.775999999999996,41.36,0.0,0.0,0.0,0.0,0.0
9,0.4,1.6628880000000013,35.74583199999998,26.791999999999998,37.176,41.36,0.0,0.0,0.0,0.0,0.0
10,0.4,1.6035840000000015,35.54016,25.112,38.372,41.36,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6749520000000002,35.22089600000005,23.72,37.47599999999999,41.36,0.0,0.0,0.0,0.0,0.0
12,0.4,1.6479599999999983,35.01470400000007,24.891999999999996,36.608,41.36,0.24136000000000007,0.0,0.0,0.0,0.01
13,0.4,1.601792000000002,35.223296000000104,24.14,37.288,41.36,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5942000000000003,35.326264000000066,22.808,36.522,41.36,0.0,0.0,0.0,0.0,0.0
15,0.4,1.5604800000000014,35.185680000000005,22.064,36.328,41.36,0.0,0.0,0.0,0.0,0.0
16,0.8,3.1037280000000034,34.981112000000074,22.080000000000013,36.316,41.36,0.6185760000000001,0.0,0.0,0.0,0.026
17,0.8,3.136304,34.50518400000004,19.827999999999996,36.816,41.36,0.6603999999999999,0.0,0.0,0.0,0.026
18,0.8,3.018560000000001,34.507456000000104,21.488000000000003,35.592,41.36,1.0539999999999998,0.0,0.0,0.0,0.042
19,0.8,3.140240000000004,34.92776800000015,24.323999999999998,37.632,41.36,1.7185919999999992,0.0,0.0,24.816000000000003,0.07
20,0.8,3.0534559999999984,35.2684960000001,22.129599999999993,37.839999999999996,41.36,0.9889279999999995,0.0,0.0,0.0,0.038
21,0.8,3.0674880000000035,35.14082400000006,21.971999999999998,37.432,41.36,1.2573360000000002,0.0,0.0,22.908,0.054
22,0.8,2.9540959999999985,34.788168000000084,20.731999999999992,37.1,41.36,0.8236560000000002,0.0,0.0,0.0,0.034
23,0.8,3.0164960000000023,35.964656000000076,23.415999999999997,38.856,41.36,0.981984,0.0,0.0,0.0,0.04
24,0.8,2.9380959999999994,35.58800000000004,22.639999999999993,37.472,41.36,0.8867680000000001,0.0,0.0,0.0,0.036
25,0.8,3.0804640000000014,35.1251040000001,24.01599999999999,37.336,41.36,0.7038400000000002,0.0,0.0,0.0,0.03
26,0.8,3.0616480000000013,34.55265600000009,23.464,35.064,41.36,0.7799360000000002,0.0,0.0,0.0,0.032
27,0.8,3.1085600000000038,34.04680000000008,21.2492,35.22400000000001,41.36,0.3307359999999999,0.0,0.0,0.0,0.014
28,0.8,2.981279999999996,35.100288000000056,22.383999999999993,37.88,41.36,1.4312480000000003,0.0,0.0,23.104,0.058
29,0.8,3.0735200000000003,35.39484800000011,21.92,37.959999999999994,41.36,1.4009279999999997,0.0,0.0,22.864000000000008,0.056
30,0.8,2.9623680000000028,35.2600960000001,22.783999999999995,37.391999999999996,41.36,0.9980320000000003,0.0,0.0,0.0,0.042
31,1.15,4.331383000000009,35.35869000000009,22.282999999999994,37.8295,41.36,1.6527359999999993,0.0,0.0,22.872,0.07
