dia_ciclo,SW_obs,I_obs,ETc_obs
1,46.35,0.0,1.372
2,46.35,0.0,1.7600000000000002
3,46.35,0.0,1.352
4,45.434,0.0,1.7800000000000002
5,44.99,0.0,1.9640000000000002
6,45.658,0.0,1.8840000000000001
7,43.694,0.0,1.9640000000000002
8,41.626000000000005,0.0,2.068
9,39.96600000000001,0.0,1.6600000000000001
10,38.67800000000001,0.0,1.2880000000000003
11,37.17800000000001,0.0,1.8440000000000003
12,38.16600000000001,0.0,1.6360000000000001
13,43.06600000000001,0.0,1.74
14,41.930000000000014,0.0,1.7600000000000002
15,40.91800000000001,0.0,1.412
16,41.18200000000001,0.0,3.112
17,46.35,0.0,1.968
18,45.96600000000001,0.0,3.6479999999999997
19,43.71800000000001,0.0,3.192
20,44.56600000000001,0.0,3.152
21,46.35,0.0,3.6
22,46.35,0.0,1.6
23,46.35,0.0,2.7840000000000003
24,46.35,0.0,2.048
25,46.35,0.0,1.8399999999999999
26,46.35,0.0,2.536
27,46.35,0.0,2.5760000000000005
28,46.35,0.0,2.2960000000000003
29,46.35,0.0,3.072
30,46.35,0.0,3.112
31,46.35,0.0,5.3015
32,41.169000000000004,0.0,5.5889999999999995
33,36.638000000000005,0.0,4.531
34,33.89000000000001,0.0,3.7719999999999994
35,31.07550000000001,0.0,5.6465
36,34.767500000000005,0.0,3.5879999999999996
37,38.88000000000001,0.0,3.2314999999999996
38,38.072500000000005,0.0,3.4154999999999998
39,34.197500000000005,0.0,4.531
40,46.35,0.0,3.8295
41,44.231,0.0,3.703
42,44.1955,0.0,4.0595
43,42.6475,0.0,3.5879999999999996
44,43.1125,0.0,3.8869999999999996
45,46.35,0.0,3.3579999999999997
46,46.35,0.0,4.4159999999999995
47,46.35,0.0,4.002
48,42.7545,0.0,4.0595
49,45.495000000000005,0.0,4.2435
50,46.35,0.0,2.1734999999999998
51,46.35,0.0,5.175
52,42.185,0.0,5.5889999999999995
53,39.4665,0.0,4.358499999999999
54,37.5645,0.0,4.646
55,36.39450000000001,0.0,5.473999999999999
56,31.748500000000007,0.0,4.646
57,31.269500000000008,0.0,3.8869999999999996
58,30.815500000000007,0.0,4.83
59,29.510000000000005,0.0,3.0014999999999996
60,29.211500000000008,0.0,5.0024999999999995
61,24.14550000000001,0.0,5.473999999999999
62,46.35,27.26449999999999,5.06
63,43.783,0.0,3.8869999999999996
64,46.35,0.0,2.8289999999999997
65,43.3385,0.0,4.2435
66,38.397000000000006,0.0,5.1175
67,34.86650000000001,0.0,3.5304999999999995
68,33.72350000000001,0.0,3.8869999999999996
69,35.31000000000001,0.0,3.8295
70,33.40100000000001,0.0,5.5889999999999995
71,29.385000000000012,0.0,4.016
72,25.32900000000001,0.0,4.056
73,24.05700000000001,0.0,2.824
74,21.96900000000001,0.0,3.808
75,46.35,28.476999999999993,4.096
76,43.766,0.0,3.5600000000000005
77,41.166,0.0,3.2720000000000002
78,38.166,0.0,3.032
79,35.894,0.0,2.3760000000000003
80,42.653999999999996,0.0,2.048
81,46.35,0.0,2.904
82,45.702000000000005,0.0,2.7840000000000003
83,43.918000000000006,0.0,3.072
84,41.342000000000006,0.0,3.232
85,46.35,0.0,2.5760000000000005
86,45.894999999999996,0.0,1.895
87,46.35,0.0,1.205
88,46.35,0.0,1.175
89,46.35,0.0,1.23
90,46.35,0.0,1.87
