dia_ciclo,SW_obs,I_obs,ETc_obs
1,48.062,0.0,2.148
2,45.913999999999994,0.0,2.148
3,44.21799999999999,0.0,2.008
4,42.37399999999999,0.0,1.8440000000000003
5,41.37799999999999,0.0,2.068
6,39.59799999999999,0.0,1.7800000000000002
7,37.733999999999995,0.0,1.864
8,37.83399999999999,0.0,1.6360000000000001
9,40.08999999999999,0.0,1.2080000000000002
10,43.72999999999999,0.0,1.1039999999999999
11,50.21,0.0,1.7600000000000002
12,48.778,0.0,1.9440000000000002
13,46.833999999999996,0.0,2.048
14,44.785999999999994,0.0,2.048
15,43.08599999999999,0.0,1.7000000000000002
16,40.38199999999999,0.0,2.704
17,37.38999999999999,0.0,2.9920000000000004
18,36.01399999999999,0.0,3.112
19,37.965999999999994,0.0,2.8640000000000003
20,49.038,0.0,1.968
21,50.21,0.0,1.8800000000000001
22,49.298,0.0,2.4160000000000004
23,50.21,0.0,3.032
24,50.21,0.0,2.3760000000000003
25,50.21,0.0,3.032
26,48.338,0.0,2.5760000000000005
27,50.21,0.0,3.48
28,46.858000000000004,0.0,4.256
29,42.562000000000005,0.0,4.296
30,45.330000000000005,0.0,4.176
31,40.0275,0.0,5.6465
32,44.330000000000005,0.0,4.4735
33,43.25850000000001,0.0,4.887499999999999
34,50.21,0.0,2.7024999999999997
35,50.21,0.0,4.0595
36,45.1825,0.0,5.531499999999999
37,38.937999999999995,0.0,6.2444999999999995
38,32.69349999999999,0.0,6.2444999999999995
39,27.104499999999994,0.0,5.5889999999999995
40,25.860499999999995,0.0,3.7719999999999994
41,29.579499999999996,0.0,3.473
42,30.050499999999992,0.0,4.944999999999999
43,25.634499999999992,0.0,4.4159999999999995
44,50.21,29.106500000000008,4.531
45,46.2655,0.0,3.9444999999999997
46,42.493500000000004,0.0,3.7719999999999994
47,46.54350000000001,0.0,3.3579999999999997
48,50.21,0.0,5.175
49,50.21,0.0,3.1165
50,46.1075,0.0,4.358499999999999
51,43.67,0.0,3.8295
52,39.0275,0.0,5.0024999999999995
53,37.35,0.0,5.1175
54,40.398,0.0,5.704
55,34.222500000000004,0.0,6.1754999999999995
56,27.978000000000005,0.0,6.2444999999999995
57,24.390000000000004,0.0,3.5879999999999996
58,50.21,29.821999999999996,4.002
59,49.05500000000001,0.0,3.0589999999999997
60,44.99550000000001,0.0,4.0595
61,40.652,0.0,4.887499999999999
62,36.07900000000001,0.0,5.772999999999999
63,31.97500000000001,0.0,5.888
64,27.55300000000001,0.0,4.83
65,50.21,28.30349999999999,5.6465
66,50.21,0.0,3.5304999999999995
67,47.24,0.0,4.002
68,48.20850000000001,0.0,3.2314999999999996
69,48.629000000000005,0.0,4.0595
70,50.21,0.0,3.7719999999999994
71,50.21,0.0,2.168
72,48.57,0.0,2.704
73,50.21,0.0,3.032
74,50.21,0.0,2.168
75,50.21,0.0,2.5760000000000005
76,50.21,0.0,2.2960000000000003
77,50.21,0.0,2.128
78,50.21,0.0,3.152
79,50.21,0.0,1.6
80,50.21,0.0,1.9280000000000002
81,50.21,0.0,2.664
82,50.21,0.0,2.624
83,48.13,0.0,2.664
84,50.21,0.0,2.5760000000000005
85,50.21,0.0,2.4960000000000004
86,50.21,0.0,1.665
87,50.21,0.0,1.895
88,50.21,0.0,1.87
89,50.21,0.0,1.405
90,50.21,0.0,1.715
