dia_ciclo,SW_obs,I_obs,ETc_obs
1,32.098,0.0,2.272
2,29.817999999999994,0.0,2.3120000000000003
3,27.689999999999994,0.0,2.128
4,25.653999999999993,0.0,2.068
5,23.421999999999993,0.0,2.232
6,22.081999999999994,0.0,2.108
7,20.13799999999999,0.0,1.984
8,18.109999999999992,0.0,2.028
9,16.625999999999994,0.0,1.7000000000000002
10,34.37,18.952000000000005,1.2080000000000002
11,33.458,0.0,1.8
12,31.205999999999996,0.0,2.356
13,28.813999999999997,0.0,2.4160000000000004
14,26.561999999999998,0.0,2.2520000000000002
15,24.389999999999997,0.0,2.212
16,20.293999999999997,0.0,4.096
17,16.733999999999995,0.0,3.5600000000000005
18,34.37,21.604000000000003,3.968
19,34.37,0.0,2.9920000000000004
20,34.37,0.0,2.248
21,34.37,0.0,2.008
22,34.37,0.0,2.088
23,30.889999999999993,0.0,3.6
24,31.26599999999999,0.0,3.192
25,32.32199999999999,0.0,3.192
26,31.657999999999987,0.0,2.704
27,27.145999999999987,0.0,4.544
28,22.889999999999986,0.0,4.296
29,18.305999999999987,0.0,4.5840000000000005
30,34.37,20.75200000000001,4.752000000000001
31,27.723,0.0,6.646999999999999
32,22.548,0.0,5.175
33,17.4625,0.0,5.1175
34,17.624499999999998,0.0,3.3579999999999997
35,34.37,21.986,5.416499999999999
36,27.809499999999996,0.0,6.7044999999999995
37,21.259999999999994,0.0,6.5895
38,34.37,19.699500000000004,6.5895
39,28.482,0.0,5.888
40,28.315500000000004,0.0,4.174499999999999
41,29.297000000000004,0.0,2.0585
42,27.9675,0.0,4.4735
43,23.3535,0.0,4.646
44,18.3,0.0,5.1175
45,34.37,19.324999999999996,3.703
46,34.37,0.0,5.0024999999999995
47,29.571999999999996,0.0,4.83
48,23.511499999999998,0.0,6.060499999999999
49,18.564,0.0,5.531499999999999
50,34.37,20.808499999999995,5.0024999999999995
51,29.194999999999997,0.0,5.175
52,23.669999999999998,0.0,5.5889999999999995
53,19.4715,0.0,5.8305
54,34.37,21.671999999999997,6.773499999999999
55,29.188499999999998,0.0,6.5895
56,22.688499999999998,0.0,6.531999999999999
57,16.685499999999998,0.0,6.002999999999999
58,34.37,22.647,5.0024999999999995
59,30.068999999999996,0.0,4.301
60,24.824999999999996,0.0,5.243999999999999
61,20.139499999999995,0.0,5.1175
62,34.37,19.164000000000005,6.5895
63,30.760499999999997,0.0,5.945499999999999
64,34.37,0.0,5.359
65,29.917499999999997,0.0,6.060499999999999
66,28.663,0.0,4.174499999999999
67,27.9975,0.0,3.0014999999999996
68,31.377499999999998,0.0,2.116
69,34.37,0.0,4.646
70,34.37,0.0,4.174499999999999
71,34.37,0.0,2.744
72,31.217999999999996,0.0,3.192
73,32.994,0.0,3.152
74,29.922,0.0,3.072
75,25.786,0.0,4.176
76,23.002000000000002,0.0,2.7840000000000003
77,22.834000000000003,0.0,2.704
78,34.37,0.0,3.2720000000000002
79,34.37,0.0,1.7600000000000002
80,34.37,0.0,2.952
81,34.37,0.0,3.192
82,34.37,0.0,3.072
83,34.37,0.0,3.48
84,34.37,0.0,3.8880000000000003
85,32.074,0.0,3.48
86,33.93899999999999,0.0,1.895
87,32.50399999999999,0.0,1.435
88,32.75799999999999,0.0,1.61
89,34.37,0.0,1.405
90,34.37,0.0,1.61
