dia_ciclo,SW_obs,I_obs,ETc_obs
1,118.48400000000001,0.0,1.8440000000000003
2,117.36800000000001,0.0,1.7000000000000002
3,120.0,0.0,1.2080000000000002
4,120.0,0.0,0.9400000000000001
5,119.49600000000001,0.0,1.4960000000000002
6,117.78800000000001,0.0,1.74
7,115.90400000000001,0.0,1.8840000000000001
8,114.12400000000001,0.0,1.7800000000000002
9,116.30000000000001,0.0,1.3920000000000001
10,120.0,0.0,1.2080000000000002
11,120.0,0.0,1.268
12,120.0,0.0,1.452
13,118.3,0.0,1.7800000000000002
14,120.0,0.0,1.064
15,120.0,0.0,1.7600000000000002
16,118.25999999999999,0.0,2.052
17,117.768,0.0,2.1
18,118.1185,0.0,2.3375000000000004
19,115.7405,0.0,2.394
20,120.0,0.0,1.9629999999999996
21,120.0,0.0,2.94
22,120.0,0.0,2.5725000000000002
23,116.376,0.0,3.928
24,113.2425,0.0,4.1735
25,108.97250000000001,0.0,4.374
26,104.34,0.0,4.6645
27,105.414,0.0,3.79
28,104.3655,0.0,3.3284999999999996
29,109.96549999999999,0.0,4.224
30,110.2315,0.0,4.83
31,108.1705,0.0,2.8289999999999997
32,110.599,0.0,4.2435
33,113.1365,0.0,2.7024999999999997
34,115.169,0.0,4.887499999999999
35,120.0,0.0,4.174499999999999
36,119.17500000000001,0.0,4.944999999999999
37,120.0,0.0,5.1175
38,116.0695,0.0,5.0024999999999995
39,119.5045,0.0,4.117
40,115.469,0.0,5.531499999999999
41,111.30149999999999,0.0,4.703499999999999
42,115.0105,0.0,3.0589999999999997
43,120.0,0.0,4.002
44,118.4355,0.0,4.7725
45,112.813,0.0,5.6465
46,108.4555,0.0,5.1175
47,104.4995,0.0,5.06
48,102.8075,0.0,3.5879999999999996
49,99.0665,0.0,5.5889999999999995
50,96.75800000000001,0.0,4.7725
51,92.08700000000002,0.0,5.359
52,87.61350000000002,0.0,4.4735
53,84.06150000000002,0.0,4.4159999999999995
54,81.18750000000003,0.0,4.002
55,92.27750000000003,0.0,3.3579999999999997
56,104.18800000000005,0.0,3.0014999999999996
57,106.17400000000004,0.0,3.3579999999999997
58,110.08900000000004,0.0,2.6449999999999996
59,118.09950000000005,0.0,3.6454999999999997
60,117.92700000000005,0.0,4.7725
61,117.40800000000006,0.0,5.175
62,113.75600000000006,0.0,5.06
63,111.67800000000005,0.0,3.1739999999999995
64,112.26300000000005,0.0,3.703
65,120.0,0.0,3.0589999999999997
66,115.6725,0.0,4.887499999999999
67,111.947,0.0,5.1175
68,107.00200000000001,0.0,4.944999999999999
69,104.38350000000001,0.0,5.0024999999999995
70,107.98000000000002,0.0,4.0595
71,115.67170000000002,0.0,3.0842999999999994
72,120.0,0.0,2.7233499999999995
73,120.0,0.0,3.55745
74,117.58319999999999,0.0,4.1208
75,114.75994999999999,0.0,4.79925
76,110.79745,0.0,4.1065
77,107.004475,0.0,4.344975
78,106.101975,0.0,3.7824999999999998
79,103.43915,0.0,4.038824999999999
80,102.9864,0.0,2.5327499999999996
81,101.60402500000001,0.0,1.8623750000000001
82,109.120025,0.0,1.7479999999999998
83,120.0,0.0,1.636875
84,120.0,0.0,1.17455
85,120.0,0.0,2.4048749999999997
86,120.0,0.0,2.7405
87,118.10929999999999,0.0,3.1787000000000005
88,117.57904999999998,0.0,2.5142499999999997
89,115.50762499999998,0.0,2.071425
90,120.0,0.0,1.79
