dia_ciclo,SW_obs,I_obs,ETc_obs
1,58.794,0.0,2.456
2,56.358,0.0,2.436
3,61.25,0.0,1.6360000000000001
4,61.25,0.0,1.7600000000000002
5,61.25,0.0,2.3120000000000003
6,58.605999999999995,0.0,2.66
7,55.821999999999996,0.0,2.7840000000000003
8,53.446,0.0,2.3760000000000003
9,51.03,0.0,2.4160000000000004
10,50.342,0.0,2.192
11,49.838,0.0,2.088
12,48.018,0.0,2.148
13,46.194,0.0,2.3760000000000003
14,43.538000000000004,0.0,2.7840000000000003
15,40.57000000000001,0.0,2.968
16,34.834,0.0,5.736000000000001
17,29.794000000000004,0.0,5.04
18,61.25,36.288,4.872
19,59.058,0.0,2.744
20,57.778000000000006,0.0,2.904
21,61.25,0.0,1.9280000000000002
22,61.25,0.0,3.8880000000000003
23,56.402,0.0,5.120000000000001
24,52.018,0.0,4.384
25,46.897999999999996,0.0,5.120000000000001
26,41.818,0.0,5.08
27,36.69799999999999,0.0,5.120000000000001
28,32.85799999999999,0.0,4.872
29,28.19399999999999,0.0,4.664000000000001
30,61.25,36.872000000000014,3.9280000000000004
31,56.783,0.0,4.531
32,61.25,0.0,5.5889999999999995
33,61.25,0.0,4.002
34,59.246,0.0,3.5879999999999996
35,61.25,0.0,3.7719999999999994
36,61.25,0.0,3.3005
37,61.25,0.0,5.175
38,57.4895,0.0,5.416499999999999
39,61.25,0.0,4.0595
40,56.660000000000004,0.0,6.302
41,50.185500000000005,0.0,6.474499999999999
42,44.41250000000001,0.0,5.772999999999999
43,37.63900000000001,0.0,6.773499999999999
44,33.050500000000014,0.0,4.5885
45,31.444000000000013,0.0,5.6465
46,32.76250000000001,0.0,4.4735
47,33.88650000000001,0.0,6.531999999999999
48,28.20900000000001,0.0,6.5895
49,61.25,39.42599999999999,6.417
50,56.325,0.0,5.772999999999999
51,50.023,0.0,6.302
52,46.21000000000001,0.0,5.772999999999999
53,43.08550000000001,0.0,4.5885
54,49.23150000000001,0.0,4.646
55,55.631000000000014,0.0,3.9444999999999997
56,57.342500000000015,0.0,3.9444999999999997
57,61.25,0.0,3.473
58,61.25,0.0,2.4724999999999997
59,61.25,0.0,3.1739999999999995
60,61.25,0.0,5.06
61,58.695,0.0,4.531
62,57.244,0.0,6.002999999999999
63,58.9495,0.0,4.358499999999999
64,54.61450000000001,0.0,5.175
65,49.43950000000001,0.0,5.175
66,42.96500000000001,0.0,6.474499999999999
67,36.07650000000001,0.0,6.8885
68,30.07350000000001,0.0,6.002999999999999
69,61.25,36.67999999999999,6.1754999999999995
70,56.006,0.0,5.243999999999999
71,61.25,0.0,2.664
72,61.25,0.0,1.9280000000000002
73,61.25,0.0,2.3760000000000003
74,58.97,0.0,3.968
75,54.754,0.0,4.216
76,50.21,0.0,4.544
77,45.626,0.0,4.5840000000000005
78,41.61,0.0,4.016
79,55.937999999999995,0.0,2.704
80,59.354,0.0,2.7840000000000003
81,61.25,0.0,2.128
82,61.25,0.0,2.3760000000000003
83,61.25,0.0,2.048
84,61.25,0.0,2.4160000000000004
85,61.25,0.0,3.2720000000000002
86,61.25,0.0,2.455
87,58.51,0.0,2.74
88,56.0,0.0,2.51
89,53.235,0.0,2.765
90,50.725,0.0,2.51
