dia_ciclo,SW_obs,I_obs,ETc_obs
1,119.864,0.0,1.72
2,120.0,0.0,1.124
3,120.0,0.0,1.516
4,118.54799999999999,0.0,1.516
5,116.69599999999998,0.0,1.9640000000000002
6,114.89599999999999,0.0,1.8
7,112.78799999999998,0.0,2.108
8,113.62399999999998,0.0,1.6600000000000001
9,120.0,0.0,0.86
10,120.0,0.0,1.4320000000000002
11,118.428,0.0,1.6360000000000001
12,120.0,0.0,1.228
13,120.0,0.0,1.7600000000000002
14,120.0,0.0,1.312
15,120.0,0.0,1.2880000000000003
16,120.0,0.0,1.6605
17,120.0,0.0,1.61
18,119.18700000000001,0.0,2.365
19,119.52900000000001,0.0,2.178
20,120.0,0.0,2.2295
21,120.0,0.0,2.4709999999999996
22,120.0,0.0,2.2275
23,120.0,0.0,2.576
24,120.0,0.0,2.5244999999999997
25,120.0,0.0,3.042
26,120.0,0.0,2.3844999999999996
27,120.0,0.0,4.35
28,115.042,0.0,4.997999999999999
29,110.543,0.0,4.4990000000000006
30,105.2415,0.0,5.3015
31,100.538,0.0,4.703499999999999
32,94.3895,0.0,6.2444999999999995
33,88.214,0.0,6.1754999999999995
34,83.97699999999999,0.0,4.301
35,108.11449999999999,0.0,4.358499999999999
36,108.57499999999999,0.0,2.5875
37,120.0,0.0,3.7719999999999994
38,116.051,0.0,4.117
39,120.0,0.0,4.5885
40,120.0,0.0,4.83
41,114.672,0.0,5.888
42,109.96849999999999,0.0,4.703499999999999
43,105.54249999999999,0.0,5.473999999999999
44,105.12499999999999,0.0,4.4735
45,102.05299999999998,0.0,4.4159999999999995
46,115.14999999999999,0.0,5.175
47,109.03849999999998,0.0,6.1754999999999995
48,104.49649999999998,0.0,4.83
49,104.67449999999998,0.0,4.83
50,104.57649999999998,0.0,4.002
51,107.11849999999998,0.0,4.002
52,104.13899999999998,0.0,4.2435
53,106.33499999999998,0.0,2.3
54,120.0,0.0,4.646
55,120.0,0.0,5.0024999999999995
56,120.0,0.0,5.359
57,120.0,0.0,2.8289999999999997
58,120.0,0.0,4.83
59,115.883,0.0,4.117
60,112.8885,0.0,5.0024999999999995
61,107.8685,0.0,5.243999999999999
62,102.3945,0.0,5.473999999999999
63,96.978,0.0,5.416499999999999
64,97.6155,0.0,5.0024999999999995
65,93.764,0.0,4.2435
66,97.749,0.0,3.8869999999999996
67,106.64,0.0,4.301
68,104.43900000000001,0.0,4.944999999999999
69,103.28200000000001,0.0,5.772999999999999
70,101.08650000000002,0.0,5.531499999999999
71,98.82890000000002,0.0,5.7216
72,94.02255000000002,0.0,5.1103499999999995
73,88.42325000000002,0.0,5.5993
74,82.68065000000003,0.0,5.7426
75,77.31852500000002,0.0,5.362124999999999
76,72.19017500000002,0.0,5.12835
77,67.51310000000002,0.0,4.677075
78,70.22390000000003,0.0,3.0971999999999995
79,76.47242500000003,0.0,2.8554749999999998
80,74.11492500000003,0.0,3.0855
81,77.32512500000003,0.0,3.6137999999999995
82,76.75032500000003,0.0,2.7588
83,77.97257500000002,0.0,3.27375
84,74.54767500000001,0.0,3.4889
85,71.52667500000001,0.0,3.0209999999999995
86,78.43787500000002,0.0,2.8728
87,76.19500000000002,0.0,2.658875
88,77.43785000000001,0.0,2.6611499999999997
89,75.041775,0.0,2.508075
90,78.058775,0.0,1.815
