dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.603959999999999,119.25142399999996,117.788,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6688319999999972,118.29407999999988,115.60000000000001,118.44399999999999,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5432079999999977,117.98731200000005,113.73199999999999,118.91600000000001,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5468640000000005,117.28405599999991,111.37599999999999,118.102,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.5649280000000025,116.73048799999998,109.636,118.154,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6775760000000015,116.53726399999992,108.912,117.992,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.6244800000000024,116.05141599999985,107.644,118.36200000000001,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5776559999999984,115.73510399999981,106.776,117.512,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5494159999999997,115.60313599999995,107.352,117.74799999999999,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.5019280000000008,115.69794400000004,106.37200000000001,118.852,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5653519999999985,115.49688000000006,105.37200000000001,118.42800000000001,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5459359999999989,115.65583199999978,105.36400000000002,117.76,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.5231519999999998,115.63399999999997,104.83200000000001,117.932,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5282639999999987,116.19775199999995,104.86000000000001,117.83999999999999,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.503143999999998,116.08886399999996,107.488,118.21199999999999,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.6910279999999993,115.94232899999997,106.01650000000001,117.975,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.8476000000000026,116.30046800000005,103.8615,119.538,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.013285999999999,115.610524,101.161,117.888,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.314464000000001,114.83717499999997,99.537,117.054,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.437642999999997,114.38089600000004,100.73949999999999,116.09,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,2.711296000000002,113.44746400000017,99.0085,115.61900000000001,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,2.791005000000002,112.624561,96.77850000000002,114.89250000000001,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,2.9710240000000065,112.75014400000003,96.69699999999999,115.12049999999998,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,3.033037999999997,111.92918600000004,93.69649999999999,115.83600000000001,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.3609780000000082,111.02179100000001,91.14949999999999,115.14750000000001,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.626777000000001,109.82100900000007,90.28749999999997,114.55250000000001,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,3.6866799999999995,108.62727899999982,87.67749999999997,114.8195,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,3.6546509999999923,108.45993000000016,88.24062500000001,113.1115,120.0,0.6623649999999999,0.0,0.0,0.0,0.01
29,1.1,4.110282000000001,107.06783800000007,83.900625,111.52499999999998,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.149637000000005,105.38252400000002,79.897125,110.1065,120.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.200121999999997,104.03541699999998,77.67412499999999,106.28925000000002,120.0,0.0,0.0,0.0,0.0,0.0
32,1.15,4.214588999999999,104.74743200000005,80.70249999999999,104.97775000000001,120.0,1.22832,0.0,0.0,0.0,0.018
33,1.15,4.3266219999999995,103.5991000000001,75.22849999999998,106.84400000000001,120.0,0.0,0.0,0.0,0.0,0.0
34,1.15,4.340422000000005,101.57411999999998,70.45599999999999,103.49249999999999,120.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.417954999999995,99.79619399999989,67.55749999999999,103.31200000000001,120.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.37828,98.31981199999996,62.79999999999999,102.25500000000004,120.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.525250000000002,98.63199300000004,65.79255000000002,100.55850000000001,120.0,1.3922600000000003,0.0,0.0,0.0,0.02
38,1.15,4.291110000000005,98.50912999999998,61.97699999999999,100.812,120.0,0.0,0.0,0.0,0.0,0.0
39,1.15,4.4026599999999965,100.01856300000011,68.35549999999999,106.32250000000003,120.0,1.7585440000000006,0.0,0.0,0.0,0.026
40,1.15,4.361949999999998,99.04395600000005,65.90650000000002,102.93900000000002,120.0,0.14154200000000003,0.0,0.0,0.0,0.002
41,1.15,4.209896999999999,98.38024000000013,62.31799999999999,102.863,120.0,0.0,0.0,0.0,0.0,0.0
42,1.15,4.1589980000000075,98.13416199999992,63.256999999999984,102.75999999999999,120.0,0.0,0.0,0.0,0.0,0.0
43,1.15,4.262037999999997,97.93520499999997,62.81800000000001,107.37650000000001,120.0,0.0,0.0,0.0,0.0,0.0
44,1.15,4.320825999999994,98.5978499999999,62.305,104.88175,120.0,0.8002979999999995,0.0,0.0,0.0,0.012
45,1.15,4.285153,99.854051,68.10900000000001,101.67799999999995,120.0,1.3625999999999996,0.0,0.0,0.0,0.02
46,1.15,4.344723,99.31137400000003,65.47177500000002,104.34849999999999,120.0,0.0,0.0,0.0,0.0,0.0
47,1.15,4.365239000000002,100.89578499999996,67.26900000000002,104.24300000000001,120.0,1.888672000000001,0.0,0.0,0.0,0.028
48,1.15,4.438425000000007,101.85629099999996,67.17150000000001,105.641,120.0,0.8116739999999998,0.0,0.0,0.0,0.012
49,1.15,4.351392999999998,101.01819199999997,66.90975000000002,108.3965,120.0,0.0,0.0,0.0,0.0,0.0
50,1.15,4.1049710000000035,101.51232199999981,64.407,106.63550000000001,120.0,1.3203000000000005,0.0,0.0,0.0,0.02
51,1.15,4.294559999999999,100.95098700000007,66.29600000000002,105.30300000000001,120.0,0.0,0.0,0.0,0.0,0.0
52,1.15,4.373036000000006,99.68926900000008,59.936500000000024,105.25850000000005,120.0,0.0,0.0,0.0,0.0,0.0
53,1.15,4.321838000000002,99.64798900000012,58.79950000000001,104.4445,120.0,0.0,0.0,0.0,0.0,0.0
54,1.15,4.244557999999994,100.82281799999994,68.4415,104.83000000000001,120.0,2.3872949999999995,0.0,0.0,0.0,0.034
55,1.15,4.268914999999999,100.02713199999995,63.554,103.08500000000004,120.0,0.0,0.0,0.0,0.0,0.0
56,1.15,4.430927,100.17792899999995,64.94052500000004,105.3985,120.0,0.0,0.0,0.0,0.0,0.0
57,1.15,4.432858999999998,99.47327100000017,60.135700000000035,104.131,120.0,0.0,0.0,0.0,0.0,0.0
58,1.15,4.492728000000004,100.08081999999978,68.15550000000002,105.4655,120.0,2.3942769999999993,0.0,0.0,0.0,0.036
59,1.15,4.435734,99.0452019999999,66.92100000000002,100.875,120.0,0.0,0.0,0.0,0.0,0.0
60,1.15,4.463817000000003,98.75614400000008,65.78650000000003,101.1155,120.0,0.39993899999999977,0.0,0.0,0.0,0.006
61,1.15,4.461816000000002,99.43473000000006,65.73580000000003,101.523,120.0,1.112192,0.0,0.0,0.0,0.016
62,1.15,4.323540000000006,99.76982500000004,70.05850000000004,104.58250000000001,120.0,0.9475969999999999,0.0,0.0,0.0,0.014
63,1.15,4.278483000000001,98.51079700000003,65.77099999999999,102.06299999999999,120.0,0.0,0.0,0.0,0.0,0.0
64,1.15,4.296101000000002,100.97386600000016,62.61500000000004,107.59500000000001,120.0,2.570103,0.0,0.0,0.0,0.036
65,1.15,4.319492000000005,100.41933300000007,61.905500000000025,107.87950000000001,120.0,0.0,0.0,0.0,0.0,0.0
66,1.15,4.275838000000001,100.71267100000006,64.81549999999997,106.5545,120.0,1.6739399999999989,0.0,0.0,0.0,0.024
67,1.15,4.229515999999999,100.04256099999995,62.870999999999995,106.132,120.0,0.0,0.0,0.0,0.0,0.0
68,1.15,4.179421999999999,99.26479900000001,65.65799999999999,106.70950000000005,120.0,0.8162220000000002,0.0,0.0,0.0,0.012
69,1.15,4.343687999999994,99.1068,66.64400000000005,104.7055,120.0,0.5473559999999998,0.0,0.0,0.0,0.008
