dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5606239999999978,119.21076799999975,117.828,119.672,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.619927999999999,118.51962400000001,115.656,119.036,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5377599999999996,117.92490400000007,113.65599999999999,118.58,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5578399999999988,117.46814400000017,111.976,118.55199999999999,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.5399440000000004,117.34459999999986,110.092,119.46000000000001,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6267279999999975,116.77854400000005,109.196,118.32,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.6168799999999999,116.56292799999997,108.39800000000001,118.076,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.568624000000001,116.38508800000008,107.62400000000002,117.304,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5280399999999987,116.31200799999984,106.564,118.19999999999999,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.4798159999999996,116.54179199999994,109.4278,118.676,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5273120000000018,116.39765599999997,107.944,118.748,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5007600000000016,116.58818400000008,107.344,118.394,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.4805680000000025,116.36227999999996,105.66399999999999,118.552,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.515336000000001,116.16117599999995,107.532,117.70400000000001,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.4715679999999998,116.47043200000009,106.776,118.792,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.6163190000000014,116.81893200000002,107.54249999999998,118.89450000000001,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.8137199999999989,116.57777799999998,105.31600000000002,118.9565,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,1.9596389999999988,116.15481100000011,102.9895,118.5975,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.177088,116.03758499999992,100.3005,119.14200000000002,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.3067070000000003,115.73370099999988,103.63250000000002,118.448,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,2.524409999999995,115.09597099999998,100.23050000000002,117.73124999999999,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,2.682195000000002,114.35354300000006,96.85550000000002,117.5385,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,2.8350560000000042,113.94735199999998,94.71150000000002,118.24000000000001,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,2.976938,113.41554399999997,96.2305,116.29075,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.338009999999997,112.78864900000004,94.3405,115.27600000000001,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.618359999999996,111.66759799999994,90.95850000000002,113.633,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,3.705040000000001,110.604125,87.39850000000001,111.499,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,3.632117999999998,110.37493700000017,84.4205,115.318,120.0,0.0,0.0,0.0,0.0,0.0
29,1.1,4.124053999999993,109.05832600000005,83.32399999999998,113.89349999999999,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.1243830000000035,107.52519600000002,78.67799999999998,110.352,120.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.243338999999999,105.70015800000021,75.26949999999998,109.75050000000003,120.0,0.0,0.0,0.0,0.0,0.0
32,1.15,4.191474,105.67985000000009,80.4785,109.35199999999999,120.0,1.0576639999999997,0.0,0.0,0.0,0.016
33,1.15,4.235381000000002,105.07063800000006,82.37199999999997,109.08550000000002,120.0,0.987377999999999,0.0,0.0,0.0,0.014
34,1.15,4.311694999999997,104.40365400000006,77.66849999999997,108.61999999999999,120.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.326254000000002,102.63811800000015,72.19699999999999,109.31450000000001,120.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.2502850000000025,101.13001300000005,70.05750000000002,107.08350000000003,120.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.321424000000005,100.70448800000013,66.8475,105.42999999999999,120.0,0.0,0.0,0.0,0.0,0.0
38,1.15,4.1601250000000025,101.46299799999987,67.06250000000001,104.51400000000004,120.0,0.9314199999999997,0.0,0.0,0.0,0.014
39,1.15,4.298492999999997,100.82381700000016,68.4745,103.01050000000004,120.0,0.0,0.0,0.0,0.0,0.0
40,1.15,4.263073000000008,101.63291900000011,72.297,101.87000000000002,120.0,2.319666999999999,0.0,0.0,0.0,0.034
41,1.15,4.153730999999996,101.60943600000014,76.885,102.14250000000004,120.0,0.0,0.0,0.0,0.0,0.0
42,1.15,4.1929690000000015,102.99236899999998,79.7425,105.87850000000002,120.0,0.5311359999999998,0.0,0.0,0.0,0.008
43,1.15,4.190760999999999,102.98490800000029,77.13350000000005,105.396,120.0,0.0,0.0,0.0,0.0,0.0
44,1.15,4.203411000000005,102.91963499999994,76.27825000000004,107.1335,120.0,0.0,0.0,0.0,0.0,0.0
45,1.15,4.139701000000003,104.64765299999999,72.91799999999999,112.3875,120.0,0.0,0.0,0.0,0.0,0.0
46,1.15,4.134594999999999,104.07458000000024,69.03199999999998,108.785,120.0,0.0,0.0,0.0,0.0,0.0
47,1.15,4.262819999999999,103.79045799999993,64.67349999999999,109.851,120.0,0.0,0.0,0.0,0.0,0.0
48,1.15,4.201984999999999,103.39326500000006,68.99799999999996,108.559,120.0,0.0,0.0,0.0,0.0,0.0
49,1.15,4.1394020000000005,102.70258400000007,72.30377499999999,106.08650000000002,120.0,0.6886300000000001,0.0,0.0,0.0,0.01
50,1.15,4.075991000000002,102.72536800000012,72.61600000000003,105.64200000000002,120.0,0.0,0.0,0.0,0.0,0.0
51,1.15,4.1128139999999975,103.50027099999996,74.17617500000004,107.83400000000003,120.0,0.0,0.0,0.0,0.0,0.0
52,1.15,4.286947000000009,102.88383299999987,75.44562499999996,105.47300000000001,120.0,0.0,0.0,0.0,0.0,0.0
53,1.15,4.2866709999999975,102.8052349999999,73.1032,104.75650000000002,120.0,0.0,0.0,0.0,0.0,0.0
54,1.15,4.201133999999996,102.80509199999992,69.58650000000002,106.5875,120.0,0.8411400000000001,0.0,0.0,0.0,0.012
55,1.15,4.134779000000004,103.19510399999997,65.3375,108.215,120.0,0.0,0.0,0.0,0.0,0.0
56,1.15,4.469199000000009,102.39893499999998,76.08750000000002,109.294,120.0,0.0,0.0,0.0,0.0,0.0
57,1.15,4.3734270000000075,101.47256300000015,71.01550000000003,107.91950000000003,120.0,0.0,0.0,0.0,0.0,0.0
58,1.15,4.362985000000004,100.2366530000002,64.95500000000003,105.00500000000002,120.0,0.0,0.0,0.0,0.0,0.0
59,1.15,4.356545000000001,101.20423000000002,66.36799999999998,106.253,120.0,1.2642839999999993,0.0,0.0,0.0,0.018
60,1.15,4.359419999999999,100.68015100000012,61.94399999999998,105.086,120.0,0.0,0.0,0.0,0.0,0.0
61,1.15,4.323678000000001,101.5028980000002,68.00350000000002,104.60500000000005,120.0,2.3426649999999993,0.0,0.0,0.0,0.034
62,1.15,4.224387,100.79358199999997,64.11650000000002,105.096,120.0,0.0,0.0,0.0,0.0,0.0
63,1.15,4.162976999999999,99.68938599999998,60.60549999999998,103.4765,120.0,0.0,0.0,0.0,0.0,0.0
64,1.15,4.252631000000009,100.0074229999999,57.055500000000016,106.6675,120.0,1.3891099999999998,0.0,0.0,0.0,0.02
65,1.15,4.352796000000001,102.75865699999972,69.25499999999997,109.08899999999996,120.0,3.831763,0.0,0.0,66.22949999999999,0.056
66,1.15,4.213300999999996,103.04173599999994,65.71850000000002,107.1,120.0,0.8410380000000001,0.0,0.0,0.0,0.012
67,1.15,4.151982999999997,103.26535299999993,70.40950000000004,107.326,120.0,1.06008,0.0,0.0,0.0,0.016
68,1.15,4.233955000000001,102.41203600000013,70.43650000000002,107.99149999999999,120.0,0.0,0.0,0.0,0.0,0.0
69,1.15,4.250584000000005,103.58600600000021,76.50450000000001,107.72,120.0,1.6846199999999996,0.0,0.0,0.0,0.024
