dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.646567999999999,119.28437599999984,117.584,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6965680000000027,118.48561599999995,115.232,118.716,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.713487999999999,117.85405599999989,113.388,119.06400000000001,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.6440399999999993,116.98473600000008,111.4,117.982,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.677896,116.228624,109.49600000000001,117.77799999999999,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6974799999999977,115.72992799999992,107.712,117.412,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.7648639999999984,115.0197920000002,105.54,116.428,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.67956,114.91948800000023,104.112,116.03599999999999,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.6402960000000033,114.92771999999995,103.004,117.26,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.6635440000000026,114.54631199999992,100.94,117.144,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6261199999999998,114.54529600000018,99.4174,116.99199999999999,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.638632000000001,114.72294400000008,99.9,116.55,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.6560719999999975,114.54504000000004,98.70399999999998,118.22,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.6350000000000056,114.75162399999998,103.4,117.992,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.611208,115.19953599999987,104.224,119.45599999999999,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.8524879999999997,114.48544000000004,102.54200000000002,118.493,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.9908399999999982,114.07346500000003,100.62200000000001,117.57,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.2743600000000024,113.75943899999983,98.51000000000002,117.2115,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.482716000000005,113.04013499999976,96.44800000000004,117.666,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.795871,111.82479200000006,94.1785,114.913,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,3.0102099999999994,110.4109599999999,90.1325,112.87650000000001,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,3.1076850000000014,109.10226100000003,86.234,112.077,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,3.333775999999998,107.49827200000003,82.714,110.76549999999999,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,3.5302029999999998,106.70056400000023,84.87599999999998,111.59100000000001,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.765887999999999,105.40578799999987,82.6905,107.55350000000001,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.9695180000000017,103.86102300000012,78.61549999999997,106.09,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,4.088719999999997,102.89206700000003,75.22600000000003,108.06349999999999,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,4.298195999999997,101.63700100000023,70.20750000000002,106.04249999999999,120.0,0.0,0.0,0.0,0.0,0.0
29,1.1,4.466923999999994,100.47622,65.13650000000003,104.5835,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.667758000000001,100.10966500000006,67.75199999999998,105.034,120.0,1.4761890000000006,0.0,0.0,0.0,0.022
31,1.15,4.798076000000004,98.64924499999988,64.49199999999998,104.0785,120.0,0.9449149999999997,0.0,0.0,0.0,0.014
32,1.15,5.084472,95.86653200000012,59.51550000000002,100.41250000000002,120.0,0.0,0.0,0.0,0.0,0.0
33,1.15,5.078560999999988,95.33528799999993,57.40299999999996,95.77450000000003,120.0,1.7808169999999997,0.0,0.0,0.0,0.026
34,1.15,4.875310000000001,99.00820999999988,64.13799999999996,103.32200000000002,120.0,4.758883000000003,0.0,0.0,66.89800000000004,0.07
35,1.15,4.957212999999993,99.17759500000003,61.01599999999996,101.99199999999999,120.0,2.3809580000000006,0.0,0.0,0.0,0.034
36,1.15,5.030606,98.98743599999997,65.331,102.54100000000001,120.0,2.2797980000000018,0.0,0.0,0.0,0.034
