dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.7673600000000027,119.01270400000007,117.4,119.552,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.873200000000003,118.1044000000001,114.80000000000001,118.72,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.802832000000002,117.19098400000009,112.404,117.68799999999999,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.7634640000000028,116.39292800000005,110.21199999999999,116.73199999999999,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.8185520000000008,115.6765119999999,107.99999999999999,116.00399999999999,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.853487999999997,114.89156000000001,106.40800000000002,115.84400000000001,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.8637519999999999,114.40743200000007,105.15200000000002,114.916,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.778952000000001,113.98790399999993,103.08400000000002,115.272,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.7569360000000032,113.66575199999993,101.77999999999997,116.57599999999998,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.7832960000000004,113.20099200000006,99.54799999999997,116.12400000000001,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.7663840000000002,112.42959200000004,97.45999999999998,115.86399999999999,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.7714480000000008,112.77784,95.88399999999999,115.86600000000001,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.726800000000001,112.83539199999998,94.88399999999999,117.44000000000001,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.7433919999999996,112.71107200000014,93.45199999999998,116.20800000000001,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.7118959999999996,112.72520800000001,91.44399999999999,117.28800000000001,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.9088459999999992,112.86263800000005,89.32399999999998,117.44649999999999,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,2.0473299999999988,112.44980399999999,85.68899999999998,116.02000000000001,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.2232869999999996,112.14839299999977,84.09149999999998,115.74600000000001,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.5481640000000003,111.42261300000006,81.80749999999998,114.79799999999996,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.803735999999999,110.25179700000025,79.98199999999997,112.83699999999999,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,3.0438940000000043,108.91532699999993,78.52150000000002,111.19849999999998,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,3.1074599999999983,108.10703099999998,78.66300000000004,110.2755,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,3.3792799999999983,107.03432699999995,80.03100000000003,110.074,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,3.5394340000000053,106.34620400000003,83.1555,109.99400000000001,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.814253999999999,104.78115100000012,79.63250000000001,107.02000000000001,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,4.04187,104.40849700000021,77.6845,107.351,120.0,1.7627830000000002,0.0,0.0,0.0,0.026
27,1.0,4.26693999999999,102.6924829999999,73.90699999999995,105.754,120.0,0.0,0.0,0.0,0.0,0.0
