dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5214479999999992,119.261184,117.86800000000001,119.77600000000001,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.558616000000001,118.69676799999985,115.70400000000001,119.54400000000001,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.4816960000000006,118.25631999999987,113.796,120.0,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.4926080000000026,117.92356000000001,111.932,119.636,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.4926800000000016,117.59923200000009,110.32400000000001,119.00999999999999,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.5848239999999996,117.6714239999999,111.1496,119.152,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.5776559999999982,117.29908000000006,111.46080000000003,118.372,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5367360000000014,117.28343199999983,109.59200000000003,118.584,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5313920000000003,116.93340800000009,109.25760000000002,118.648,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.458224000000001,117.25856800000001,109.57680000000002,120.0,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5035439999999975,117.04101600000003,109.62660000000002,118.744,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.4884959999999978,117.23039200000001,107.81200000000004,119.256,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.4540879999999994,116.94950399999999,106.552,118.63199999999999,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.4851040000000035,117.14751200000008,112.22,118.176,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.4399680000000021,117.69759200000004,110.04400000000001,119.16400000000002,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.5767639999999992,117.84922699999991,111.19747499999998,119.7765,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.7706599999999992,117.39368899999992,109.71500000000002,118.92649999999999,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,1.9140329999999968,117.31290399999992,110.55,120.0,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.1152160000000015,117.02932699999995,108.26987500000001,120.0,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.2691500000000007,116.40412200000002,105.31915000000001,120.0,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,2.483165999999998,115.55168299999985,102.5236,118.425,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,2.634945000000001,115.13857500000027,102.05722500000002,117.51750000000001,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,2.8168000000000024,115.39583700000011,100.77527500000001,119.57350000000001,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,2.9138510000000033,114.56521100000002,96.57650000000002,117.134,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.312666000000001,114.23894700000008,100.43249999999998,116.778,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.5268180000000022,113.25011000000003,100.271,114.76600000000002,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,3.61588,112.4258449999999,96.499,113.998,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,3.606770999999998,111.48138399999976,96.92099999999999,113.9405,120.0,0.0,0.0,0.0,0.0,0.0
29,1.1,4.057657999999994,110.45033499999995,91.79400000000001,112.24399999999999,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.1513620000000095,109.04874800000002,87.20550000000001,110.08049999999996,120.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.140183999999994,108.70576800000003,91.153,111.23899999999998,120.0,1.0580079999999998,0.0,0.0,0.0,0.016
32,1.15,4.021251000000011,107.64530199999992,87.3705,110.36899999999997,120.0,0.0,0.0,0.0,0.0,0.0
33,1.15,4.132110999999999,106.73313599999987,88.41980000000002,108.581,120.0,0.0,0.0,0.0,0.0,0.0
34,1.15,4.254057000000012,106.13152799999999,87.47892500000002,108.11900000000001,120.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.340790000000002,104.84664899999996,81.919,106.87699999999997,120.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.231792999999996,103.11515499999993,76.33,106.85750000000003,120.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.326438000000002,103.027442,71.97149999999999,107.464,120.0,0.0,0.0,0.0,0.0,0.0
38,1.15,4.169831000000002,103.88530800000007,75.907,107.93199999999999,120.0,0.9735250000000002,0.0,0.0,0.0,0.014
39,1.15,4.329083000000002,104.09420700000007,75.52799999999999,105.03449999999998,120.0,0.0,0.0,0.0,0.0,0.0
40,1.15,4.268593000000007,103.76489799999986,75.31050000000002,105.244,120.0,0.0,0.0,0.0,0.0,0.0
41,1.15,4.167553999999997,103.91510199999995,74.21449999999999,106.40900000000002,120.0,0.0,0.0,0.0,0.0,0.0
42,1.15,4.121968000000008,104.01809699999995,70.79850000000003,108.04700000000003,120.0,0.0,0.0,0.0,0.0,0.0
43,1.15,4.114033000000003,103.89276700000008,70.93749999999999,110.81299999999999,120.0,0.0,0.0,0.0,0.0,0.0
44,1.15,4.139195000000005,103.68323400000003,67.94149999999998,109.5515,120.0,0.0,0.0,0.0,0.0,0.0
45,1.15,4.135998000000005,104.68705499999989,67.63099999999999,112.36049999999999,120.0,0.0,0.0,0.0,0.0,0.0
46,1.15,4.129995000000002,104.2482690000001,64.832,112.9545,120.0,0.0,0.0,0.0,0.0,0.0
47,1.15,4.215072000000007,103.87354800000007,66.6,112.60950000000001,120.0,0.6896350000000002,0.0,0.0,0.0,0.01
48,1.15,4.211852000000004,103.06818799999995,71.75637499999999,109.27050000000001,120.0,0.0,0.0,0.0,0.0,0.0
49,1.15,4.080729000000007,101.80310400000006,71.10999999999999,105.93000000000002,120.0,0.0,0.0,0.0,0.0,0.0
50,1.15,3.9912130000000063,101.78427300000013,69.35500000000002,107.90150000000003,120.0,0.0,0.0,0.0,0.0,0.0
51,1.15,4.053060000000002,102.34724099999994,72.47550000000003,107.20350000000002,120.0,0.0,0.0,0.0,0.0,0.0
52,1.15,4.2239500000000065,101.99795800000005,70.62149999999998,104.47050000000003,120.0,0.0,0.0,0.0,0.0,0.0
53,1.15,4.156192000000004,104.23164900000008,73.64442500000001,108.851,120.0,1.359079999999999,0.0,0.0,0.0,0.02
54,1.15,4.053083000000007,104.14448700000003,72.58322500000001,108.51125,120.0,0.0,0.0,0.0,0.0,0.0
55,1.15,4.081350000000001,103.49848900000012,67.74399999999999,108.69149999999999,120.0,0.0,0.0,0.0,0.0,0.0
56,1.15,4.380419000000005,103.44781399999992,71.31199999999998,108.88550000000001,120.0,0.0,0.0,0.0,0.0,0.0
57,1.15,4.232045999999999,104.31148299999994,68.33649999999999,111.40499999999999,120.0,1.648908000000001,0.0,0.0,0.0,0.024
58,1.15,4.204376999999996,103.44387299999994,64.00850000000004,111.55099999999999,120.0,0.0,0.0,0.0,0.0,0.0
59,1.15,4.239544000000007,103.96295700000009,59.70449999999998,109.21999999999998,120.0,0.0,0.0,0.0,0.0,0.0
60,1.15,4.244420000000009,104.73937200000007,68.74799999999998,109.5615,120.0,1.8850789999999997,0.0,0.0,0.0,0.028
61,1.15,4.294491000000002,104.7976789999998,69.00250000000001,109.23299999999998,120.0,0.8190299999999999,0.0,0.0,0.0,0.012
62,1.15,4.197753000000003,104.36493600000003,64.57400000000005,108.825,120.0,0.0,0.0,0.0,0.0,0.0
63,1.15,4.117275999999999,103.96500099999982,69.25450000000006,107.537,120.0,0.0,0.0,0.0,0.0,0.0
