dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.6420079999999981,119.08505600000005,117.584,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.7177200000000024,118.318272,115.188,120.0,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.7764720000000014,117.40324800000008,112.996,118.36399999999999,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.7184320000000013,117.21927200000003,110.908,119.53999999999999,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.741183999999999,116.384688,108.81600000000002,118.096,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.7293119999999997,115.68395999999998,107.024,117.788,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.737688,115.6491919999999,105.2,118.99600000000001,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.6848800000000002,115.45035999999969,104.34,118.236,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.6701520000000012,114.86128799999997,101.944,116.364,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.7099440000000015,114.26943200000004,100.76000000000002,115.42399999999999,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6960559999999993,114.38892000000008,100.03199999999998,117.59200000000001,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.6782240000000028,114.43600800000003,99.656,118.708,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.7074479999999996,113.72307200000019,97.732,118.42,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.675440000000004,113.16964800000012,96.544,118.00800000000001,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.6593040000000048,112.71316800000004,94.61999999999999,117.87200000000001,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.9414530000000036,112.59141099999995,94.54492500000002,116.94000000000001,120.0,0.0,0.0,0.0,0.0,0.0
