dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5909359999999997,119.28975999999997,117.7,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6821280000000016,118.44657599999995,115.448,118.96799999999999,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.6930320000000045,117.72127199999991,113.28,119.07600000000001,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.612816000000001,117.11902400000007,111.152,119.26,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.665712000000001,116.63801600000004,110.456,118.028,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.662439999999998,116.30280800000014,108.58000000000001,118.688,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.7130080000000014,116.04138399999997,106.552,118.53,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.6306800000000004,115.42864800000002,105.15680000000002,117.892,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.6411600000000002,114.99667199999976,103.63199999999999,118.176,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.6540479999999997,114.68344000000022,102.392,117.636,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6091680000000035,114.38794400000008,100.488,117.10799999999999,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.6168240000000011,115.21943200000023,101.208,118.16,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.623136,115.06828800000005,103.81599999999999,117.68400000000001,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.608519999999998,115.26805600000004,101.50399999999999,117.988,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.5710240000000042,115.09603999999997,99.52,119.66,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.8040590000000003,115.24360600000006,102.58149999999999,119.3085,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.8958999999999995,115.57688500000002,105.11399999999999,119.0295,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.163700000000004,115.07019099999997,102.55099999999999,117.7875,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.387544,114.34221899999987,99.91099999999999,117.164,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.6920659999999987,113.67139600000002,98.43849999999999,116.429,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,2.8615300000000072,112.08638399999985,94.2105,114.33950000000002,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,2.9579549999999992,110.98739899999995,89.6805,114.809,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,3.188975999999997,109.76443199999996,84.9285,112.68400000000001,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,3.419805,108.91466899999998,84.31550000000003,112.1675,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.641633999999999,107.99545600000003,79.2895,111.1705,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.8162450000000043,107.16918800000002,80.4935,110.1945,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,3.8738199999999985,106.57468999999996,76.3835,111.52300000000001,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,4.164636,105.47239699999982,71.827,111.92900000000002,120.0,0.0,0.0,0.0,0.0,0.0
29,1.1,4.414387999999989,104.4720309999999,68.08899999999998,110.2805,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.481665000000006,102.97025500000002,64.26749999999998,110.41799999999999,120.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.646506000000008,102.24778299999998,70.14100000000003,106.64100000000002,120.0,1.34413,0.0,0.0,0.0,0.02
32,1.15,4.724682999999994,101.50438099999995,66.33449999999999,103.02550000000001,120.0,0.9292920000000003,0.0,0.0,0.0,0.014
33,1.15,4.774386000000003,99.51478500000002,60.49280000000004,100.69350000000001,120.0,0.0,0.0,0.0,0.0,0.0
34,1.15,4.664514999999996,99.98080299999997,57.77150000000002,101.7815,120.0,1.9825650000000006,0.0,0.0,0.0,0.03
35,1.15,4.670058,100.98899399999996,63.55727500000003,108.5805,120.0,2.2279109999999993,0.0,0.0,0.0,0.032
36,1.15,4.757618999999994,98.99564599999992,61.67859999999999,102.771,120.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.833197000000003,97.82786000000011,58.562149999999995,104.18200000000002,120.0,0.0,0.0,0.0,0.0,0.0
38,1.15,4.797822999999998,98.49272300000004,58.80699999999999,102.2555,120.0,2.953877999999999,0.0,0.0,0.0,0.044
39,1.15,4.902496000000003,100.74947900000018,62.6105,103.23700000000002,120.0,4.484208000000001,0.0,0.0,66.43700000000001,0.066
40,1.15,4.942217000000008,101.337741,70.00900000000001,104.95199999999998,120.0,3.162416,0.0,0.0,0.0,0.046
41,1.15,4.772477000000001,99.19102500000005,64.08400000000002,103.67200000000001,120.0,0.0,0.0,0.0,0.0,0.0
42,1.15,4.700694000000006,99.48881599999996,69.85550000000003,103.2045,120.0,1.3682099999999997,0.0,0.0,0.0,0.02
43,1.15,4.803228000000002,99.32235899999993,66.99800000000003,102.83850000000001,120.0,1.6160519999999998,0.0,0.0,0.0,0.024
44,1.15,4.756929000000007,97.46464000000002,63.991000000000014,99.37400000000001,120.0,0.0,0.0,0.0,0.0,0.0
45,1.15,4.742783999999999,95.42305899999992,58.28700000000001,94.07299999999998,120.0,0.0,0.0,0.0,0.0,0.0
46,1.15,4.767048999999998,97.20511600000016,57.398000000000025,97.18750000000003,120.0,4.096643999999999,0.0,0.0,67.41699999999999,0.06
47,1.15,4.687515000000007,98.1915019999999,62.215500000000056,104.77724999999998,120.0,2.3528339999999983,0.0,0.0,0.0,0.034
48,1.15,4.790762000000003,98.4223059999998,65.83250000000002,103.10700000000001,120.0,1.831829999999999,0.0,0.0,0.0,0.026
49,1.15,4.8375669999999955,96.91720100000013,60.97650000000004,103.63550000000001,120.0,0.0,0.0,0.0,0.0,0.0
50,1.15,4.865718999999999,97.48995100000002,57.941500000000055,102.10600000000001,120.0,2.164392,0.0,0.0,0.0,0.032
51,1.15,4.874642999999994,98.82124800000005,66.14749999999998,106.7975,120.0,3.621401999999998,0.0,0.0,68.00399999999995,0.052
52,1.15,4.777306999999994,97.21543499999976,62.674,100.852,120.0,0.0,0.0,0.0,0.0,0.0
53,1.15,4.721508999999997,96.21301199999996,62.10699999999999,99.52399999999996,120.0,0.0,0.0,0.0,0.0,0.0
54,1.15,4.7478900000000035,96.51046699999996,68.10800000000002,99.18350000000001,120.0,1.9386709999999985,0.0,0.0,0.0,0.028
55,1.15,4.751454999999996,95.00575400000007,63.567,97.25250000000001,120.0,0.0,0.0,0.0,0.0,0.0
56,1.15,4.891686000000003,95.44623699999995,62.748000000000005,99.772,120.0,2.102205,0.0,0.0,0.0,0.03
57,1.15,4.823445,95.2030660000002,58.81350000000002,100.48350000000005,120.0,2.084843999999999,0.0,0.0,0.0,0.03
58,1.15,4.86491399999999,96.48086200000009,55.94500000000004,102.40699999999998,120.0,3.7517750000000003,0.0,0.0,66.04449999999999,0.056
59,1.15,4.886235000000003,99.65717400000014,61.04250000000001,108.63799999999999,120.0,5.5425169999999975,0.0,0.0,66.94399999999996,0.082
60,1.15,4.9367199999999976,100.69892000000011,59.12150000000002,109.7795,120.0,3.3029269999999977,0.0,0.0,0.0,0.048
61,1.15,4.973635000000003,101.23444300000004,58.09450000000001,108.74774999999998,120.0,3.209473,0.0,0.0,0.0,0.046
62,1.15,5.042864999999997,103.89765200000006,69.45999999999998,107.702,120.0,5.660748,0.0,0.0,66.84449999999995,0.084
