dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.6100800000000006,119.326384,117.688,120.0,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6936799999999987,118.66791200000003,115.64,120.0,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5930720000000005,118.35059999999993,113.348,119.976,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5839200000000009,118.06494399999983,111.44,119.892,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.5655919999999974,117.75712000000007,110.60400000000001,119.828,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6543680000000018,117.41368800000006,108.552,119.46000000000002,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.6602560000000017,117.07999999999987,108.96400000000001,118.526,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.6368960000000023,117.02947200000011,107.628,118.588,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.6168639999999974,117.240896,110.60000000000002,120.0,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.5753199999999987,117.20674400000003,111.02399999999999,119.456,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.6024559999999994,117.02146400000017,109.712,119.532,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5393920000000023,117.17242400000015,107.98399999999998,118.9,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.547688,116.98445599999982,106.30399999999997,119.30199999999999,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5552960000000011,117.00094399999988,107.60399999999998,118.812,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.5192640000000046,116.95718399999997,107.81999999999998,118.976,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.7257320000000036,116.98111999999986,109.33749999999998,119.2725,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.8861800000000046,116.76251800000009,108.4325,118.50800000000001,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.042732999999998,116.02413900000005,105.67150000000001,117.89150000000001,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.3327520000000033,115.30813699999993,103.04150000000001,117.94200000000001,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.4325600000000005,114.54655799999996,99.34950000000002,117.2445,120.0,0.0,0.0,0.0,0.0,0.0
21,0.7,2.7598619999999947,113.52963699999997,96.08750000000002,117.429,120.0,0.0,0.0,0.0,0.0,0.0
22,0.75,2.8059150000000015,113.22487900000003,97.33750000000002,117.331,120.0,0.0,0.0,0.0,0.0,0.0
23,0.7999999999999999,3.0460799999999995,112.87304699999986,94.10350000000003,117.52,120.0,0.0,0.0,0.0,0.0,0.0
24,0.8499999999999999,3.182893000000005,112.79907299999991,95.14600000000002,115.37,120.0,0.0,0.0,0.0,0.0,0.0
25,0.8999999999999999,3.5490599999999977,111.97741699999999,91.37900000000002,115.87950000000001,120.0,0.0,0.0,0.0,0.0,0.0
26,0.95,3.8188479999999965,110.33991699999982,87.36850000000001,112.98100000000001,120.0,0.0,0.0,0.0,0.0,0.0
27,1.0,3.8264000000000027,109.24183599999989,85.6655,110.8845,120.0,0.0,0.0,0.0,0.0,0.0
28,1.0499999999999998,3.8488169999999995,108.44751400000017,81.20299999999999,114.007,120.0,0.0,0.0,0.0,0.0,0.0
29,1.1,4.350499999999993,107.22375399999991,76.22699999999999,113.5285,120.0,0.0,0.0,0.0,0.0,0.0
30,1.15,4.2311029999999965,105.55872599999992,76.64000000000003,110.7565,120.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.381592,104.99480700000001,76.34950000000003,111.7325,120.0,0.0,0.0,0.0,0.0,0.0
32,1.15,4.304311999999996,104.77049499999995,71.79800000000003,112.6005,120.0,0.0,0.0,0.0,0.0,0.0
33,1.15,4.380671999999998,103.97848900000005,65.72150000000003,114.35449999999999,120.0,0.0,0.0,0.0,0.0,0.0
34,1.15,4.622563000000004,101.87301899999983,59.419500000000035,110.889,120.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.563843999999993,100.85206800000003,60.702999999999996,109.617,120.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.4309499999999895,100.76271099999974,70.38599999999998,106.99749999999999,120.0,1.2408750000000002,0.0,0.0,0.0,0.018
37,1.15,4.583715999999996,101.95697899999996,73.89150000000002,106.09200000000001,120.0,1.7231629999999998,0.0,0.0,0.0,0.026
38,1.15,4.231586000000003,101.40324,68.99899999999998,105.60250000000003,120.0,0.0,0.0,0.0,0.0,0.0
39,1.15,4.572192999999999,101.44715500000007,63.78799999999998,107.223,120.0,0.0,0.0,0.0,0.0,0.0
40,1.15,4.630106999999995,102.30929800000014,73.718,106.69199999999998,120.0,2.7102839999999992,0.0,0.0,0.0,0.04
41,1.15,4.382903000000001,103.05248900000004,72.12950000000006,107.01650000000001,120.0,1.205298,0.0,0.0,0.0,0.018
42,1.15,4.333407000000001,104.3597920000001,72.06850000000004,108.14349999999999,120.0,1.2151620000000003,0.0,0.0,0.0,0.018
43,1.15,4.433180999999996,105.431972,70.29450000000001,111.47600000000001,120.0,0.0,0.0,0.0,0.0,0.0
44,1.15,4.3726220000000025,104.86971500000008,68.95200000000003,111.86600000000003,120.0,0.0,0.0,0.0,0.0,0.0
45,1.15,4.419404000000005,104.62007099999988,65.82650000000001,111.92525,120.0,0.0,0.0,0.0,0.0,0.0
46,1.15,4.329865000000003,105.25177199999999,65.32300000000002,113.67325000000001,120.0,1.2583800000000005,0.0,0.0,0.0,0.018
47,1.15,4.479411000000002,104.81935000000004,63.46999999999999,111.98100000000001,120.0,0.0,0.0,0.0,0.0,0.0
48,1.15,4.474466,107.13830699999995,72.46300000000002,113.54700000000004,120.0,2.742590999999999,0.0,0.0,0.0,0.04
