dia_ciclo,SW_obs,I_obs,ETc_obs
1,120.0,0.0,1.372
2,120.0,0.0,1.7600000000000002
3,120.0,0.0,1.352
4,119.084,0.0,1.7800000000000002
5,118.64,0.0,1.9640000000000002
6,119.308,0.0,1.8840000000000001
7,117.34400000000001,0.0,1.9640000000000002
8,115.27600000000001,0.0,2.068
9,113.61600000000001,0.0,1.6600000000000001
10,112.32800000000002,0.0,1.2880000000000003
11,110.82800000000002,0.0,1.8440000000000003
12,111.81600000000002,0.0,1.6360000000000001
13,116.71600000000002,0.0,1.74
14,115.58000000000001,0.0,1.7600000000000002
15,114.56800000000001,0.0,1.412
16,116.19350000000001,0.0,1.7505000000000002
17,120.0,0.0,1.23
18,120.0,0.0,2.508
19,118.55,0.0,2.394
20,119.989,0.0,2.5609999999999995
21,120.0,0.0,3.15
22,120.0,0.0,1.5
23,120.0,0.0,2.784
24,120.0,0.0,2.1759999999999997
25,120.0,0.0,2.07
26,119.8205,0.0,3.0115
27,120.0,0.0,3.22
28,120.0,0.0,3.0134999999999996
29,120.0,0.0,4.224
30,120.0,0.0,4.4735
31,120.0,0.0,5.3015
32,114.819,0.0,5.5889999999999995
33,110.288,0.0,4.531
34,107.53999999999999,0.0,3.7719999999999994
35,104.72549999999998,0.0,5.6465
36,108.41749999999999,0.0,3.5879999999999996
37,112.52999999999999,0.0,3.2314999999999996
38,111.7225,0.0,3.4154999999999998
39,107.8475,0.0,4.531
40,120.0,0.0,3.8295
41,117.881,0.0,3.703
42,117.8455,0.0,4.0595
43,116.29750000000001,0.0,3.5879999999999996
44,116.76250000000002,0.0,3.8869999999999996
45,120.0,0.0,3.3579999999999997
46,120.0,0.0,4.4159999999999995
47,120.0,0.0,4.002
48,116.4045,0.0,4.0595
49,119.145,0.0,4.2435
50,120.0,0.0,2.1734999999999998
51,120.0,0.0,5.175
52,115.83500000000001,0.0,5.5889999999999995
53,113.1165,0.0,4.358499999999999
54,111.2145,0.0,4.646
55,110.0445,0.0,5.473999999999999
56,105.3985,0.0,4.646
57,104.9195,0.0,3.8869999999999996
58,104.4655,0.0,4.83
59,103.16000000000001,0.0,3.0014999999999996
60,102.8615,0.0,5.0024999999999995
61,97.7955,0.0,5.473999999999999
62,92.7355,0.0,5.06
63,90.1685,0.0,3.8869999999999996
64,94.1635,0.0,2.8289999999999997
65,91.152,0.0,4.2435
66,86.2105,0.0,5.1175
67,82.67999999999999,0.0,3.5304999999999995
68,81.53699999999999,0.0,3.8869999999999996
69,83.12349999999999,0.0,3.8295
70,81.21449999999999,0.0,5.5889999999999995
71,75.60464999999999,0.0,5.609849999999999
72,70.10369999999999,0.0,5.5009500000000005
73,67.940375,0.0,3.7153249999999995
74,64.805175,0.0,4.8552
75,59.74917500000001,0.0,5.056
76,56.47542500000001,0.0,4.24975
77,120.0,66.62559999999999,3.7730249999999996
78,116.6589,0.0,3.3730999999999995
79,114.216125,0.0,2.546775
80,120.0,0.0,2.112
81,120.0,0.0,2.876775
82,119.49119999999999,0.0,2.6448
83,117.98559999999999,0.0,2.7936
84,115.8338,0.0,2.8078000000000003
85,120.0,0.0,2.13325
86,119.0523,0.0,2.3877
87,119.308325,0.0,1.4399750000000002
88,120.0,0.0,1.32775
89,120.0,0.0,1.30995
90,120.0,0.0,1.87
