dia_ciclo,SW_obs,I_obs,ETc_obs
1,118.096,0.0,1.904
2,116.46000000000001,0.0,1.6360000000000001
3,119.24000000000001,0.0,1.228
4,120.0,0.0,0.9
5,120.0,0.0,1.452
6,118.384,0.0,1.616
7,116.48,0.0,1.904
8,114.74000000000001,0.0,1.74
9,115.59200000000001,0.0,1.228
10,120.0,0.0,0.9640000000000001
11,120.0,0.0,1.064
12,120.0,0.0,1.4320000000000002
13,118.544,0.0,1.72
14,120.0,0.0,1.2480000000000002
15,118.792,0.0,1.7600000000000002
16,119.72699999999999,0.0,2.025
17,119.90299999999999,0.0,1.92
18,120.0,0.0,2.112
19,118.604,0.0,2.244
20,120.0,0.0,2.093
21,120.0,0.0,2.618
22,120.0,0.0,2.46
23,116.44,0.0,3.56
24,112.2665,0.0,4.1735
25,108.1625,0.0,4.103999999999999
26,103.78299999999999,0.0,4.3795
27,99.63299999999998,0.0,4.15
28,105.07199999999997,0.0,2.7929999999999997
29,103.87299999999998,0.0,4.279000000000001
30,99.13249999999998,0.0,4.7725
31,96.65999999999998,0.0,2.4724999999999997
32,104.49799999999999,0.0,4.002
33,105.10549999999999,0.0,2.4724999999999997
34,109.00999999999999,0.0,4.703499999999999
35,108.09349999999999,0.0,4.5885
36,106.33449999999999,0.0,5.175
37,101.249,0.0,5.1175
38,97.78949999999999,0.0,4.0595
39,93.87699999999998,0.0,3.9444999999999997
40,88.55649999999999,0.0,5.416499999999999
41,86.04799999999999,0.0,4.5885
42,92.70549999999999,0.0,2.7024999999999997
43,93.78649999999999,0.0,3.8869999999999996
44,89.704,0.0,5.0024999999999995
45,84.49199999999999,0.0,5.243999999999999
46,81.3915,0.0,4.7725
47,77.3505,0.0,4.944999999999999
48,74.3335,0.0,3.473
49,69.549,0.0,5.416499999999999
50,64.80850000000001,0.0,4.7725
51,59.39200000000001,0.0,5.416499999999999
52,55.90550000000001,0.0,4.174499999999999
53,56.06200000000001,0.0,4.0595
54,120.0,67.51749999999998,4.0595
55,120.0,0.0,3.3005
56,120.0,0.0,3.0589999999999997
57,120.0,0.0,2.944
58,120.0,0.0,2.3
59,120.0,0.0,3.3005
60,120.0,0.0,4.646
61,116.40849999999999,0.0,4.703499999999999
62,114.95649999999999,0.0,5.06
63,111.541,0.0,3.4154999999999998
64,109.59349999999999,0.0,4.0595
65,120.0,0.0,2.944
66,120.0,0.0,5.531499999999999
67,114.4685,0.0,5.531499999999999
68,109.29350000000001,0.0,5.175
69,104.11850000000001,0.0,5.175
70,102.2475,0.0,3.703
71,103.669,0.0,2.4585
72,112.71225,0.0,2.33275
73,120.0,0.0,3.6627
74,118.2922,0.0,4.1718
75,115.11895,0.0,4.957249999999999
76,120.0,0.0,3.9632500000000004
77,116.38302499999999,0.0,4.344975
78,120.0,0.0,4.1029
79,115.97655,0.0,4.16745
80,114.3368,0.0,2.36775
81,114.36055,0.0,1.66425
82,120.0,0.0,1.71
83,120.0,0.0,1.6005000000000003
84,120.0,0.0,1.2788000000000002
85,120.0,0.0,2.3055
86,117.5475,0.0,2.7405
87,117.806675,0.0,3.148825
88,120.0,0.0,2.60465
89,118.392575,0.0,2.071425
90,118.30157499999999,0.0,1.715
