dia_ciclo,SW_obs,I_obs,ETc_obs
1,119.98,0.0,1.6600000000000001
2,118.332,0.0,1.6800000000000002
3,119.576,0.0,1.7800000000000002
4,118.124,0.0,1.452
5,115.74799999999999,0.0,2.3760000000000003
6,113.41199999999999,0.0,2.3760000000000003
7,111.1,0.0,2.3120000000000003
8,108.788,0.0,2.3120000000000003
9,106.41199999999999,0.0,2.3760000000000003
10,103.892,0.0,2.52
11,101.496,0.0,2.3960000000000004
12,99.348,0.0,2.148
13,97.24,0.0,2.108
14,95.048,0.0,2.192
15,92.796,0.0,2.2520000000000002
16,95.7325,0.0,2.1195
17,104.7405,0.0,1.92
18,103.097,0.0,2.1395000000000004
19,115.855,0.0,3.2579999999999996
20,112.62100000000001,0.0,3.562
21,109.248,0.0,3.437
22,106.35650000000001,0.0,3.0675
23,102.17250000000001,0.0,4.215999999999999
24,111.11800000000002,0.0,3.7824999999999998
25,120.0,0.0,3.3659999999999997
26,120.0,0.0,4.5695
27,115.95,0.0,5.53
28,110.4165,0.0,5.533499999999998
29,104.3885,0.0,6.028000000000001
30,99.5585,0.0,4.83
31,100.9965,0.0,4.002
32,95.87899999999999,0.0,5.1175
33,98.45899999999999,0.0,5.06
34,93.45649999999999,0.0,5.0024999999999995
35,89.92349999999999,0.0,5.5889999999999995
36,84.1505,0.0,5.772999999999999
37,91.28049999999999,0.0,4.646
38,88.89899999999999,0.0,5.3015
39,86.74699999999999,0.0,2.944
40,86.30849999999998,0.0,2.7024999999999997
41,105.79599999999998,0.0,3.9444999999999997
42,114.46349999999998,0.0,4.7725
43,120.0,0.0,4.4159999999999995
44,120.0,0.0,4.2435
45,117.8165,0.0,3.2314999999999996
46,118.56400000000001,0.0,3.1165
47,120.0,0.0,3.703
48,114.5715,0.0,6.2444999999999995
49,108.2695,0.0,6.302
50,101.6385,0.0,6.646999999999999
51,96.49549999999999,0.0,5.175
52,91.67,0.0,5.945499999999999
53,85.747,0.0,6.002999999999999
54,79.3875,0.0,6.3595
55,72.87150000000001,0.0,6.531999999999999
56,68.47250000000001,0.0,5.175
57,62.37850000000001,0.0,6.302
58,55.84650000000001,0.0,6.531999999999999
59,120.0,69.66899999999998,5.531499999999999
60,114.128,0.0,5.888
61,109.1255,0.0,5.0024999999999995
62,106.9735,0.0,4.4159999999999995
63,106.858,0.0,4.2435
64,106.64350000000002,0.0,4.358499999999999
65,104.07000000000002,0.0,5.1175
66,98.79900000000002,0.0,6.646999999999999
67,92.00000000000001,0.0,6.8309999999999995
68,85.18500000000002,0.0,6.8309999999999995
69,78.94050000000001,0.0,6.2444999999999995
70,73.76550000000002,0.0,5.175
71,67.76452500000002,0.0,6.0009749999999995
72,62.43717500000002,0.0,5.32735
73,57.10100000000002,0.0,5.336175
74,120.0,68.59059999999998,5.6916
75,114.5885,0.0,5.4115
76,109.9949,0.0,4.8896
77,105.51155,0.0,4.483350000000001
78,101.66165,0.0,4.3698999999999995
79,96.79105,0.0,4.8706
80,92.02255,0.0,4.7684999999999995
81,87.23585,0.0,4.7867
82,83.17105000000001,0.0,4.3928
83,80.067975,0.0,4.023075
84,77.040025,0.0,3.2039500000000003
85,73.6149,0.0,3.425125
86,70.3893,0.0,3.2256
87,67.02537500000001,0.0,3.363925
88,64.482875,0.0,2.5424999999999995
89,61.89492500000001,0.0,2.58795
90,59.12992500000001,0.0,2.765
