dia_ciclo,SW_obs,I_obs,ETc_obs
1,120.0,0.0,1.6800000000000002
2,120.0,0.0,1.516
3,120.0,0.0,1.7000000000000002
4,118.40400000000001,0.0,1.74
5,116.97200000000002,0.0,2.088
6,116.82800000000003,0.0,1.904
7,114.64000000000003,0.0,2.2520000000000002
8,112.71600000000002,0.0,1.924
9,112.42400000000002,0.0,1.004
10,111.28000000000002,0.0,1.6800000000000002
11,109.43600000000002,0.0,1.8440000000000003
12,108.19600000000003,0.0,1.8239999999999998
13,106.66800000000002,0.0,1.6800000000000002
14,111.83200000000002,0.0,1.372
15,117.04800000000003,0.0,1.4960000000000002
16,117.86350000000003,0.0,1.8405
17,120.0,0.0,1.665
18,120.0,0.0,2.563
19,120.0,0.0,2.364
20,120.0,0.0,2.7299999999999995
21,118.12299999999999,0.0,2.653
22,120.0,0.0,2.2275
23,120.0,0.0,2.992
24,120.0,0.0,2.6944999999999997
25,120.0,0.0,3.4109999999999996
26,120.0,0.0,3.3534999999999995
27,118.24,0.0,4.76
28,114.1625,0.0,5.7014999999999985
29,114.06849999999999,0.0,4.95
30,108.06549999999999,0.0,6.002999999999999
31,102.89049999999999,0.0,5.175
32,96.51999999999998,0.0,6.474499999999999
33,90.04549999999998,0.0,6.474499999999999
34,90.54949999999998,0.0,4.4159999999999995
35,98.77449999999999,0.0,5.175
36,104.55099999999999,0.0,3.2314999999999996
37,112.87549999999999,0.0,4.0595
38,108.54799999999999,0.0,4.887499999999999
39,105.89349999999999,0.0,5.6465
40,108.65699999999998,0.0,6.060499999999999
41,102.31999999999998,0.0,6.417
42,97.31749999999998,0.0,5.0024999999999995
43,91.91149999999999,0.0,6.117999999999999
44,88.08899999999998,0.0,5.6465
45,85.21799999999999,0.0,5.175
46,79.69149999999999,0.0,5.8305
47,73.68849999999999,0.0,6.002999999999999
48,67.99549999999999,0.0,5.772999999999999
49,62.46399999999999,0.0,5.531499999999999
50,59.059,0.0,4.117
51,54.675,0.0,4.4159999999999995
52,120.0,67.39500000000001,4.646
53,120.0,0.0,3.0014999999999996
54,120.0,0.0,4.7725
55,114.626,0.0,6.117999999999999
56,110.069,0.0,5.772999999999999
57,116.0545,0.0,4.174499999999999
58,114.9475,0.0,6.002999999999999
59,114.10300000000001,0.0,3.3005
60,118.418,0.0,5.772999999999999
61,112.3575,0.0,6.060499999999999
62,106.93650000000001,0.0,5.772999999999999
63,101.76150000000001,0.0,5.175
64,97.57050000000002,0.0,5.359
65,94.81150000000002,0.0,5.175
66,91.44000000000003,0.0,4.2435
67,87.80250000000002,0.0,5.3015
68,81.74200000000002,0.0,6.060499999999999
69,76.34200000000003,0.0,5.704
70,73.52300000000002,0.0,6.002999999999999
71,67.62602500000003,0.0,6.0009749999999995
72,61.734475000000025,0.0,5.89155
73,57.548275000000025,0.0,5.978199999999999
74,120.0,68.00952499999997,6.1098
75,114.242875,0.0,5.757124999999999
76,108.617925,0.0,5.624949999999999
77,104.578475,0.0,4.815449999999999
78,101.116375,0.0,3.4620999999999995
79,99.54847500000001,0.0,2.5039
80,102.886975,0.0,3.0855
81,109.80035000000001,0.0,3.526625
82,110.12595000000002,0.0,2.8424
83,108.87620000000001,0.0,3.27375
84,106.97685000000001,0.0,3.8433500000000005
85,103.9411,0.0,3.21975
86,101.47260000000001,0.0,2.7405
87,98.99297500000002,0.0,2.4796250000000004
88,97.86782500000001,0.0,2.6611499999999997
89,99.98650000000002,0.0,2.5613249999999996
90,99.51450000000001,0.0,1.92
