dia_ciclo,SW_obs,I_obs,ETc_obs
1,118.3,0.0,1.7000000000000002
2,117.53200000000001,0.0,1.576
3,120.0,0.0,1.536
4,120.0,0.0,1.1039999999999999
5,118.46799999999999,0.0,2.028
6,116.27599999999998,0.0,2.192
7,114.08399999999997,0.0,2.192
8,112.01599999999998,0.0,2.068
9,109.88799999999998,0.0,2.128
10,107.65999999999997,0.0,2.2920000000000003
11,105.77999999999997,0.0,2.192
12,103.74399999999997,0.0,2.068
13,101.69599999999997,0.0,2.048
14,99.83999999999996,0.0,1.9440000000000002
15,98.01599999999996,0.0,1.8239999999999998
16,101.83949999999996,0.0,1.8405
17,108.83149999999996,0.0,1.64
18,120.0,0.0,1.3805
19,120.0,0.0,2.67
20,120.0,0.0,2.6584999999999996
21,117.309,0.0,2.723
22,114.698,0.0,2.955
23,113.24199999999999,0.0,3.272
24,120.0,0.0,2.4819999999999998
25,116.63199999999999,0.0,3.4559999999999995
26,120.0,0.0,3.6005
27,115.856,0.0,4.4
28,110.753,0.0,5.103
29,105.066,0.0,5.687
30,101.2365,0.0,3.8295
31,107.68700000000001,0.0,3.6454999999999997
32,102.9835,0.0,4.703499999999999
33,98.6825,0.0,4.301
34,99.49400000000001,0.0,4.7725
35,93.99450000000002,0.0,5.531499999999999
36,98.13550000000001,0.0,4.531
37,104.22400000000002,0.0,3.4154999999999998
38,100.96950000000002,0.0,4.174499999999999
39,106.25950000000002,0.0,3.3579999999999997
40,109.168,0.0,2.5875
41,120.0,0.0,3.3579999999999997
42,120.0,0.0,2.415
43,120.0,0.0,2.8864999999999994
44,120.0,0.0,3.3579999999999997
45,120.0,0.0,2.7715
46,120.0,0.0,3.2314999999999996
47,120.0,0.0,2.5875
48,120.0,0.0,5.5889999999999995
49,120.0,0.0,5.3015
50,119.587,0.0,5.772999999999999
51,119.1635,0.0,4.887499999999999
52,117.4295,0.0,4.83
53,119.11100000000002,0.0,4.358499999999999
54,119.79950000000001,0.0,4.887499999999999
55,115.43800000000002,0.0,5.945499999999999
56,111.3195,0.0,4.358499999999999
57,110.68050000000001,0.0,5.359
58,107.71600000000001,0.0,6.060499999999999
59,111.785,0.0,4.531
60,113.0255,0.0,4.887499999999999
61,109.0765,0.0,4.117
62,108.66499999999999,0.0,4.0595
63,114.77299999999998,0.0,3.7719999999999994
64,120.0,0.0,3.1165
65,120.0,0.0,4.531
66,118.131,0.0,5.5889999999999995
67,111.6565,0.0,6.474499999999999
68,106.45549999999999,0.0,6.417
69,100.50999999999999,0.0,5.945499999999999
70,97.79199999999999,0.0,4.83
71,93.33619999999999,0.0,5.0958
72,88.56219999999999,0.0,4.774
73,86.49409999999999,0.0,4.2521
74,82.4279,0.0,4.9062
75,77.72739999999999,0.0,4.7005
76,73.32484999999998,0.0,4.40255
77,71.97799999999998,0.0,4.29885
78,71.40939999999999,0.0,3.3286
79,71.88482499999999,0.0,4.124574999999999
80,67.57832499999999,0.0,4.3065
81,63.23542499999999,0.0,4.3429
82,60.771824999999986,0.0,3.6555999999999997
83,59.34909999999998,0.0,2.902725
84,61.535449999999976,0.0,2.1336500000000003
85,68.75144999999998,0.0,2.544
86,72.08524999999997,0.0,2.4822
87,70.83437499999998,0.0,2.658875
88,69.83567499999998,0.0,2.0227
89,68.03582499999997,0.0,1.79985
90,65.55582499999997,0.0,2.48
