dia_ciclo,SW_obs,I_obs,ETc_obs
1,119.97999999999999,0.0,1.516
2,119.52,0.0,1.8440000000000003
3,120.0,0.0,1.452
4,119.7,0.0,1.8440000000000003
5,120.0,0.0,2.088
6,118.512,0.0,2.008
7,116.464,0.0,2.048
8,115.756,0.0,2.172
9,116.036,0.0,1.616
10,114.604,0.0,1.4320000000000002
11,114.372,0.0,1.904
12,116.752,0.0,1.7000000000000002
13,120.0,0.0,1.7800000000000002
14,120.0,0.0,1.8
15,120.0,0.0,1.596
16,120.0,0.0,1.935
17,120.0,0.0,1.485
18,120.0,0.0,2.5355000000000003
19,120.0,0.0,2.424
20,120.0,0.0,2.86
21,120.0,0.0,3.2969999999999997
22,120.0,0.0,1.6500000000000001
23,120.0,0.0,2.9039999999999995
24,120.0,0.0,2.3034999999999997
25,120.0,0.0,2.529
26,120.0,0.0,3.1159999999999997
27,120.0,0.0,3.43
28,120.0,0.0,3.3284999999999996
29,120.0,0.0,4.389
30,120.0,0.0,4.83
31,119.019,0.0,5.5889999999999995
32,117.0205,0.0,5.8305
33,111.719,0.0,5.3015
34,108.05149999999999,0.0,4.0595
35,106.7555,0.0,5.704
36,110.97550000000001,0.0,3.5879999999999996
37,111.00200000000001,0.0,3.6454999999999997
38,109.62400000000001,0.0,4.002
39,107.08350000000002,0.0,4.5885
40,108.58600000000001,0.0,4.4735
41,110.81150000000002,0.0,4.174499999999999
42,111.72000000000003,0.0,4.0595
43,110.05250000000002,0.0,4.0595
44,113.54200000000003,0.0,4.358499999999999
45,120.0,0.0,3.7719999999999994
46,120.0,0.0,4.887499999999999
47,120.0,0.0,4.703499999999999
48,116.00150000000001,0.0,4.174499999999999
49,117.9425,0.0,4.531
50,120.0,0.0,2.415
51,120.0,0.0,5.3015
52,115.6655,0.0,5.6465
53,114.846,0.0,4.2435
54,120.0,0.0,4.646
55,116.048,0.0,5.704
56,112.6265,0.0,5.1175
57,110.02499999999999,0.0,4.4735
58,112.45649999999999,0.0,5.416499999999999
59,110.5915,0.0,3.473
60,108.394,0.0,5.1175
61,104.53,0.0,5.888
62,98.8835,0.0,5.6465
63,94.79849999999999,0.0,4.117
64,91.74599999999998,0.0,3.1165
65,89.14949999999999,0.0,4.5885
66,87.083,0.0,5.0024999999999995
67,84.3005,0.0,4.174499999999999
68,80.2,0.0,4.7725
69,82.1755,0.0,3.9444999999999997
70,79.43350000000001,0.0,6.117999999999999
71,73.60015000000001,0.0,5.833349999999999
72,67.77370000000002,0.0,5.82645
73,64.81382500000002,0.0,4.367875000000001
74,59.27522500000002,0.0,5.5386
75,120.0,66.23502499999998,5.51025
76,116.21495,0.0,4.68905
77,112.733825,0.0,4.105125
78,109.30722499999999,0.0,3.5065999999999997
79,108.40619999999998,0.0,2.461025
80,120.0,0.0,2.4915
81,120.0,0.0,3.082825
82,118.78519999999999,0.0,2.6068000000000002
83,118.12322499999999,0.0,2.829975
84,117.670475,0.0,3.0927500000000006
85,117.826725,0.0,2.37175
86,120.0,0.0,2.3877
87,120.0,0.0,1.4399750000000002
88,120.0,0.0,1.4464
89,120.0,0.0,1.2247499999999998
90,120.0,0.0,1.69
