dia_ciclo,SW_obs,I_obs,ETc_obs
1,118.612,0.0,1.452
2,117.35999999999999,0.0,1.412
3,119.11999999999999,0.0,1.312
4,120.0,0.0,1.124
5,120.0,0.0,1.4320000000000002
6,120.0,0.0,1.8239999999999998
7,118.368,0.0,1.6800000000000002
8,116.28,0.0,2.088
9,114.696,0.0,1.6800000000000002
10,113.244,0.0,1.596
11,113.52,0.0,1.924
12,111.59599999999999,0.0,1.924
13,111.684,0.0,1.2080000000000002
14,112.88,0.0,1.9640000000000002
15,113.408,0.0,1.72
16,111.43050000000001,0.0,2.2815000000000003
17,108.99150000000002,0.0,2.455
18,119.81000000000002,0.0,2.0295
19,117.876,0.0,2.766
20,115.77950000000001,0.0,2.5284999999999997
21,120.0,0.0,3.0449999999999995
22,116.771,0.0,3.7649999999999997
23,115.059,0.0,3.0319999999999996
24,120.0,0.0,2.0909999999999997
25,118.41900000000001,0.0,2.8529999999999998
26,117.86150000000002,0.0,4.0375
27,119.05950000000001,0.0,4.25
28,113.78200000000001,0.0,5.533499999999998
29,108.798,0.0,5.016
30,105.58449999999999,0.0,5.1175
31,117.19449999999999,0.0,3.3579999999999997
32,114.17099999999999,0.0,4.887499999999999
33,109.29699999999998,0.0,5.473999999999999
34,104.81599999999999,0.0,4.944999999999999
35,111.892,0.0,5.243999999999999
36,110.14949999999999,0.0,2.7024999999999997
37,107.40449999999998,0.0,3.473
38,116.4185,0.0,4.002
39,112.95049999999999,0.0,3.7719999999999994
40,112.29099999999998,0.0,2.5875
41,110.05649999999999,0.0,3.5304999999999995
42,111.2585,0.0,3.1739999999999995
43,117.7935,0.0,2.001
44,120.0,0.0,3.8295
45,120.0,0.0,2.5875
46,120.0,0.0,2.6449999999999996
47,117.4675,0.0,3.1165
48,120.0,0.0,4.646
49,116.55499999999999,0.0,4.117
50,120.0,0.0,4.531
51,120.0,0.0,3.1739999999999995
52,120.0,0.0,4.703499999999999
53,116.631,0.0,3.473
54,120.0,0.0,5.243999999999999
55,115.44200000000001,0.0,4.83
56,110.05000000000001,0.0,5.704
57,105.10500000000002,0.0,4.944999999999999
58,100.40150000000001,0.0,4.703499999999999
59,97.63550000000002,0.0,4.83
60,97.62400000000002,0.0,2.7715
61,97.88100000000003,0.0,3.8869999999999996
62,93.35000000000002,0.0,4.531
63,92.75600000000003,0.0,4.002
64,91.07900000000002,0.0,4.301
65,86.68700000000003,0.0,4.4159999999999995
66,81.13500000000003,0.0,5.704
67,75.04100000000004,0.0,6.117999999999999
68,70.62500000000004,0.0,4.4159999999999995
69,65.01700000000005,0.0,5.704
70,64.05200000000005,0.0,4.301
71,59.66530000000005,0.0,4.5146999999999995
72,54.89130000000005,0.0,4.774
73,120.0,69.47657499999994,4.367875000000001
74,115.22879999999999,0.0,5.0592
75,111.05592499999999,0.0,4.1968749999999995
76,106.75842499999999,0.0,4.297499999999999
77,104.04022499999998,0.0,2.8782
78,100.28522499999998,0.0,3.8269999999999995
79,97.95284999999998,0.0,3.6443749999999997
80,100.35284999999998,0.0,3.1679999999999997
81,97.11997499999997,0.0,3.288875
82,97.92157499999996,0.0,2.9184
83,95.64797499999996,0.0,2.7936
84,102.02717499999996,0.0,2.6688
85,100.79479999999997,0.0,2.272375
86,98.40709999999997,0.0,2.3877
87,96.86682499999998,0.0,2.324275
88,100.70572499999997,0.0,2.1130999999999998
89,98.99912499999998,0.0,1.7465999999999997
90,97.75912499999998,0.0,1.92
