city,lat,lon,Koppen,AWC_mm,P_annual_1991_2020_mm,ETo_annual_1991_2020_mm,P_over_ETo,n_safras_El_Nino_2020_2024,n_safras_La_Nina_2020_2024,n_safras_Neutral_2020_2024
Baixa_Grande_do_Ribeiro,-9.85,-45.3,Aw,120,1054.9,1560.6,0.676,1,3,1
Balsas,-9.55,-44.05,Aw,120,1186.0,1522.0,0.779,1,3,1
Barreiras,-12.15,-44.99,Aw,120,991.0,1638.6,0.605,1,3,1
Bom_Jesus,-9.75,-44.35,Aw,120,884.2,1773.8,0.498,1,3,1
Campos_Lindos,-9.95,-44.45,Aw,120,1345.3,1487.4,0.904,1,3,1
Correntina,-13.35,-44.45,Aw,120,943.8,1613.0,0.585,1,3,1
Formosa_do_Rio_Preto,-11.55,-45.15,Aw,120,963.2,1677.9,0.574,1,3,1
Luis_Eduardo_Magalhaes,-12.05,-45.75,Aw,120,1056.0,1572.7,0.671,1,3,1
Tasso_Fragoso,-9.35,-44.25,Aw,120,1247.5,1577.8,0.791,1,3,1
Urucui,-7.25,-45.25,Aw,120,996.2,1631.1,0.611,1,3,1
