city,n_forecasts,crps_mean,crps_median,mae_q50,bias_q50,kge_q50,pbias_q50,coverage_90,ci_width_med
Baixa Grande do Ribeiro,425,2.083,0.050,3.172,-2.116,0.067,-59.173,0.976,0.000
Balsas,425,1.998,0.000,2.896,-2.894,-0.060,-76.819,0.986,0.000
Barreiras,425,3.760,1.249,5.779,-3.855,0.301,-44.896,0.955,29.860
Bom Jesus,425,3.873,2.477,5.468,-4.212,0.310,-47.510,0.974,22.636
Campos Lindos,425,1.406,0.048,1.943,-1.553,0.008,-67.254,0.981,1.015
Correntina,425,4.428,3.210,6.405,-2.864,0.471,-26.512,0.939,29.385
Formosa do Rio Preto,425,3.020,0.002,4.692,-2.538,0.385,-37.018,0.960,0.000
Luis Eduardo Magalhaes,425,2.219,0.101,2.700,-1.224,0.419,-32.796,0.984,29.311
Tasso Fragoso,425,1.338,0.000,1.811,-1.797,0.035,-70.726,0.991,0.000
Urucui,425,2.373,0.239,3.378,-2.092,0.306,-44.115,0.958,24.372
