cycle,parameter,post_mean,post_sd,hdi_3,hdi_97,ess_bulk,ess_tail,r_hat,mcse_mean,n_chain,n_draw,n_divergent
2020_2021,theta_s,0.4136,0.0034,0.4071,0.4203,1911.7659,1333.6314,1.0019,0.0001,4,600,0
2020_2021,theta_r,0.0977,0.0196,0.0606,0.1334,2182.2258,1548.0854,1.0033,0.0004,4,600,0
2020_2021,Kc_mult,1.2543,0.0077,1.2390,1.2676,1717.2290,1622.1826,1.0023,0.0002,4,600,0
2020_2021,theta_init,0.2571,0.0020,0.2535,0.2608,1739.6091,1776.5259,1.0006,0.0000,4,600,0
2020_2021,sigma_obs,0.0100,0.0008,0.0085,0.0114,2226.5725,1849.7340,1.0001,0.0000,4,600,0
2021_2022,theta_s,0.4214,0.0009,0.4198,0.4231,2017.0055,1677.5376,1.0007,0.0000,4,600,0
2021_2022,theta_r,0.0978,0.0197,0.0593,0.1340,2263.2794,1600.3631,1.0005,0.0004,4,600,0
2021_2022,Kc_mult,1.1593,0.0283,1.1050,1.2094,1774.0727,1671.7752,1.0005,0.0007,4,600,0
2021_2022,theta_init,0.2402,0.0016,0.2375,0.2435,2156.4231,1956.4376,1.0014,0.0000,4,600,0
2021_2022,sigma_obs,0.0062,0.0005,0.0054,0.0071,2252.7712,1895.1958,1.0006,0.0000,4,600,0
2022_2023,theta_s,0.4194,0.0019,0.4158,0.4228,1283.9207,1257.6695,1.0051,0.0001,4,600,0
2022_2023,theta_r,0.0981,0.0193,0.0604,0.1325,2275.0134,1560.1634,0.9996,0.0004,4,600,0
2022_2023,Kc_mult,1.1555,0.0081,1.1403,1.1699,1268.8696,1538.8468,1.0049,0.0002,4,600,0
2022_2023,theta_init,0.2402,0.0016,0.2371,0.2432,1934.8147,1688.0435,1.0015,0.0000,4,600,0
2022_2023,sigma_obs,0.0073,0.0006,0.0062,0.0083,2168.2940,1614.1841,1.0022,0.0000,4,600,0
2023_2024,theta_s,0.4213,0.0032,0.4148,0.4270,1550.6529,1032.7903,1.0048,0.0001,4,600,0
2023_2024,theta_r,0.0978,0.0200,0.0591,0.1341,1851.8138,1178.4684,1.0039,0.0005,4,600,0
2023_2024,Kc_mult,1.2607,0.0061,1.2492,1.2722,1027.5107,891.5176,1.0039,0.0002,4,600,0
2023_2024,theta_init,0.2527,0.0016,0.2497,0.2556,1169.2940,1181.1507,1.0017,0.0000,4,600,0
2023_2024,sigma_obs,0.0077,0.0006,0.0066,0.0088,1538.8651,1566.1195,0.9998,0.0000,4,600,0
2024_2025,theta_s,0.4205,0.0012,0.4182,0.4228,1374.0519,1519.1898,1.0017,0.0000,4,600,0
2024_2025,theta_r,0.0983,0.0192,0.0616,0.1327,1888.6045,1677.2292,1.0041,0.0004,4,600,0
2024_2025,Kc_mult,1.1761,0.0177,1.1464,1.2129,1298.8368,1185.4659,1.0017,0.0005,4,600,0
2024_2025,theta_init,0.2533,0.0019,0.2499,0.2570,1994.3208,1663.7472,1.0000,0.0000,4,600,0
2024_2025,sigma_obs,0.0076,0.0006,0.0065,0.0087,2181.7350,1789.9132,1.0021,0.0000,4,600,0
