city,n,kge_mean,kge_min,nse_mean,rmse_mean,crps_mean,coverage_mean
Baixa_Grande_do_Ribeiro,15,0.8985,0.8113,0.9701,0.0092,0.0052,0.9222
Balsas,15,0.9057,0.833,0.9756,0.0085,0.0047,0.9185
Barreiras,15,0.9055,0.8226,0.976,0.0101,0.0056,0.923
Bom_Jesus,15,0.9112,0.808,0.9763,0.0092,0.0051,0.9156
Campos_Lindos,15,0.9319,0.8772,0.9819,0.0075,0.0041,0.903
Correntina,15,0.9142,0.8344,0.9792,0.0092,0.0052,0.9178
Formosa_do_Rio_Preto,15,0.9097,0.8273,0.9768,0.0099,0.0055,0.9222
Luis_Eduardo_Magalhaes,15,0.9062,0.8125,0.9741,0.0086,0.0048,0.9252
Tasso_Fragoso,15,0.9245,0.8398,0.9817,0.0079,0.0044,0.917
Urucui,15,0.8871,0.798,0.9713,0.0084,0.0047,0.9156
