city,cycle,pr_mm
Baixa_Grande_do_Ribeiro,2020/2021,557.2779015472884
Baixa_Grande_do_Ribeiro,2021/2022,605.9556871242407
Baixa_Grande_do_Ribeiro,2022/2023,383.4276863917965
Baixa_Grande_do_Ribeiro,2023/2024,590.5674916837061
Baixa_Grande_do_Ribeiro,2024/2025,549.2851039155246
Balsas,2020/2021,267.88232062746056
Balsas,2021/2022,523.3359782708213
Balsas,2022/2023,308.9793084505753
Balsas,2023/2024,584.4767601550341
Balsas,2024/2025,369.77675710318294
Barreiras,2020/2021,447.2396008178961
Barreiras,2021/2022,814.6061586352123
Barreiras,2022/2023,656.3982055116429
Barreiras,2023/2024,741.2495803704946
Barreiras,2024/2025,407.44041261024813
Bom_Jesus,2020/2021,356.14642780846583
Bom_Jesus,2021/2022,514.8281807916499
Bom_Jesus,2022/2023,337.11890011291825
Bom_Jesus,2023/2024,555.7741019928585
Bom_Jesus,2024/2025,442.79686880092765
Campos_Lindos,2020/2021,383.0362865077669
Campos_Lindos,2021/2022,554.345835749382
Campos_Lindos,2022/2023,346.91076387829213
Campos_Lindos,2023/2024,539.8709067049165
Campos_Lindos,2024/2025,456.85293130283515
Correntina,2020/2021,335.58076723532815
Correntina,2021/2022,880.2034058656575
Correntina,2022/2023,503.56685079500716
Correntina,2023/2024,433.34833826715897
Correntina,2024/2025,350.2067629016998
Formosa_do_Rio_Preto,2020/2021,418.20734275337986
Formosa_do_Rio_Preto,2021/2022,684.0159306619464
Formosa_do_Rio_Preto,2022/2023,443.6414685506758
Formosa_do_Rio_Preto,2023/2024,663.6837366863001
Formosa_do_Rio_Preto,2024/2025,332.4495681630909
Luis_Eduardo_Magalhaes,2020/2021,561.7343668935209
Luis_Eduardo_Magalhaes,2021/2022,818.2454908902248
Luis_Eduardo_Magalhaes,2022/2023,735.9828485976743
Luis_Eduardo_Magalhaes,2023/2024,680.6993316446424
Luis_Eduardo_Magalhaes,2024/2025,459.9841303750725
Tasso_Fragoso,2020/2021,340.24323252052363
Tasso_Fragoso,2021/2022,535.0093081453902
Tasso_Fragoso,2022/2023,309.6591082491531
Tasso_Fragoso,2023/2024,584.5728934598833
Tasso_Fragoso,2024/2025,429.7021393475143
Urucui,2020/2021,390.42481765190576
Urucui,2021/2022,779.9295022431104
Urucui,2022/2023,470.1261940366832
Urucui,2023/2024,626.0750144962919
Urucui,2024/2025,492.88918729209263
